train/reward,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/std,train/learning_rate
-0.055104967,1,1,2048,1951,,,,,,,,,,,
-0.30717054,2,2,4096,1692,0.031201171875,10,0.2,0.0718722939491272,3.2416256956756113,1.3443068265914917,-2.8303955495357513,-0.004232080391375348,0.003733188,0.9943338632583618,0.00025
0.53827745,3,3,6144,1618,0.039453125,20,0.2,0.058497071266174316,6.288201400637627,2.507763385772705,-2.822815205156803,-0.0030367689323611557,0.0068882927,0.990918755531311,0.00025
0.106425606,4,5,8192,1564,0.02705078125,30,0.2,0.13818460702896118,6.405705357715488,3.810988664627075,-2.826075254380703,-0.005656537867616862,0.003707516,0.9956517815589905,0.00025
0.47560057,5,6,10240,1551,0.04912109375,40,0.2,0.5919727087020874,4.658874650858342,0.9679542183876038,-2.828967718780041,-0.005514682544162497,0.0041188635,0.9926576614379883,0.00025
-1.0663953,6,7,12288,1543,0.042919921875,50,0.2,0.47724026441574097,24.844530241191386,11.026432991027832,-2.818909542262554,-0.00390785162744578,0.005815993,0.9879000186920166,0.00025
-1.6212506,7,9,14336,1535,0.026416015625,60,0.2,0.2937043309211731,13.96366171091795,4.579677581787109,-2.8119609281420708,-0.0014965815673349426,0.0031715794,0.9878151416778564,0.00025
-0.07771143,8,10,16384,1531,0.076708984375,70,0.2,0.22948884963989258,61.893975937366484,19.825944900512695,-2.809134654700756,-0.0060337416143738665,0.006726332,0.9826722741127014,0.00025
-3.7353148,9,12,18432,1528,0.0396484375,80,0.2,0.0016650557518005371,75.73936838507652,36.76573944091797,-2.8081877164542677,-0.00439248101611156,0.005450164,0.9894585609436035,0.00025
0.12052809,10,13,20480,1525,0.041357421875,90,0.2,0.6529109477996826,14.309570455551148,6.271561145782471,-2.815966010093689,-0.0025022203728440216,0.004630782,0.9864661693572998,0.00025
