time/iterations,time/fps,train/reward,time/total_timesteps,time/time_elapsed,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss
1,2883,-0.04328738,2048,0,,,,,,,,,,,
2,2569,-0.04189614,4096,1,0.590434093028307,0.003125,-1.4298604503273964,0.0008135814,0.17385154962539673,1.0215137004852295,0.00025,10,0.2,0.1688510775566101,-0.0008514069704688154
3,2481,0.054416165,6144,2,5.063655988126993,0.014013671875,-1.4415671244263648,0.004624188,0.12839239835739136,1.0223991870880127,0.00025,20,0.2,1.7800843715667725,-0.0018023297088802792
4,2437,0.023516687,8192,3,0.1420547102112323,0.040185546875,-1.4414887934923173,0.0050313277,0.5572316646575928,1.0210070610046387,0.00025,30,0.2,-0.016450554132461548,-0.0030272662377683448
5,2410,0.30215925,10240,4,0.19453207766637207,0.03017578125,-1.4470445930957794,0.0043628365,0.46288788318634033,1.0352939367294312,0.00025,40,0.2,-0.0008829981088638306,-0.0033938299166038632
6,2394,-0.58853763,12288,5,5.581747373193503,0.00859375,-1.4582986526191235,0.0028006253,0.27331215143203735,1.0432133674621582,0.00025,50,0.2,2.164327621459961,-0.003079876900301315
7,2379,-0.5790425,14336,6,1.1136919546872377,0.013134765625,-1.4636649079620838,0.0023320226,0.343708336353302,1.0480268001556396,0.00025,60,0.2,0.6903176307678223,-0.0025258105801185594
8,2372,-0.025845295,16384,6,3.8598389476537704,0.025390625,-1.465818825364113,0.0041692955,0.45583802461624146,1.047599196434021,0.00025,70,0.2,2.036071538925171,-0.003593304703827016
9,2359,-1.1270524,18432,7,4.027799044549465,0.012890625,-1.4659178510308266,0.0037252065,0.4262094497680664,1.048875331878662,0.00025,80,0.2,1.6567572355270386,-0.0013022721774177625
10,2355,0.03760672,20480,8,0.9708207607269287,0.0140625,-1.4712288856506348,0.0023080036,0.6254006028175354,1.0587668418884277,0.00025,90,0.2,0.3801591396331787,-0.0014793441368965432
11,2353,-2.8407328,22528,9,4.665781311690807,0.040380859375,-1.4793075554072856,0.005059257,0.5455642938613892,1.0652856826782227,0.00025,100,0.2,2.1632864475250244,-0.004053906763147097
12,2349,0.4346539,24576,10,3.155259795486927,0.0025390625,-1.4872547499835491,0.0015428332,0.5182593464851379,1.076181173324585,0.00025,110,0.2,1.6337047815322876,-0.0009706920536700636
13,2342,0.26511642,26624,11,1.423927205428481,0.005712890625,-1.4937988840043546,0.0012564212,0.6116427183151245,1.0785375833511353,0.00025,120,0.2,0.6566742658615112,-0.002012458811805118
14,2340,-2.5103204,28672,12,5.227500994503498,0.003125,-1.4937132388353347,0.0013450113,0.6042921543121338,1.0764081478118896,0.00025,130,0.2,2.7438876628875732,-0.001717314193956554
15,2338,0.08519494,30720,13,3.175940042734146,0.0205078125,-1.4936513394117354,0.0031977068,0.4579680562019348,1.078454852104187,0.00025,140,0.2,0.936241865158081,-0.002533158351434395
16,2314,-0.036500834,32768,14,5.937845627963543,0.00322265625,-1.496643079072237,0.0014682661,0.6104714274406433,1.0823367834091187,0.00025,150,0.2,3.0285913944244385,-0.001638267996167997
17,2313,-0.6283459,34816,15,11.97771101295948,0.003515625,-1.5015058986842633,0.0017284016,0.4771021008491516,1.0906131267547607,0.00025,160,0.2,6.04021692276001,-0.0008159788529155775
18,2311,-0.056779604,36864,15,3.129582703113556,0.036083984375,-1.507950732856989,0.0044169086,0.6890908479690552,1.0951648950576782,0.00025,170,0.2,2.5471787452697754,-0.003175195411313325
19,2311,-1.8003585,38912,16,12.82478903234005,0.01298828125,-1.5111257880926132,0.0034674974,0.5784696936607361,1.0979220867156982,0.00025,180,0.2,4.0571675300598145,-0.0031103681802051144
