time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/reward,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/value_loss,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl
2048,0,3269,1,-0.042830862,,,,,,,,,,,
4096,1,2507,2,0.65328676,-1.409101890027523,10,0.003759765625,0.9819099307060242,0.414954100176692,0.0,0.19400453567504883,0.2,-0.0006967416062252596,0.00025,0.0010673244
6144,2,2483,3,-1.745705,-1.3998580791056157,20,0.008544921875,0.9809098839759827,1.5910955175757409,0.00023889541625976562,1.058748483657837,0.2,-0.0008727557200472802,0.00025,0.0039223684
8192,3,2510,4,-0.32552344,-1.399145257472992,30,0.01318359375,0.9805760979652405,8.070905363559723,0.022860407829284668,4.910378456115723,0.2,-0.0020315693487646057,0.00025,0.0028588655
10240,4,2522,5,0.08302759,-1.399612770974636,40,0.015966796875,0.9804495573043823,9.061546269059182,0.0023092031478881836,5.549112796783447,0.2,-0.0007880477409344166,0.00025,0.0034921623
12288,4,2533,6,0.29180384,-1.4016708627343177,50,0.00791015625,0.9862503409385681,12.092204302549362,-0.006827950477600098,6.095898151397705,0.2,-0.0004260497575160116,0.00025,0.0025498953
14336,5,2542,7,2.3334289,-1.4060558088123798,60,0.011572265625,0.987895667552948,6.794243258237839,0.0338129997253418,2.96095609664917,0.2,4.301951557863504e-05,0.00025,0.0041897777
16384,6,2546,8,0.96343684,-1.4055714204907417,70,0.01943359375,0.9850068688392639,10.956211629509927,0.09164589643478394,5.345136642456055,0.2,-0.002555805451993365,0.00025,0.0039039904
18432,7,2552,9,-1.06676,-1.4046054229140281,80,0.02158203125,0.9859592318534851,13.160562017560006,0.09257090091705322,9.96640396118164,0.2,-0.0019694030575919895,0.00025,0.0062231496
20480,8,2558,10,1.2922724,-1.405946809053421,90,0.002001953125,0.9882345199584961,14.8421799659729,0.09272056818008423,6.331141948699951,0.2,-0.00047383328492287544,0.00025,0.0019605975
22528,8,2547,11,0.5521573,-1.4085235312581061,100,0.019189453125,0.9905596971511841,12.826393821835518,0.11215710639953613,8.996051788330078,0.2,-0.000997453236777801,0.00025,0.0044952706
24576,9,2551,12,0.41514084,-1.4123217098414897,110,0.003369140625,0.998042106628418,2.1520070761442183,0.03308230638504028,1.1583932638168335,0.2,0.000336051952035632,0.00025,0.0007969548
26624,10,2550,13,-0.015489397,-1.4175633147358895,120,0.012158203125,0.9960266351699829,3.5615442499518393,0.14294421672821045,1.409243106842041,0.2,-0.00046526574733434244,0.00025,0.0047181007
28672,11,2504,14,0.28699383,-1.4137071892619133,130,0.004736328125,0.9947250485420227,3.9014813832938673,0.1505386233329773,2.2721943855285645,0.2,-0.0013788722513709216,0.00025,0.0011192698
30720,12,2463,15,0.22856107,-1.4154547840356826,140,0.045703125,0.9977883696556091,2.043085051700473,0.08595353364944458,1.383219838142395,0.2,-0.0026816390149178916,0.00025,0.005049937
32768,13,2451,16,0.011907589,-1.4193198382854462,150,0.042236328125,1.0031743049621582,5.782401664555072,0.08103209733963013,4.901519775390625,0.2,-0.002381687713204883,0.00025,0.0061658323
34816,14,2434,17,0.038782917,-1.4202026799321175,160,0.005126953125,1.0009363889694214,0.2779360743239522,0.0,0.11348026990890503,0.2,0.00032517953659407797,0.00025,0.0014606402
36864,15,2437,18,0.04017085,-1.4136362731456757,170,0.00283203125,0.9876309633255005,0.08477815040387213,0.0,0.02480502240359783,0.2,3.505132772261277e-05,0.00025,0.00073401
38912,15,2442,19,0.049718004,-1.4083225674927236,180,0.05498046875,0.990362286567688,0.021430501536815427,0.0,0.006048298440873623,0.2,-0.0030061505298363046,0.00025,0.0043795113
40960,17,2333,20,0.15490535,-1.409169889241457,190,0.000732421875,0.9899407029151917,0.5442929936572909,0.0,0.19027936458587646,0.2,0.00030895964009687306,0.00025,0.0009947204
43008,18,2342,21,0.014440419,-1.414223024994135,200,0.01357421875,0.9992262125015259,0.1586986336391419,0.0,0.07314935326576233,0.2,-0.0009540142869809643,0.00025,0.003424738
45056,19,2351,22,-1.3111143,-1.4242321282625199,210,0.000634765625,1.0105496644973755,0.8441636003553867,0.0004577040672302246,0.38892075419425964,0.2,1.1852013994939625e-05,0.00025,0.00042505984
47104,20,2338,23,-0.042628497,-1.4276179820299149,220,0.0,1.0065908432006836,1.3403891909867525,0.05846339464187622,0.6991128325462341,0.2,8.979766353149899e-05,0.00025,0.00029143767
49152,20,2346,24,0.13516921,-1.4209582298994063,230,0.00029296875,0.9971998333930969,2.236852013319731,-0.012683987617492676,1.037002682685852,0.2,-0.00015572190168313682,0.00025,0.00080372836
51200,21,2354,25,3.1778579,-1.4153053238987923,240,0.0380859375,0.9944829940795898,4.74277700483799,0.009328901767730713,2.353334426879883,0.2,-0.002810795561526902,0.00025,0.0049819355
