time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/reward,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_range,train/std,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/loss
2048,0,3082,1,-0.01673201,,,,,,,,,,,
4096,1,2708,2,-2.15302,-1.4118187002837659,-0.0008184795908164233,10,0.0023230482,0.2,0.987699031829834,0.010888671875,0.00025,0.2749706358648837,-0.0034481287002563477,0.07906822860240936
6144,2,2606,3,-3.1245346,-1.406521562486887,-0.001437303444254212,20,0.0044856993,0.2,0.988265872001648,0.0083984375,0.00025,12.089677146077156,-0.004601001739501953,4.247896671295166
8192,3,2554,4,-0.49965996,-1.4069081246852875,-0.0010697298639570363,30,0.0045259045,0.2,0.9877474308013916,0.018310546875,0.00025,13.455993431806565,0.0017895698547363281,7.287985324859619
10240,4,2527,5,-11.606021,-1.4058450616896152,-0.0007617661118274555,40,0.005961055,0.2,0.9863333106040955,0.016357421875,0.00025,50.57585018873215,0.012354850769042969,19.213241577148438
12288,4,2503,6,-0.34526223,-1.4043102808296681,-0.0023468715808121487,50,0.0040576737,0.2,0.9851361513137817,0.040234375,0.00025,49.85389564037323,0.02051234245300293,16.041467666625977
14336,5,2490,7,0.13971572,-1.402191137522459,-0.0021391603906522503,60,0.002333004,0.2,0.9790980219841003,0.015478515625,0.00025,11.832723172008992,0.10575789213180542,4.219099998474121
16384,6,2481,8,2.3852258,-1.3982292465865611,-0.0005793102798634208,70,0.0007970779,0.2,0.9802601337432861,4.8828125e-05,0.00025,30.883865678310393,0.05252927541732788,16.689884185791016
18432,7,2439,9,0.6363052,-1.4013821996748448,-0.002591114288952667,80,0.0031190072,0.2,0.9853185415267944,0.02255859375,0.00025,9.28397549688816,0.036383628845214844,3.4328606128692627
20480,8,2437,10,1.1639634,-1.4075180664658546,-0.002070997151895426,90,0.0021491973,0.2,0.990574300289154,0.012890625,0.00025,48.230565226078035,0.028248608112335205,18.28846549987793
22528,9,2433,11,-1.4438393,-1.4112523011863232,-0.0011005140899214894,100,0.0019648117,0.2,0.9923927187919617,0.019677734375,0.00025,43.874412751197816,0.0005011558532714844,24.72951316833496
24576,10,2430,12,0.7019047,-1.410149246454239,-0.0007992758473847061,110,0.0029979697,0.2,0.9887463450431824,0.007373046875,0.00025,24.98495836853981,0.05213737487792969,15.90502643585205
26624,10,2430,13,3.764627,-1.4055860117077827,-0.00019350760921952315,120,0.0019244404,0.2,0.9840035438537598,0.00029296875,0.00025,79.68364827632904,0.035437941551208496,41.87916564941406
28672,11,2427,14,2.0442343,-1.39800376445055,-0.0016424866713350638,130,0.0026923548,0.2,0.9756449460983276,0.00517578125,0.00025,18.41660623550415,0.012678682804107666,10.780688285827637
30720,12,2384,15,-8.851143,-1.395408996939659,-0.0009716908723930828,140,0.0043644756,0.2,0.9786850810050964,0.021044921875,0.00025,89.11756005287171,0.03673112392425537,35.009273529052734
32768,13,2385,16,0.17404656,-1.3971123285591602,-0.0006586864285054617,150,0.0019128473,0.2,0.9774836897850037,0.004541015625,0.00025,74.65653400421142,-0.001819610595703125,29.75139617919922
34816,14,2385,17,1.5842402,-1.3959934800863265,-0.0015011363837402314,160,0.0021648672,0.2,0.9772947430610657,0.01083984375,0.00025,50.805084466934204,0.027233004570007324,29.353740692138672
36864,15,2385,18,6.9087634,-1.395199117064476,-0.0014391316217370331,170,0.00303128,0.2,0.9758253693580627,0.02158203125,0.00025,111.83972978591919,0.018468141555786133,80.45482635498047
38912,16,2373,19,0.55341125,-1.3985238254070282,-0.0018088644559611567,180,0.0035907049,0.2,0.9830424785614014,0.050732421875,0.00025,16.20268123149872,-0.009524941444396973,10.977437019348145
40960,17,2279,20,0.96800137,-1.4022400371730328,-0.0013511749595636502,190,0.003702382,0.2,0.9838336706161499,0.017041015625,0.00025,104.57220242023467,0.015995323657989502,39.01221466064453
43008,19,2209,21,-3.1912637,-1.4015864633023738,-0.0005699451066902839,200,0.0025109875,0.2,0.9806191325187683,0.00986328125,0.00025,70.44237180948258,-0.0007570981979370117,20.278682708740234
45056,20,2202,22,-0.67305744,-1.4027048215270042,-0.0011016612843377516,210,0.0029831324,0.2,0.9887349605560303,0.016162109375,0.00025,51.048501920700076,0.0329168438911438,14.002105712890625
47104,21,2197,23,0.5771616,-1.4070638872683048,-0.0029971669253427537,220,0.0031513784,0.2,0.9872533082962036,0.029345703125,0.00025,116.90583062171936,0.01648104190826416,45.27632522583008
49152,22,2191,24,1.0089877,-1.4042088493704796,-0.0027644244793918913,230,0.001962053,0.2,0.984922468662262,0.015625,0.00025,15.829483026266098,-0.015058755874633789,6.8240509033203125
51200,23,2189,25,7.43534,-1.4061543010175228,-0.00043780691048596055,240,0.002262697,0.2,0.9885606169700623,0.004248046875,0.00025,110.40637712478637,0.020306050777435303,64.47564697265625
