time/fps,time/iterations,train/reward,time/time_elapsed,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/n_updates,train/clip_fraction,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss
1563,1,-0.012641747,1,2048,,,,,,,,,,,
1190,2,-0.12806578,3,4096,0.16182279027998447,-4.248740223050118,0.00025,0.2,0.9948192238807678,10,0.084326171875,0.0070024957,-0.0023461133241653442,0.08636438846588135,-0.007106333060073666
1147,3,0.17901768,5,6144,8.16847891509533,-4.242420276999473,0.00025,0.2,0.9954750537872314,20,0.016064453125,0.004429639,2.2907886505126953,0.06619751453399658,-0.0029332880571018905
963,4,1.5322702,8,8192,29.060397158563138,-4.242837816476822,0.00025,0.2,0.9950452446937561,30,0.01806640625,0.0058336654,13.260725021362305,0.06266611814498901,-0.0018410332129860762
988,5,0.15338545,10,10240,11.983457490801811,-4.240861721336842,0.00025,0.2,0.9939414858818054,40,0.038623046875,0.0028219474,8.450972557067871,0.12258660793304443,-0.0033378410207660636
1004,6,-0.3880949,12,12288,80.15996415913105,-4.240640616416931,0.00025,0.2,0.9946290850639343,50,0.016650390625,0.0048536425,38.613059997558594,0.0436130166053772,-0.002726106748741586
1024,7,-0.18113439,13,14336,108.94298186302186,-4.243381325900555,0.00025,0.2,0.9961288571357727,60,0.01826171875,0.004019171,17.391067504882812,0.10371285676956177,-0.0017948063876247033
1041,8,-4.10176,15,16384,18.981702646613122,-4.2480991065502165,0.00025,0.2,0.9980352520942688,70,0.03974609375,0.0058596497,7.455235481262207,0.11274904012680054,-0.0027662465887260622
1038,9,0.5490684,17,18432,120.06734161376953,-4.251042456924916,0.00025,0.2,0.9979104995727539,80,0.019140625,0.003815419,17.100284576416016,0.09049832820892334,-0.0015422326119733042
1024,10,3.3111684,19,20480,127.49361037015915,-4.250830155611038,0.00025,0.2,0.9977403283119202,90,0.028759765625,0.005519418,64.50458526611328,0.08652645349502563,-0.0037854730449907946
1031,11,0.15474336,21,22528,20.325050508975984,-4.255269975960255,0.00025,0.2,1.0016669034957886,100,0.04404296875,0.007078321,11.074260711669922,0.10664123296737671,-0.005276421314920299
971,12,0.90119326,25,24576,96.04203442931176,-4.26609843224287,0.00025,0.2,1.0048125982284546,110,0.02529296875,0.0051436042,65.84571838378906,0.1541152000427246,-0.0023438809279468843
982,13,-4.730422,27,26624,102.44392082095146,-4.2725417643785475,0.00025,0.2,1.0046981573104858,120,0.04189453125,0.006959262,80.8585205078125,0.14130902290344238,-0.0027471850902657025
995,14,0.70328695,28,28672,15.168972618877888,-4.266111817955971,0.00025,0.2,1.0040010213851929,130,0.06123046875,0.006168117,9.878180503845215,-0.039927124977111816,-0.003880543148261495
979,15,0.2723037,31,30720,67.61083118915558,-4.26899623721838,0.00025,0.2,1.0026130676269531,140,0.041015625,0.0059986245,40.958030700683594,0.12827914953231812,-0.0024251646871562118
969,16,-0.06682765,33,32768,102.15061122775077,-4.265430590510368,0.00025,0.2,1.0035077333450317,150,0.033056640625,0.0049976194,24.070405960083008,0.07359308004379272,-0.002612977624812629
977,17,1.1352197,35,34816,33.51994723379612,-4.272484576702118,0.00025,0.2,1.0061160326004028,160,0.05029296875,0.0039260425,15.943336486816406,-0.011325359344482422,-0.0015531986820860766
986,18,-0.6999331,37,36864,98.40111694335937,-4.275144299864769,0.00025,0.2,1.0063396692276,170,0.047021484375,0.006743637,25.56229019165039,0.11972951889038086,-0.002347856831329409
996,19,-1.6169696,39,38912,102.04873827695846,-4.280725952982903,0.00025,0.2,1.0100349187850952,180,0.059033203125,0.006913862,44.91761016845703,0.14500147104263306,-0.004197212669532746
1004,20,1.2717563,40,40960,35.958203381299974,-4.299377536773681,0.00025,0.2,1.0186948776245117,190,0.032861328125,0.006086624,12.156518936157227,0.22842252254486084,-0.0018411731798551045
1012,21,-2.7074866,42,43008,91.42582828402519,-4.3169355794787405,0.00025,0.2,1.021939754486084,200,0.013037109375,0.0029893378,93.6070327758789,0.07360184192657471,-0.0014510120192426257
1019,22,1.0125908,44,45056,101.78534939289094,-4.321780548989773,0.00025,0.2,1.0222018957138062,210,0.024560546875,0.00360138,25.200363159179688,0.014729678630828857,-0.002245863161806483
1026,23,-0.29329,45,47104,36.65185301601887,-4.316665740311146,0.00025,0.2,1.0197902917861938,220,0.0330078125,0.0034223404,12.973614692687988,-0.03149616718292236,0.0008234914494096301
1029,24,-0.4063277,47,49152,87.53740163743495,-4.313064517080784,0.00025,0.2,1.0193653106689453,230,0.038037109375,0.0069127255,15.176995277404785,0.11606788635253906,-0.0015092250643647276
1035,25,6.5481496,49,51200,83.15470506548881,-4.321062636375427,0.00025,0.2,1.0258469581604004,240,0.056591796875,0.0066424394,29.843107223510742,0.16385596990585327,-0.001945502613671124
1040,26,2.4832878,51,53248,49.71173734664917,-4.330123852193355,0.00025,0.2,1.0258513689041138,250,0.060302734375,0.007851537,56.91301727294922,0.043666839599609375,-0.0030200575027265588
1046,27,-1.1153555,52,55296,32.130528432130816,-4.345067358016967,0.00025,0.2,1.034593939781189,260,0.05859375,0.0067540845,24.659427642822266,0.2921876311302185,-0.004812882994883694
1050,28,-3.1248498,54,57344,50.66085997819901,-4.364827826619148,0.00025,0.2,1.0407634973526,270,0.034716796875,0.00527574,21.102155685424805,0.2031792402267456,-0.005287734692683443
1055,29,-2.6484625,56,59392,58.509004938602445,-4.377182222902775,0.00025,0.2,1.0431097745895386,280,0.042529296875,0.0060395366,13.349068641662598,0.03256303071975708,-0.002283644631097559
1057,30,0.52068394,58,61440,29.86925787627697,-4.389268895983696,0.00025,0.2,1.048503041267395,290,0.0662109375,0.0069168033,13.482767105102539,0.14789801836013794,-0.0040339227765798565
1056,31,0.4018444,60,63488,114.45684842467308,-4.396316502988339,0.00025,0.2,1.0491231679916382,300,0.0548828125,0.007685192,37.909912109375,0.06894528865814209,-0.0038948365807300435
1055,32,1.0817895,62,65536,119.94710251092911,-4.40045623332262,0.00025,0.2,1.0507512092590332,310,0.06748046875,0.0055724774,33.476844787597656,0.04265862703323364,-0.003390181499707978
1058,33,-1.6279235,63,67584,6.819329664111137,-4.41744834780693,0.00025,0.2,1.058076024055481,320,0.094970703125,0.009212612,2.7666993141174316,0.5503004789352417,-0.0038084233790868895
1062,34,-0.5278044,65,69632,38.77185043692589,-4.432665666937828,0.00025,0.2,1.0632954835891724,330,0.080712890625,0.006805338,30.719694137573242,0.12849777936935425,-0.00355310501618078
1065,35,-2.45314,67,71680,52.071867951750754,-4.442230027914047,0.00025,0.2,1.0658034086227417,340,0.08173828125,0.0076326756,18.06084442138672,0.037776827812194824,-0.001265474573301617
1069,36,0.05872431,68,73728,15.46017661690712,-4.450941203534603,0.00025,0.2,1.0640796422958374,350,0.099365234375,0.008472657,8.593511581420898,-0.008970856666564941,-0.00460423815966351
1072,37,-0.8086847,70,75776,89.45780127048492,-4.440435367822647,0.00025,0.2,1.0637892484664917,360,0.0556640625,0.0065813093,57.62306213378906,0.057484567165374756,-0.0006685290984023596
1075,38,-0.54992455,72,77824,65.36928153038025,-4.444073684513569,0.00025,0.2,1.0648481845855713,370,0.078271484375,0.0079610795,41.72905731201172,0.034301817417144775,-0.0001437390863429755
1078,39,-3.4010177,74,79872,11.169585774838925,-4.4369859248399734,0.00025,0.2,1.0605331659317017,380,0.06318359375,0.0077923005,4.73542594909668,0.08607816696166992,-0.005748245166614652
1076,40,-0.70629895,76,81920,50.20436298251152,-4.426836770772934,0.00025,0.2,1.0566487312316895,390,0.077001953125,0.008057778,13.158935546875,0.08169734477996826,-0.003530914051225409
