time/fps,train/reward,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/std,train/loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance
1790,0.039621215,1,2048,1,,,,,,,,,,,
1540,-1.0144584,2,4096,2,0.048291015625,0.9986381530761719,0.7595178484916687,10,0.00025,-2.83498822003603,0.2,-0.003259495350357611,2.050804081745446,0.0061356667,-0.04205119609832764
1476,0.9430875,4,6144,3,0.019970703125,0.9952809810638428,9.235644340515137,20,0.00025,-2.8312575720250606,0.2,-0.000770592009939719,19.056081783771514,0.003542385,0.02416813373565674
1432,0.2916474,5,8192,4,0.056640625,0.998772144317627,10.30582332611084,30,0.00025,-2.8328698948025703,0.2,-0.004560222460713703,24.821111676096915,0.009230098,-0.008616924285888672
1355,0.5957698,7,10240,5,0.037890625,0.9954341650009155,3.4193222522735596,40,0.00025,-2.832501020282507,0.2,-0.003973865954321809,13.66637839525938,0.006453439,0.009759366512298584
1319,-1.1501117,9,12288,6,0.014501953125,0.9957404136657715,18.073392868041992,50,0.00025,-2.828244775533676,0.2,-0.0016345545096555724,40.6203484326601,0.0023589768,0.06477242708206177
1244,-1.5162077,11,14336,7,0.0341796875,0.9913910031318665,4.44387149810791,60,0.00025,-2.8239282585680483,0.2,-0.0019110930632450617,9.958775736391544,0.0061236573,0.07554912567138672
1238,-0.038868245,13,16384,8,0.0181640625,0.9935465455055237,47.53128433227539,70,0.00025,-2.8228093601763247,0.2,-0.0021166787424590438,54.96137471795082,0.004128875,0.10404342412948608
1240,-2.4287508,14,18432,9,0.020703125,0.9957863092422485,26.83489227294922,80,0.00025,-2.8278072848916054,0.2,-0.0011744124727556481,55.7889840900898,0.004125858,-0.0499720573425293
1229,0.049867094,16,20480,10,0.07412109375,0.9923244714736938,4.7966413497924805,90,0.00025,-2.8261535964906215,0.2,-0.003176702852942981,6.990860146284104,0.005854016,0.490669310092926
