train/reward,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/std,train/learning_rate
-0.023204537,1,1,2048,2010,,,,,,,,,,,
-0.10840849,2,2,4096,1741,0.041064453125,10,0.2,0.005706191062927246,0.38173827272839844,0.21253535151481628,-2.8308488175272943,-0.0033870870029204525,0.005218124,0.9925817251205444,0.00025
0.13159455,3,3,6144,1666,0.00712890625,20,0.2,-0.007325649261474609,15.561606335639954,10.002715110778809,-2.8276813574135304,-0.0009315699091530405,0.0022298407,0.9981969594955444,0.00025
0.82568526,4,5,8192,1632,0.035986328125,30,0.2,0.0074724555015563965,79.80549305677414,76.19463348388672,-2.835273426771164,-0.003105792751011904,0.0060969507,0.998680830001831,0.00025
0.054459143,5,6,10240,1611,0.021142578125,40,0.2,0.26639020442962646,3.2952777221798897,1.2298228740692139,-2.83160881921649,-0.003029379946383415,0.0035189448,0.9927315711975098,0.00025
-0.09739545,6,7,12288,1563,0.013427734375,50,0.2,0.1336997151374817,24.911233632266523,8.85442066192627,-2.8188178539276123,-0.0007322250741708558,0.0014952351,0.9883474111557007,0.00025
0.18802077,7,9,14336,1559,0.01953125,60,0.2,0.13821226358413696,44.51864740252495,19.985570907592773,-2.8173539571464064,-0.0009094112785533071,0.0033940338,0.9912759065628052,0.00025
-3.8670874,8,10,16384,1555,0.05546875,70,0.2,0.5779675245285034,7.369402572512627,3.79496169090271,-2.8198667645454405,-0.0027035591716412454,0.0059620542,0.9897475242614746,0.00025
0.43240276,9,11,18432,1551,0.016259765625,80,0.2,0.15826696157455444,49.85876160860062,42.54594039916992,-2.8176340252161025,-0.0004911724216071888,0.0025138508,0.9902845025062561,0.00025
2.7043664,10,13,20480,1549,0.021142578125,90,0.2,0.12599211931228638,57.38162222206593,42.739479064941406,-2.820521357655525,-0.0008526853431249038,0.0028165048,0.9941578507423401,0.00025
0.03482259,11,14,22528,1546,0.041552734375,100,0.2,0.04003763198852539,14.93982312977314,6.515201091766357,-2.83444701731205,-0.0037754094970296136,0.0057568043,1.0046896934509277,0.00025
0.7678923,12,15,24576,1543,0.02236328125,110,0.2,0.2076869010925293,61.46391353011131,18.339618682861328,-2.85256834551692,-0.0010426080982142594,0.005737466,1.0085639953613281,0.00025
-3.45753,13,17,26624,1542,0.035888671875,120,0.2,0.12255895137786865,44.702396193146704,10.235610008239746,-2.862654301524162,-0.0022423317495849915,0.004099665,1.0176719427108765,0.00025
1.0623611,14,18,28672,1541,0.048388671875,130,0.2,0.05781364440917969,11.972167266905307,5.358208656311035,-2.8734818167984484,-0.0012558340618852525,0.0054041697,1.0185682773590088,0.00025
0.2617173,15,20,30720,1510,0.038720703125,140,0.2,0.229336678981781,49.56593191325665,23.684350967407227,-2.870732518285513,-0.0033036569169780706,0.003275968,1.0129897594451904,0.00025
-0.30214605,16,21,32768,1499,0.04541015625,150,0.2,0.19608664512634277,68.94587603807449,31.538612365722656,-2.8621253706514835,-0.0014917376509401947,0.0034766053,1.011291742324829,0.00025
1.0396831,17,23,34816,1497,0.0388671875,160,0.2,0.00966578722000122,17.60789875090122,8.201967239379883,-2.849901358783245,-0.0022260199461015874,0.0033991425,0.9976068735122681,0.00025
-0.50004935,18,24,36864,1496,0.027197265625,170,0.2,0.26367276906967163,49.64814657568932,31.54745864868164,-2.834880693256855,-0.00014116337915766054,0.0024103685,0.9994451999664307,0.00025
-0.8386882,19,26,38912,1492,0.032861328125,180,0.2,0.19051837921142578,69.61908249855041,43.30476379394531,-2.8304010003805162,0.0012556538844364696,0.004516135,0.9944888353347778,0.00025
1.4259121,20,27,40960,1488,0.0548828125,190,0.2,0.07116043567657471,18.437323200702668,10.821846008300781,-2.814095552265644,-0.002733919611637248,0.005381805,0.9824828505516052,0.00025
-3.3189437,21,29,43008,1475,0.08154296875,200,0.2,0.2640901207923889,45.37980134189129,6.808921813964844,-2.8055466175079347,-0.0024184576774132437,0.0055820635,0.9877703189849854,0.00025
