time/time_elapsed,time/fps,time/total_timesteps,train/reward,time/iterations,train/approx_kl,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss
0,2480,2048,-0.024173388,1,,,,,,,,,,,
1,2405,4096,0.30050865,2,0.006907144,-1.4224358692765235,1.0073591470718384,0.08095703125,0.00025,0.2,0.2543070316314697,-0.13007712364196777,10,-0.00845215707377065,0.5588763485662639
2,2412,6144,-0.034786593,3,0.0030259385,-1.4281301654875278,1.010688304901123,0.01552734375,0.00025,0.2,0.07972496747970581,-0.1462956666946411,20,-0.004186318695428781,0.2740669470280409
3,2413,8192,0.1192045,4,0.0050226497,-1.434904010593891,1.0200482606887817,0.0337890625,0.00025,0.2,-0.004153065383434296,0.5510290861129761,30,-0.005656808195635676,0.072948601632379
4,2410,10240,0.48550907,5,0.00431085,-1.436593844741583,1.015854001045227,0.019140625,0.00025,0.2,0.18452557921409607,0.17126554250717163,40,-0.004236624922486954,0.399082194827497
5,2413,12288,-0.06445503,6,0.0037889848,-1.4288468688726426,1.0047156810760498,0.022314453125,0.00025,0.2,0.14216285943984985,0.6200587749481201,50,-0.004612038840423338,0.2468780806288123
5,2414,14336,0.056194704,7,0.0024154384,-1.4221674531698227,1.0014334917068481,0.01669921875,0.00025,0.2,0.057341672480106354,0.705045759677887,60,-0.0047872917028144,0.16753372484818102
6,2419,16384,0.28010705,8,0.0030258952,-1.4176702909171581,0.996006429195404,0.018505859375,0.00025,0.2,0.007374729961156845,0.8258587121963501,70,-0.0041949470949475655,0.10136785367503762
7,2389,18432,-0.070330665,9,0.0031115976,-1.4133963339030742,0.9935196042060852,0.02373046875,0.00025,0.2,0.014382411725819111,0.8154424428939819,80,-0.004576901791733689,0.058994936267845334
8,2348,20480,-0.045272544,10,0.0049215565,-1.4073538444936275,0.9828418493270874,0.040087890625,0.00025,0.2,-0.007211847230792046,0.9320301413536072,90,-0.007023758924333379,0.03555341981118545
9,2321,22528,-0.0010319462,11,0.0039265463,-1.3973188675940036,0.9752950668334961,0.022998046875,0.00025,0.2,-0.0022145826369524,0.904312014579773,100,-0.005558035153080709,0.0436592374346219
10,2329,24576,-0.09099936,12,0.003576436,-1.3936455234885217,0.9745187163352966,0.031787109375,0.00025,0.2,-0.013779919594526291,0.9076764583587646,110,-0.005455829927814193,0.0384357848437503
11,2333,26624,-0.12615947,13,0.0029582707,-1.384580623358488,0.9583434462547302,0.017626953125,0.00025,0.2,0.0012357104569673538,0.8330379724502563,120,-0.004192313468956854,0.036331370461266485
