train/reward,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/std
-8.207047e-05,1,2707,0,2048,,,,,,,,,,,
0.011768778,2,1450,2,4096,-0.002049123993492685,0.00025,-0.03131997585296631,10,0.0003317029748416189,0.0057573575,-1.4229328714311122,0.040478515625,0.2,0.4929356575012207,1.0044139623641968
-0.0014212837,3,1648,3,6144,-0.0004660347738536075,0.00025,-0.020603574812412262,20,0.0017655920868492104,0.003742654,-1.4207443971186877,0.00859375,0.2,0.09768843650817871,0.9989855289459229
-5.55446e-06,4,1778,4,8192,-0.002385144677828066,0.00025,-0.03798934817314148,30,0.0020369626656247418,0.003903289,-1.4155384100973607,0.045947265625,0.2,0.13021475076675415,0.995200514793396
5.5230754e-05,5,1873,5,10240,-0.0002897764905355871,0.00025,-0.020688118413090706,40,0.0006673202040722969,0.0045812493,-1.4119777228683232,0.010009765625,0.2,0.0,0.9913575053215027
0.0058896015,6,1946,6,12288,-0.002598873676470248,0.00025,-0.038895685225725174,50,0.0004373587330121609,0.0063179038,-1.405298362672329,0.0427734375,0.2,-1.1920928955078125e-07,0.9828344583511353
0.052184604,7,1987,7,14336,0.00010180867830058559,0.00025,-0.035821765661239624,60,0.0018690994007556582,0.001324593,-1.3979600492864848,0.00087890625,0.2,0.21187150478363037,0.975506067276001
0.0035789963,8,2028,8,16384,-0.0015703474797192029,0.00025,-0.0007349422667175531,70,0.0046663302640808976,0.0050880434,-1.402789007127285,0.033740234375,0.2,0.11564260721206665,0.9911612272262573
-0.006943692,9,2015,9,18432,-0.004783237853553146,0.00025,-0.040385451167821884,80,0.0080713691215351,0.0023781136,-1.4077011123299599,0.026513671875,0.2,0.5760058164596558,0.984897255897522
0.007713095,10,2036,10,20480,-0.00017851811535365413,0.00025,-0.029457315802574158,90,0.0013977743240502604,0.0025411106,-1.411880425736308,0.014599609375,0.2,-0.02675151824951172,0.9990325570106506
0.019350236,11,2049,10,22528,-0.0016131917349412107,0.00025,-0.030589066445827484,100,0.00182633180393168,0.0017692428,-1.4160504683852195,0.0314453125,0.2,-0.002280116081237793,0.9952521324157715
