time/total_timesteps,time/iterations,time/time_elapsed,train/reward,time/fps,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/learning_rate,train/std
2048,1,1,-0.01224984,1269,,,,,,,,,,,
4096,2,6,-0.152561,671,10,0.036474609375,1.156052684597671,-0.001428262039553374,-4.244416132569313,0.7325005531311035,0.005044299,0.2,0.06727343797683716,0.00025,0.9922173619270325
6144,3,8,0.06072645,754,20,0.044482421875,14.84419254809618,-0.005620340860332362,-4.238207910954952,11.968095779418945,0.0068621435,0.2,0.009225606918334961,0.00025,0.9956490397453308
8192,4,9,0.9359003,827,30,0.05,34.120599718391894,-0.0040561684087151665,-4.238911283016205,14.92690658569336,0.0044472497,0.2,0.002917766571044922,0.00025,0.9919760823249817
10240,5,12,0.042641748,802,40,0.067724609375,5.612696126848459,-0.0056373537969193425,-4.234338690340519,2.4857728481292725,0.0059633553,0.2,0.25020551681518555,0.00025,0.9931831955909729
12288,6,14,-0.2468585,840,50,0.01455078125,25.879758207499982,-0.0030388321421924045,-4.232878932356835,18.20567512512207,0.0033080422,0.2,0.05205506086349487,0.00025,0.9906225204467773
14336,7,16,0.18830916,876,60,0.021826171875,30.405382785201073,-0.0023414836534357162,-4.228442247211933,14.36115837097168,0.005337245,0.2,0.09318339824676514,0.00025,0.9906899929046631
16384,8,18,-2.742817,904,70,0.06044921875,5.864770648628474,-0.0007322812220081687,-4.225893267989159,2.099440097808838,0.005379376,0.2,0.14397495985031128,0.00025,0.9901800155639648
18432,9,19,0.48968837,930,80,0.055224609375,32.433678328990936,-0.0008184875274309889,-4.224059090018272,7.470057010650635,0.006473555,0.2,0.10987383127212524,0.00025,0.9881938099861145
20480,10,23,2.330889,881,90,0.041015625,39.743633434176445,-0.0007127901917556301,-4.214706547558308,23.941556930541992,0.006380733,0.2,0.08143836259841919,0.00025,0.985454261302948
22528,11,26,-0.05378234,837,100,0.090234375,8.468970599770547,-0.006413737795082852,-4.207107539474964,4.2713303565979,0.009348169,0.2,-0.004828691482543945,0.00025,0.9798151850700378
24576,12,28,1.0654643,853,110,0.0392578125,45.646224337816236,-0.0028073795707314274,-4.196238631010056,21.490934371948242,0.006095482,0.2,0.0576820969581604,0.00025,0.9816374778747559
26624,13,30,-2.3360753,870,120,0.041845703125,56.85629231929779,-0.002366282099683303,-4.200561958551407,22.47592544555664,0.0059152795,0.2,0.07877033948898315,0.00025,0.9811000227928162
28672,14,32,1.0295377,882,130,0.046435546875,11.48518173098564,8.696219883859157e-05,-4.20026658475399,5.345437049865723,0.0036424622,0.2,-0.03234100341796875,0.00025,0.9811275601387024
30720,15,34,0.30242693,881,140,0.05166015625,49.02453016042709,-0.003191014476760756,-4.1934446975588795,20.220378875732422,0.0065266485,0.2,0.057961225509643555,0.00025,0.9772116541862488
32768,16,36,-0.3133925,891,150,0.067529296875,50.133054095506665,-0.007273876677209046,-4.192739005386829,27.724138259887695,0.0058126645,0.2,0.13096988201141357,0.00025,0.9819572567939758
34816,17,39,1.0707334,881,160,0.069970703125,16.331015311181545,-0.004807804414303974,-4.213425315916538,7.048795223236084,0.008001667,0.2,-0.05252397060394287,0.00025,0.9873164296150208
36864,18,42,-0.5004069,868,170,0.060498046875,46.3570645660162,-0.0051177825400372965,-4.214439031481743,17.024215698242188,0.008019499,0.2,0.0888325572013855,0.00025,0.9847871661186218
38912,19,44,-0.90314394,875,180,0.03984375,66.2616655409336,-0.003844068992475513,-4.212126497924328,20.996505737304688,0.0048945425,0.2,0.06912374496459961,0.00025,0.985844075679779
40960,20,46,1.547761,885,190,0.05771484375,22.32257079333067,0.00048546956240898,-4.2174923568964005,8.90513801574707,0.005681306,0.2,-0.017821311950683594,0.00025,0.9887320399284363
43008,21,48,-3.3424413,889,200,0.04775390625,57.69289720058441,-0.0040924143817392174,-4.213415162265301,32.078041076660156,0.0047902777,0.2,0.0558016300201416,0.00025,0.9830339550971985
45056,22,50,0.5084608,900,210,0.0912109375,65.33929129242897,-0.004937563938437961,-4.202705205976963,37.19410705566406,0.010888597,0.2,0.08361858129501343,0.00025,0.982445478439331
47104,23,51,-2.0297377,909,220,0.05908203125,20.08326601088047,-0.0036986169274314308,-4.205798114836216,12.963242530822754,0.005888092,0.2,0.008613049983978271,0.00025,0.9833994507789612
49152,24,53,-0.19941786,919,230,0.057763671875,50.80574833452702,-0.003908870248415042,-4.208662343025208,12.438097953796387,0.004496821,0.2,0.052511632442474365,0.00025,0.9859354496002197
51200,25,55,5.055038,928,240,0.04248046875,54.32793298065663,-0.0024882195139070973,-4.223568797111511,43.99515151977539,0.006341284,0.2,0.0696985125541687,0.00025,0.9916565418243408
53248,26,56,2.7850816,937,250,0.07177734375,43.731079468131064,-0.0015425635036081075,-4.236336341500282,11.487988471984863,0.006336984,0.2,0.01006251573562622,0.00025,0.9949187636375427
55296,27,58,-0.98118204,945,260,0.0572265625,20.11153547167778,-0.003127927645255113,-4.24796407520771,5.076992034912109,0.0064548883,0.2,0.06852144002914429,0.00025,0.9988343715667725
57344,28,60,-2.1429513,949,270,0.077490234375,49.69958763122558,-0.0030932439054595306,-4.247394187748432,24.809110641479492,0.008810261,0.2,0.04920083284378052,0.00025,0.9952793121337891
59392,29,62,-0.9258682,953,280,0.09228515625,47.725398254394534,0.0015709262224845588,-4.2450012668967245,19.284326553344727,0.00936657,0.2,0.0004999041557312012,0.00025,0.9974441528320312
61440,30,64,0.40608066,949,290,0.096826171875,15.355538696050644,0.002421174236224033,-4.246012462675571,4.330216407775879,0.010373408,0.2,0.0641181468963623,0.00025,0.9978225231170654
63488,31,66,0.48717993,950,300,0.08251953125,53.84426745176315,-0.0024868003369192594,-4.264570331573486,13.46165943145752,0.011012124,0.2,0.07241648435592651,0.00025,1.0069425106048584
65536,32,68,0.5866154,956,310,0.06484375,61.95755580663681,-0.0008265267024398781,-4.268884487450123,27.340715408325195,0.010528934,0.2,0.01293325424194336,0.00025,0.9988644123077393
67584,33,70,-1.9409438,958,320,0.07412109375,9.20506643652916,-0.004176493287377525,-4.26676000058651,3.9600913524627686,0.007767046,0.2,0.050139784812927246,0.00025,1.007606863975525
69632,34,72,-0.2849193,959,330,0.0583984375,52.03891367912293,-0.00237464347446803,-4.282777087390423,39.10472106933594,0.0079006255,0.2,0.0035290122032165527,0.00025,1.011448621749878
71680,35,75,-0.40599835,951,340,0.0685546875,57.663729479908945,-0.0015274462115485222,-4.289810229837895,29.674776077270508,0.008791791,0.2,0.024266600608825684,0.00025,1.0119374990463257
73728,36,77,-0.2846528,955,350,0.094677734375,7.830447690188885,-0.004328041875851341,-4.287170740962028,5.11909818649292,0.009107115,0.2,-0.0037697553634643555,0.00025,1.0076607465744019
75776,37,79,-0.72360384,957,360,0.063720703125,44.57636424005032,-0.0004775640249135904,-4.2788052499294285,22.33819580078125,0.009134594,0.2,0.015969276428222656,0.00025,1.0088621377944946
77824,38,82,-1.3457128,945,370,0.0552734375,55.410733884572984,0.0014743512962013482,-4.287560003995895,30.083454132080078,0.0050936854,0.2,0.026071012020111084,0.00025,1.012336254119873
79872,39,84,-3.451512,940,380,0.084423828125,11.759134989976882,0.0018809418252203614,-4.290089263021946,4.724816799163818,0.015330555,0.2,0.008045494556427002,0.00025,1.0099395513534546
81920,40,87,-1.0846367,932,390,0.062109375,56.65904788970947,-0.0008815671622869559,-4.283339734375477,15.184694290161133,0.004858345,0.2,0.027593135833740234,0.00025,1.0080232620239258
