time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/reward,train/clip_range,train/std,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
2048,2101,0,1,-0.00015480431,,,,,,,,,,,
4096,1734,2,2,0.012685507,0.2,0.998367965221405,0.00025,8.40738493138815e-05,1.1920928955078125e-07,-0.041023239493370056,10,-2.8367229126393796,0.065576171875,-0.0031572990032145754,0.0049625565
6144,1686,3,3,-0.014146924,0.2,0.997235894203186,0.00025,0.0039547735446831215,0.4907846450805664,-0.024586927145719528,20,-2.833106853812933,0.0529296875,-0.002838071869337,0.005199287
8192,1660,4,4,-0.0023726455,0.2,0.9907950162887573,0.00025,0.005177561649179552,0.2908973693847656,-0.03543221950531006,30,-2.827962915599346,0.021875,-0.002578600129345432,0.004214812
10240,1643,6,5,0.00024617134,0.2,0.9716042876243591,0.00025,0.0014442118023907824,0.202811598777771,-0.057482387870550156,40,-2.7994323119521143,0.069873046875,-0.005722641451575328,0.007856523
12288,1638,7,6,0.000901515,0.2,0.9695247411727905,0.00025,0.00014768341766853156,0.0,-0.018716419115662575,50,-2.7767450742423536,0.027734375,-0.0014867549049085937,0.004532465
14336,1606,8,7,0.043997042,0.2,0.9613081812858582,0.00025,4.50358872939205e-05,-1.1920928955078125e-07,-0.025483770295977592,60,-2.7672854483127596,0.032275390625,-0.0019042543179239146,0.003914564
16384,1546,10,8,0.013510298,0.2,0.9487349987030029,0.00025,0.001528469519871578,0.3125317096710205,-0.033281609416007996,70,-2.74655105471611,0.020947265625,-0.0008106962879537605,0.0016489319
18432,1550,11,9,-0.012494153,0.2,0.9447364807128906,0.00025,0.007006337497296044,0.10636818408966064,-0.02380185015499592,80,-2.728209460526705,0.015576171875,-0.000464080143137835,0.0033851764
20480,1554,13,10,0.013888904,0.2,0.9604384303092957,0.00025,0.007126971557590877,0.2554401159286499,-0.03678843751549721,90,-2.740152209997177,0.03212890625,-0.002298388951749075,0.0042022313
22528,1557,14,11,0.026809325,0.2,0.9618987441062927,0.00025,0.010298152107134228,0.11492913961410522,-0.00011013820767402649,100,-2.7592928126454352,0.024951171875,-0.0026972232008120045,0.0030746623
24576,1561,15,12,0.018629447,0.2,0.9640525579452515,0.00025,0.005443434984772466,0.4436783790588379,-0.026897655799984932,110,-2.762188262492418,0.04169921875,-0.00014591009821742773,0.0044734664
26624,1564,17,13,-0.007556967,0.2,0.9676454067230225,0.00025,0.007582426266162656,0.29228442907333374,-0.03572315350174904,120,-2.767918073385954,0.057568359375,0.0003125838382402435,0.0065632425
28672,1521,18,14,0.04412226,0.2,0.9754279851913452,0.00025,0.009457244289660594,0.5900803804397583,-0.025999322533607483,130,-2.780900352448225,0.030517578125,-0.0006582091897143983,0.0040876376
30720,1526,20,15,0.011115048,0.2,0.9721090793609619,0.00025,0.01869752043421613,0.4434170722961426,-0.03278191387653351,140,-2.7845200709998608,0.06494140625,-0.005271376595192123,0.0054364586
32768,1532,21,16,0.0014524178,0.2,0.9793707132339478,0.00025,0.014042688246991019,0.18772441148757935,-0.019100233912467957,150,-2.7882462427020074,0.0208984375,-0.0003771256422623992,0.0026523913
34816,1535,22,17,0.024700282,0.2,0.9797859191894531,0.00025,0.015016652358463034,0.13046860694885254,-0.03274199366569519,160,-2.795275907218456,0.043017578125,-0.002623663099075202,0.004184136
36864,1538,23,18,0.0565708,0.2,0.9775495529174805,0.00025,0.005293040371179813,0.4515262842178345,-0.03032691590487957,170,-2.794493193179369,0.08212890625,-0.0011016004005796275,0.0063851755
38912,1540,25,19,0.0066062952,0.2,0.9875158071517944,0.00025,0.007708182882197434,0.22397029399871826,-0.01965705119073391,180,-2.8026182278990746,0.077734375,-0.0033880787734233307,0.0073185964
