train/learning_rate,train/entropy_loss,time/iterations,train/std,time/fps,train/reward,time/time_elapsed,train/n_updates,train/policy_loss,train/explained_variance,time/total_timesteps,train/value_loss
0.0007,-1.4455512762069702,100,1.0270981788635254,2036,0.062074896,0,99,0.10969486087560654,-1.1920928955078125e-07,500,0.013625982217490673
0.0007,-1.4410345554351807,200,1.022273063659668,2027,-0.3349057,0,199,-0.46655434370040894,0.0,1000,0.11077108234167099
0.0007,-1.4534416198730469,300,1.035184383392334,2036,0.030408112,0,299,-0.028959453105926514,0.0,1500,0.00035874295281246305
0.0007,-1.461098074913025,400,1.0432977676391602,2056,-0.0038070392,0,399,0.01811504364013672,-1.1920928955078125e-07,2000,0.0002922384301200509
0.0007,-1.4628413915634155,500,1.0446537733078003,2071,-1.0955921,1,499,1.3176473379135132,5.960464477539063e-08,2500,1.3489906787872314
0.0007,-1.474992275238037,600,1.0574331283569336,2052,0.057365756,1,599,0.41940388083457947,-1.1920928955078125e-07,3000,0.14411552250385284
0.0007,-1.4857450723648071,700,1.0683979988098145,2036,-0.36702672,1,699,-0.015985053032636642,0.0,3500,0.1277247965335846
0.0007,-1.4856643676757812,800,1.0678329467773438,2032,0.17781776,1,799,-3.863956928253174,0.0,4000,3.4543261528015137
0.0007,-1.4778755903244019,900,1.0604275465011597,1812,0.09728162,2,899,2.474870204925537,-3.3892860412597656,4500,5.123553276062012
0.0007,-1.4772963523864746,1000,1.0603480339050293,1807,0.0,2,999,-0.04609096795320511,0.0,5000,0.001497001270763576
0.0007,-1.4940531253814697,1100,1.0783984661102295,1774,0.00074815704,3,1099,-0.016810838133096695,0.0,5500,0.00026685887132771313
0.0007,-1.4966773986816406,1200,1.0815411806106567,1746,1.6785773,3,1199,-2.358380079269409,0.0,6000,4.40545654296875
0.0007,-1.497065782546997,1300,1.081648588180542,1747,-0.34026748,3,1299,0.19961008429527283,0.0781545639038086,6500,0.2651689946651459
0.0007,-1.4985872507095337,1400,1.0831117630004883,1759,-2.4777176,3,1399,-1.6788355112075806,-0.49068331718444824,7000,3.7449886798858643
0.0007,-1.5008248090744019,1500,1.0854768753051758,1774,2.2103817,4,1499,-6.515324592590332,-0.07120907306671143,7500,24.655956268310547
0.0007,-1.4889037609100342,1600,1.0737762451171875,1792,0.30302468,4,1599,0.008150795474648476,0.0,8000,0.7984399795532227
0.0007,-1.4766396284103394,1700,1.0595542192459106,1808,-0.002573434,4,1699,1.3395414352416992,-1.1920928955078125e-07,8500,0.9160311818122864
0.0007,-1.4672143459320068,1800,1.052080512046814,1824,-0.97575784,4,1799,1.2586971521377563,0.0,9000,1.5052942037582397
0.0007,-1.4825867414474487,1900,1.0658122301101685,1834,0.004152593,5,1899,0.009902182035148144,0.0,9500,0.0001341495953965932
0.0007,-1.4966778755187988,2000,1.0818843841552734,1846,0.006501457,5,1999,4.15262508392334,-0.7284812927246094,10000,3.8332056999206543
0.0007,-1.486985206604004,2100,1.0710079669952393,1856,0.6783066,5,2099,-0.2189778834581375,-1.1920928955078125e-07,10500,0.23258939385414124
0.0007,-1.4878965616226196,2200,1.0710396766662598,1866,-0.27996477,5,2199,-0.004156804643571377,0.0,11000,0.00415700813755393
0.0007,-1.4949531555175781,2300,1.0793415307998657,1875,-0.098955005,6,2299,0.19410614669322968,0.0,11500,0.07338332384824753
0.0007,-1.4949392080307007,2400,1.0787487030029297,1817,2.8303556,6,2399,4.828183174133301,0.130062997341156,12000,13.473943710327148
