time/time_elapsed,time/fps,time/total_timesteps,train/reward,time/iterations,train/approx_kl,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss
15,2160,32768,0.0018400232,16,0.0039690835,-1.3943332113325595,0.9753971099853516,0.03564453125,0.00025,0.2,0.0023487433791160583,0.9274225234985352,150,-0.006984506061417051,0.05103334349114448
16,2175,34816,0.099077374,17,0.003252334,-1.3879442669451236,0.9635739326477051,0.032275390625,0.00025,0.2,-0.001275714486837387,0.9219602942466736,160,-0.006469602521974593,0.055808868166059254
16,2189,36864,0.26681325,18,0.00458687,-1.3763098388910293,0.9513893127441406,0.03271484375,0.00025,0.2,-0.01704857312142849,0.8920481204986572,170,-0.006770956801483407,0.03434970490634441
17,2200,38912,0.025440829,19,0.0030351449,-1.3708369970321654,0.9539480209350586,0.0244140625,0.00025,0.2,-0.0018260013312101364,0.9363327622413635,180,-0.00469119610497728,0.044415794941596684
18,2211,40960,0.21399269,20,0.00391387,-1.3691119059920311,0.9494940638542175,0.038916015625,0.00025,0.2,0.004676803946495056,0.9142448306083679,190,-0.008101617087959312,0.05775138745084405
19,2222,43008,0.018790767,21,0.0045983735,-1.3668311215937137,0.9503832459449768,0.03359375,0.00025,0.2,-0.014499392360448837,0.9246535897254944,200,-0.007895823034050408,0.0524457729421556
20,2227,45056,-0.3002319,22,0.0033674953,-1.3695349738001823,0.9527373909950256,0.030712890625,0.00025,0.2,-0.016651343554258347,0.9423133730888367,210,-0.006224105192814022,0.04692316267173737
21,2209,47104,-0.010541128,23,0.0039613126,-1.3709464870393275,0.9538615942001343,0.0337890625,0.00025,0.2,-0.02314740978181362,0.8791928291320801,220,-0.005877720919670537,0.032484896096866576
22,2198,49152,0.016582403,24,0.004544027,-1.3715331807732583,0.9539130926132202,0.034716796875,0.00025,0.2,0.001718711107969284,0.9399181604385376,230,-0.008126510711736045,0.04109898899914697
23,2201,51200,0.30488294,25,0.0039627254,-1.374615851044655,0.9569947719573975,0.034130859375,0.00025,0.2,-0.0175071619451046,0.9547876715660095,240,-0.00738311824388802,0.03181523008970544
24,2205,53248,-0.038661275,26,0.0032310146,-1.371181482821703,0.9490231275558472,0.031640625,0.00025,0.2,-0.004100790247321129,0.9487634897232056,250,-0.007088281484902837,0.038105054409243166
25,2188,55296,-0.9800823,27,0.0046974802,-1.3657350987195969,0.9461933970451355,0.04169921875,0.00025,0.2,4.507042467594147e-05,0.9540067315101624,260,-0.007850752185913735,0.0376228888053447
26,2178,57344,-0.052301377,28,0.004679718,-1.3626314043998717,0.9438822269439697,0.039697265625,0.00025,0.2,-0.002940632402896881,0.9352697134017944,270,-0.0072358674427960065,0.03530653229681775
27,2179,59392,-0.10180123,29,0.004015768,-1.3563571140170096,0.9360803365707397,0.03388671875,0.00025,0.2,-0.014449763111770153,0.9341493248939514,280,-0.008188218617578968,0.02477206492330879
28,2187,61440,-0.0204714,30,0.00484596,-1.3537206701934337,0.9377022385597229,0.0416015625,0.00025,0.2,-0.009353180415928364,0.9720831513404846,290,-0.008399495537742042,0.02309529690537602
28,2192,63488,-0.08471374,31,0.0043752515,-1.3508148826658726,0.9306957125663757,0.04541015625,0.00025,0.2,-0.028996732085943222,0.9675964713096619,300,-0.008579913413268515,0.02719386728713289
29,2199,65536,0.035805397,32,0.0045428714,-1.3534566715359688,0.9409323334693909,0.038232421875,0.00025,0.2,-0.017016969621181488,0.9491928219795227,310,-0.00827345805009827,0.03749540448188782
