time/total_timesteps,time/time_elapsed,time/iterations,train/reward,time/fps,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/std
51200,52,25,0.9189315,972,0.0576171875,-0.0029952590135508216,240,205.06689660549165,128.84164428710938,0.2,0.0057496834,-4.291086572408676,0.1365177035331726,0.00025,1.0120373964309692
53248,54,26,4.7070103,978,0.059814453125,-0.0007626128965057433,250,19.22006839811802,6.371402740478516,0.2,0.0064693713,-4.285568235814571,0.2935156226158142,0.00025,1.0083290338516235
55296,56,27,9.485314,984,0.048828125,-0.00320162507268833,260,200.07421684265137,142.2104949951172,0.2,0.00446187,-4.278194397687912,0.05765891075134277,0.00025,1.0067169666290283
57344,57,28,1.1168362,989,0.037890625,-0.0013280504674185068,270,195.77108968496321,116.33245086669922,0.2,0.0064212764,-4.273901197314262,0.07931190729141235,0.00025,1.0057320594787598
59392,59,29,2.4375126,994,0.022900390625,-0.0007308613057830371,280,138.23315727114678,89.36888122558594,0.2,0.003737493,-4.272727304697037,0.04520702362060547,0.00025,1.0055240392684937
61440,61,30,-0.055548567,999,0.047314453125,-0.001810362542164512,290,290.12791135311124,60.07006072998047,0.2,0.006004562,-4.267240589857101,0.05286902189254761,0.00025,1.0015274286270142
63488,63,31,-0.087014586,1004,0.0833984375,-0.001990175596438348,300,61.520527851581576,24.539703369140625,0.2,0.007136093,-4.263006620109081,-0.0012398958206176758,0.00025,1.0020878314971924
65536,64,32,0.20630863,1008,0.0267578125,-0.001051096004084684,310,307.08281708955764,59.89266586303711,0.2,0.003444976,-4.263283477723599,0.07671117782592773,0.00025,1.001776933670044
67584,66,33,-1.8986224,1012,0.031982421875,-0.002584001781360712,320,357.0312345981598,167.34274291992188,0.2,0.002872055,-4.258376137912274,0.06240224838256836,0.00025,0.9990137219429016
69632,68,34,3.8257759,1016,0.06494140625,-0.004275198941468261,330,27.42035439312458,9.052393913269043,0.2,0.005609665,-4.257878065109253,0.11908435821533203,0.00025,1.0018296241760254
71680,70,35,-10.827352,1020,0.070458984375,-0.004473078888258897,340,327.6884127855301,193.265380859375,0.2,0.0097027095,-4.260472069680691,0.0849418044090271,0.00025,1.0012527704238892
73728,72,36,-0.052559484,1022,0.06171875,-0.000834212223708164,350,215.12160263061523,88.37134552001953,0.2,0.0059643732,-4.268087531626224,-0.0018516778945922852,0.00025,1.0083180665969849
75776,73,37,0.04250266,1025,0.038671875,-0.001188845237629721,360,166.41704082489014,83.9369888305664,0.2,0.005831021,-4.289156198501587,0.11462026834487915,0.00025,1.0147433280944824
77824,76,38,0.34444004,1023,0.049560546875,-0.0026373810615041293,370,329.198807144165,110.6287612915039,0.2,0.0050773555,-4.299219597876072,0.07441490888595581,0.00025,1.0159244537353516
79872,78,39,0.56974214,1015,0.066015625,8.316940075019375e-05,380,70.66365333795548,40.84101486206055,0.2,0.0069880662,-4.301619246602058,-1.2040138244628906e-05,0.00025,1.0140177011489868
81920,80,40,-0.13075796,1019,0.0447265625,-0.002388295180571731,390,358.30246994495394,88.06668090820312,0.2,0.0057441248,-4.302068130671978,0.11704856157302856,0.00025,1.0172827243804932
