time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/std,train/clip_fraction,train/approx_kl
2048,1,1,1513,,,,,,,,,,,
4096,2,5,770,0.2,0.00025,0.05785977840423584,0.5542288428172469,0.18025287985801697,-0.005459645105293021,-4.257407918572426,10,1.0000900030136108,0.05498046875,0.006964704
6144,3,8,718,0.2,0.00025,0.13625067472457886,0.5658502807840705,0.15140563249588013,-0.0031031210404762533,-4.263324618339539,20,1.0043039321899414,0.037841796875,0.0063676443
8192,4,10,808,0.2,0.00025,-0.012016534805297852,3.0442391827702524,1.5026508569717407,-0.0034093003268935718,-4.270116287469864,30,1.0042206048965454,0.05390625,0.007165361
10240,5,11,876,0.2,0.00025,-0.06579315662384033,11.839995700120927,5.53244161605835,-0.004471907968400047,-4.268847498297691,40,1.003448247909546,0.032470703125,0.006094149
12288,6,13,941,0.2,0.00025,0.09972620010375977,15.249433082342147,8.942079544067383,-0.0028522241191240028,-4.26308576464653,50,1.000637412071228,0.029150390625,0.0037988508
14336,7,14,994,0.2,0.00025,0.2718641757965088,5.6962427765131,2.1257073879241943,-0.005525649187620729,-4.2582179546356205,60,1.0005837678909302,0.04287109375,0.0055977907
16384,8,15,1037,0.2,0.00025,0.10801655054092407,15.74280126094818,5.929809093475342,-0.002983342329389416,-4.25663181245327,70,0.9992071986198425,0.015576171875,0.004656637
18432,9,17,1065,0.2,0.00025,0.09764736890792847,22.079458463191987,11.576294898986816,-0.0011905695806490257,-4.245247462391854,80,0.993574321269989,0.019384765625,0.0031888373
20480,10,18,1097,0.2,0.00025,0.16948330402374268,19.08726708292961,7.701019287109375,-0.005057452555047348,-4.241152080893516,90,0.9967415928840637,0.037548828125,0.006118031
22528,11,21,1071,0.2,0.00025,0.23540109395980835,23.23877705335617,14.818315505981445,-0.0018991187069332227,-4.245449283719063,100,0.995194137096405,0.0046875,0.002957036
24576,12,22,1093,0.2,0.00025,0.053039610385894775,12.116949838399886,5.400507926940918,-0.0024931231208029205,-4.233767002820969,110,0.9888917803764343,0.03056640625,0.0049638515
26624,13,23,1116,0.2,0.00025,0.320070743560791,17.89432720541954,8.862841606140137,-0.002426089922664687,-4.217855167388916,120,0.9856216311454773,0.016259765625,0.003923982
28672,14,25,1137,0.2,0.00025,0.3346627950668335,21.594470292329788,9.054570198059082,-0.0026856797223445026,-4.216064590215683,130,0.9885775446891785,0.024951171875,0.0048167836
30720,15,26,1157,0.2,0.00025,0.16355949640274048,32.48125547170639,16.816509246826172,-0.0018676526058698073,-4.2207686573266985,140,0.9872045516967773,0.03798828125,0.0049064592
32768,16,27,1174,0.2,0.00025,0.1754063367843628,48.356277441978456,20.070556640625,-0.0023310440039495004,-4.2138208657503124,150,0.9846225380897522,0.020166015625,0.0028630176
34816,17,29,1184,0.2,0.00025,0.10196942090988159,42.14849981069565,14.054120063781738,-0.004079570842441172,-4.206992569565773,160,0.9829961657524109,0.052099609375,0.0035178652
36864,18,30,1198,0.2,0.00025,0.2925490140914917,20.023701632022856,7.873256206512451,-0.0025817209971137345,-4.20773643553257,170,0.9850330352783203,0.03046875,0.003389148
38912,19,32,1211,0.2,0.00025,0.21289080381393433,36.683569478988645,15.424323081970215,-0.002568927250104025,-4.21699920296669,180,0.9889904856681824,0.03046875,0.0037790285
40960,20,33,1223,0.2,0.00025,0.18530058860778809,43.62408319711685,24.76673698425293,-0.0031295407708967103,-4.225751158595085,190,0.9905979037284851,0.022216796875,0.005076761
43008,21,34,1234,0.2,0.00025,0.20944172143936157,45.04061604738236,34.33477020263672,-0.0020830501613090745,-4.222841191291809,200,0.9868322014808655,0.0408203125,0.0056678955
45056,22,36,1245,0.2,0.00025,0.17568331956863403,41.03636747598648,16.77972412109375,-0.0025650976254837587,-4.214053374528885,210,0.9832270741462708,0.02880859375,0.0058522206
47104,23,37,1254,0.2,0.00025,0.015430450439453125,23.216754102706908,15.141294479370117,-0.004865066392812878,-4.210639390349388,220,0.9862052798271179,0.0634765625,0.008001196
49152,24,38,1263,0.2,0.00025,0.2210865020751953,32.99062264561653,19.782644271850586,-0.0034632233611773698,-4.215800389647484,230,0.9862020611763,0.019384765625,0.004724696
51200,25,40,1268,0.2,0.00025,0.2858728766441345,26.57702358365059,10.596364974975586,-0.006663116655545309,-4.211773139238358,240,0.983487069606781,0.055859375,0.0068830005
53248,26,41,1271,0.2,0.00025,0.3547670841217041,35.0858668923378,10.969447135925293,-0.0020010955064208246,-4.207589548826218,250,0.9841570258140564,0.019384765625,0.004814011
55296,27,43,1274,0.2,0.00025,0.04696238040924072,48.080511033535004,23.366867065429688,-0.0025425158673897386,-4.20926813185215,260,0.9833796620368958,0.095849609375,0.0072388523
57344,28,44,1278,0.2,0.00025,-0.0017317533493041992,37.84960503578186,17.447975158691406,-0.0047801084641832855,-4.207600873708725,270,0.9848358035087585,0.07333984375,0.0070930673
59392,29,46,1283,0.2,0.00025,0.03350341320037842,37.57342222929001,19.26557159423828,-0.0006062372311134822,-4.2087362796068195,280,0.9842097163200378,0.03984375,0.0073375218
61440,30,47,1281,0.2,0.00025,0.06405413150787354,46.074986529350284,23.397184371948242,-0.004147915946668945,-4.212215366959572,290,0.987008273601532,0.04736328125,0.004438679
