time/time_elapsed,time/iterations,train/reward,time/total_timesteps,time/fps,train/explained_variance,train/entropy_loss,train/std,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
0,1,-0.043061547,2048,3098,,,,,,,,,,,
1,2,-1.2693583,4096,2350,0.0,-1.4199803344905377,1.002079725265503,10,0.00025,0.0042183297,0.1016600951552391,0.16425913306884468,-0.0019316182428156027,0.03603515625,0.2
2,3,-2.823335,6144,2361,-0.0014984607696533203,-1.4215652994811534,1.0033482313156128,20,0.00025,0.0034473548,9.67636489868164,15.011926454305648,-0.000380113092251122,0.002490234375,0.2
3,4,-0.7433206,8192,2237,0.007519125938415527,-1.4222341001033783,1.0026938915252686,30,0.00025,0.0027836375,4.801791191101074,10.032283368706704,-0.0005476645805174485,0.001904296875,0.2
4,5,-15.204366,10240,2292,0.002196371555328369,-1.4216771684587002,1.003054141998291,40,0.00025,0.0024153239,24.794811248779297,48.38966127634048,-0.0027221862663282083,0.016455078125,0.2
5,6,-0.44415754,12288,2314,0.0013363957405090332,-1.4221253722906113,1.0035735368728638,50,0.00025,0.0012628059,45.90296936035156,90.55957663059235,-0.000803643636754714,0.00029296875,0.2
6,7,0.25260293,14336,2339,0.0019842982292175293,-1.4221416853368283,1.0025793313980103,60,0.00025,0.0037092383,5.457353591918945,22.13711107969284,-0.00181033264962025,0.01494140625,0.2
6,8,2.8183296,16384,2366,0.01335763931274414,-1.423997812718153,1.0089242458343506,70,0.00025,0.00037059645,47.13874435424805,93.93058094978332,-0.0004649467366107274,0.0,0.2
7,9,0.8393578,18432,2389,0.027647674083709717,-1.426870308071375,1.0050122737884521,80,0.00025,0.000438002,7.161588191986084,16.029331958293916,0.00029953307239338756,9.765625e-05,0.2
8,10,1.2499518,20480,2412,0.03781992197036743,-1.4243966296315194,1.0054173469543457,90,0.00025,0.0043940516,29.413415908813477,70.75773639678955,-0.0012213344365591184,0.015087890625,0.2
9,11,-1.4488232,22528,2427,-0.004004120826721191,-1.4240983843803405,1.0036954879760742,100,0.00025,0.0027975924,28.159147262573242,59.99307632446289,-0.0008863048002240248,0.005810546875,0.2
10,12,0.40213734,24576,2443,0.012950479984283447,-1.4255229368805886,1.0095208883285522,110,0.00025,0.0029269226,14.962634086608887,33.376917493343356,-0.002111887813225621,0.022607421875,0.2
10,13,3.5016246,26624,2457,0.027326524257659912,-1.4258736744523048,1.0046532154083252,120,0.00025,0.0023876443,24.626333236694336,80.74564757347108,-0.002681243687402457,0.01552734375,0.2
11,14,1.769137,28672,2468,0.05735427141189575,-1.4239976070821285,1.0053051710128784,130,0.00025,0.0021645506,6.24454402923584,15.165466195344925,-0.0011749405050068163,0.01513671875,0.2
12,15,-7.283243,30720,2479,0.04991555213928223,-1.4261697053909301,1.009239673614502,140,0.00025,0.0038823548,42.236488342285156,72.71815495491028,-0.0030301308492198587,0.03994140625,0.2
13,16,0.16407345,32768,2488,0.0018252730369567871,-1.4275502130389213,1.0070701837539673,150,0.00025,0.0070111267,31.756738662719727,54.14300420284271,-0.004057535919127986,0.056103515625,0.2
13,17,0.6458923,34816,2493,0.075039803981781,-1.4250121757388114,1.004305362701416,160,0.00025,0.0010639312,14.576826095581055,38.354231333732606,-0.0010223718010820449,0.0025390625,0.2
14,18,5.8443246,36864,2499,0.04805344343185425,-1.4199021555483342,0.9984351992607117,170,0.00025,0.0011917094,38.60162353515625,92.38168272972106,-0.0023200505500426518,0.01640625,0.2
15,19,0.49811462,38912,2506,0.2114018201828003,-1.4135404795408248,0.9879993796348572,180,0.00025,0.0028296509,5.556459903717041,10.26491546332836,-0.0013858745311154052,0.014990234375,0.2
16,20,0.88224924,40960,2512,0.06765156984329224,-1.4085316337645053,0.9906821250915527,190,0.00025,0.0017396846,43.352725982666016,74.61755928993225,-0.002446880962816067,0.019873046875,0.2
17,21,-3.0383952,43008,2490,-0.014682173728942871,-1.4106888443231582,0.9915294051170349,200,0.00025,0.0021138885,56.34893035888672,58.4848833322525,-0.001179119739390444,0.004052734375,0.2
18,22,-0.25894207,45056,2495,0.031152784824371338,-1.4087450996041297,0.987085223197937,210,0.00025,0.0030390385,17.809940338134766,42.60399124622345,-0.0016032296247431078,0.003759765625,0.2
18,23,0.5216276,47104,2499,0.018248319625854492,-1.407927516847849,0.9898014664649963,220,0.00025,0.0035839884,47.90159606933594,100.39030432701111,-0.0021721967175835745,0.027197265625,0.2
19,24,0.95141596,49152,2500,0.11192816495895386,-1.4062450267374516,0.9851126074790955,230,0.00025,0.0017472305,7.610235691070557,11.633404678106308,-0.001518219942227006,0.0173828125,0.2
20,25,6.8191724,51200,2506,0.03371107578277588,-1.4012862227857112,0.9790869951248169,240,0.00025,0.002971767,29.464752197265625,88.53732767105103,-0.0031227198109263555,0.024658203125,0.2
