,date,DJI,PPO
74,2022-12-16,1039930.0053115461,993143.0990300276
75,2022-12-19,1034783.4386624406,986647.9148580076
76,2022-12-20,1037695.9353685601,985228.4162820132
77,2022-12-21,1054335.2833681111,995012.7144588474
78,2022-12-22,1043310.9101647837,983127.7092598804
79,2022-12-23,1048884.5475718386,985858.3619454273
80,2022-12-27,1050073.2134520253,981503.730096142
81,2022-12-28,1038516.3899971663,973698.5110789225
82,2022-12-29,1049417.4914041369,986643.1577045748
83,2022-12-30,1047094.0833424698,984449.4537704966
84,2023-01-03,1046750.4277340071,980819.720965443
85,2023-01-04,1050964.3735253888,985858.0934309999
86,2023-01-05,1040233.8042731385,975689.7859358562
87,2023-01-06,1062363.004344683,993032.1225178721
88,2023-01-09,1058794.6621954832,995870.9894178087
89,2023-01-10,1064684.5614784767,1000874.7157143671
90,2023-01-11,1073179.209859868,1012783.226245579
91,2023-01-12,1080032.7021936642,1014585.7929086573
92,2023-01-13,1083590.9259371571,1017689.9266108782
93,2023-01-17,1071215.6221767566,1018062.5044082758
94,2023-01-18,1051823.327453758,1005376.484006737
95,2023-01-19,1043850.1471518509,995457.3093294146
96,2023-01-20,1054303.940989458,1011222.6885113642
97,2023-01-23,1062329.8110381565,1023203.1624249918
98,2023-01-24,1065627.7943226735,1023514.3048021739
99,2023-01-25,1065939.8607620997,1022877.8507886012
100,2023-01-26,1072433.6561125321,1033490.4992970431
101,2023-01-27,1073339.2534233066,1039939.9230018465
102,2023-01-30,1065094.8504903757,1027512.3170132753
103,2023-01-31,1076749.6497273243,1041527.3704330255
104,2023-02-01,1076968.3060067482,1055953.1598127559
105,2023-02-02,1075735.7114383704,1073440.9732747844
106,2023-02-03,1071694.5189151564,1059486.5386690295
107,2023-02-06,1070589.1447892648,1054737.1293114778
108,2023-02-07,1078981.4985568624,1065292.6466955568
109,2023-02-08,1072421.0698029941,1055652.7915941966
110,2023-02-09,1064551.171276413,1049948.723962021
111,2023-02-10,1069902.0803627225,1048621.2899253007
112,2023-02-13,1081800.4617077883,1062168.8641511728
113,2023-02-14,1076851.697550735,1065292.417551327
114,2023-02-15,1078076.7650124289,1071292.562875111
115,2023-02-16,1064455.5400029628,1054990.6148629114
116,2023-02-17,1068557.072774844,1053083.036019438
117,2023-02-21,1046536.2136814789,1028911.1124288217
118,2023-02-22,1043866.9288979014,1028793.0802238276
119,2023-02-23,1047304.4721440598,1035148.7446545298
120,2023-02-24,1036659.2923643611,1021685.3503597319
121,2023-02-27,1038939.0185282199,1026907.7112964881
122,2023-02-28,1031597.9917926157,1022913.8066297285
123,2023-03-01,1031760.3798646935,1014599.4858463384
124,2023-03-02,1042555.3614069322,1022665.6037698347
125,2023-03-03,1054792.9561335647,1040841.5408980239
126,2023-03-06,1056071.4537131987,1041347.0474888823
127,2023-03-07,1037908.2984932151,1027277.0652985366
128,2023-03-08,1036074.152366038,1030764.5791736491
129,2023-03-09,1018904.2050428283,1014113.1662571833
130,2023-03-10,1007999.0315945366,1000075.5188740542
131,2023-03-13,1005140.2117967408,1003963.1240838721
132,2023-03-14,1015762.3783732157,1021553.2686512377
133,2023-03-15,1006891.1895648141,1020652.0116437972
134,2023-03-16,1018641.7434704046,1039856.934858824
135,2023-03-17,1006493.4868624533,1031592.4697319014
136,2023-03-20,1018579.4905962684,1037843.2497296755
137,2023-03-21,1028562.2849877347,1048465.3081836302
138,2023-03-22,1011804.5393018929,1032604.2237778818
139,2023-03-23,1014178.1692065202,1037732.4339930918
140,2023-03-24,1018356.7622755234,1043459.1391203234
141,2023-03-27,1024502.4597905972,1042264.0069558489
142,2023-03-28,1023307.4390580454,1040184.2383037951
143,2023-03-29,1033521.7845264528,1057665.49752479
144,2023-03-30,1037989.492529254,1066359.354382826
145,2023-03-31,1051102.6995351147,1083267.850768782
146,2023-04-03,1061432.357810024,1080974.7925593054
147,2023-04-04,1055153.393488078,1076401.182064974
148,2023-04-05,1057691.2623926562,1068854.9907301695
149,2023-04-06,1057772.4564286952,1072471.3753995344
150,2023-04-10,1060970.2428176748,1073820.061946442
151,2023-04-11,1064074.495651461,1071070.6985417712
152,2023-04-12,1062864.9759839023,1064202.9485450862
153,2023-04-13,1074969.674089237,1080287.3025832025
154,2023-04-14,1070445.3893911107,1075875.149221699
155,2023-04-17,1073626.7642196147,1081163.1379498865
156,2023-04-18,1073293.473807242,1082671.6079653972
157,2023-04-19,1070778.4330131002,1081959.2963327945
158,2023-04-20,1067291.284899939,1074550.8324878733
159,2023-04-21,1067996.9820004052,1077001.842736153
160,2023-04-24,1070095.6874182622,1076338.5438820955
161,2023-04-25,1059210.9975717675,1058576.854317158
162,2023-04-26,1051978.4352095346,1058493.8484010089
163,2023-04-27,1068540.2910287932,1079033.8748721164
164,2023-04-28,1077132.5450066996,1086780.3707534869
165,2023-05-01,1075664.8825984213,1085532.375377602
166,2023-05-02,1064066.3515688188,1078298.52105954
167,2023-05-03,1055528.0212896192,1070705.2694721643
168,2023-05-04,1046477.7243606849,1065366.0833384974
169,2023-05-05,1063745.647465984,1085821.7472461779
170,2023-05-08,1061986.5256152686,1085454.0631556076
171,2023-05-09,1060189.644835939,1080837.6243895018
172,2023-05-10,1059226.7921562858,1088542.3179572395
173,2023-05-11,1052219.7962042035,1086070.5140309583
174,2023-05-12,1051938.948748239,1084051.5167251837
175,2023-05-15,1053454.6118860296,1087374.6948789218
176,2023-05-16,1042826.0904571897,1082274.0910867027
177,2023-05-17,1055734.3380498881,1095273.623370932
178,2023-05-18,1059371.5347159724,1109191.3273757766
179,2023-05-19,1055919.430837211,1106902.8857211154
180,2023-05-22,1051495.343034622,1105916.8503224242
181,2023-05-23,1044196.1472689529,1093218.6212325557
182,2023-05-24,1036122.2764907419,1085810.445350958
183,2023-05-25,1035008.0796086547,1101682.3765275022
184,2023-05-26,1045391.1063039087,1123055.0615608522
185,2023-05-30,1043794.0023396963,1125704.9732616218
186,2023-05-31,1039544.8889187231,1119277.0861205333
187,2023-06-01,1044387.5332110446,1128540.8890947097
188,2023-06-02,1066537.5870699608,1142977.9555993865
189,2023-06-05,1060222.8381424656,1140345.4525900176
190,2023-06-06,1060552.056513517,1142390.5375401138
191,2023-06-07,1063449.9925870337,1134702.5018996107
192,2023-06-08,1068775.6056590762,1145840.73997703
193,2023-06-09,1070139.3693160703,1149228.054715479
194,2023-06-12,1076126.9975907705,1166143.0037965034
195,2023-06-13,1080732.4763249357,1173935.7458326095
196,2023-06-14,1073378.739884602,1178985.0583986
