train/reward,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/n_updates,train/entropy_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
-0.04936128,26624,20,13,1279,0.17013782262802124,120,-4.204070633649826,0.9823141098022461,-0.002010639922809787,0.00025,22.696683883666992,0.00713219,52.38849936723709,0.027880859375,0.2
-12.20325,28672,22,14,1275,0.09113842248916626,130,-4.201509764790535,0.980532169342041,-0.00042599722801242026,0.00025,83.4887924194336,0.0036591897,215.9413830757141,0.00966796875,0.2
-0.6097492,30720,24,15,1276,-3.409385681152344e-05,140,-4.196114426851272,0.9798712134361267,-0.0012664709676755593,0.00025,19.307825088500977,0.0022902037,39.40434552431107,0.026123046875,0.2
-0.047541235,32768,25,16,1282,0.09872394800186157,150,-4.195661130547523,0.9783913493156433,-0.002127559315704275,0.00025,120.93326568603516,0.0054254103,215.88336305618287,0.01259765625,0.2
-0.41672805,34816,27,17,1286,0.05312156677246094,160,-4.1881273001432415,0.9768010973930359,-0.0011949520354392006,0.00025,114.33759307861328,0.0054345434,214.9432475566864,0.020556640625,0.2
0.94795233,36864,28,18,1289,0.34733545780181885,170,-4.187144142389298,0.9760958552360535,-0.0019855636433931067,0.00025,7.171508312225342,0.004851975,16.73441947102547,0.045068359375,0.2
-5.30591,38912,30,19,1282,0.08298665285110474,180,-4.182996958494186,0.974909782409668,-0.0038779787690145897,0.00025,100.0705795288086,0.0038583495,216.79649105072022,0.024560546875,0.2
1.2127392,40960,33,20,1239,0.0005696415901184082,190,-4.179908144474029,0.975304126739502,-0.0012476011645048857,0.00025,102.88902282714844,0.0039996044,144.29217166900634,0.0322265625,0.2
0.15378071,43008,34,21,1238,0.17311924695968628,200,-4.182068824768066,0.9755762219429016,-0.002157206639822107,0.00025,54.19829177856445,0.0035770675,118.76108484268188,0.02939453125,0.2
2.3476493,45056,36,22,1237,0.08372563123703003,210,-4.182629653811455,0.9754649996757507,-0.002372850410756655,0.00025,105.46758270263672,0.0046780873,215.80931415557862,0.0220703125,0.2
2.3269188,47104,38,23,1237,0.0014436841011047363,220,-4.167518883943558,0.9662458300590515,-0.002691278516431339,0.00025,19.174251556396484,0.007169269,45.90737360715866,0.04697265625,0.2
0.31665963,49152,39,24,1235,0.1003422737121582,230,-4.150889030098915,0.9649613499641418,-0.0016106976268929428,0.00025,131.3293914794922,0.0029344182,246.65695428848267,0.012841796875,0.2
1.0490586,51200,41,25,1236,0.03985559940338135,240,-4.148844608664513,0.9641072750091553,-0.0017957218980882317,0.00025,115.51488494873047,0.004734544,201.17634925842285,0.015087890625,0.2
4.309116,53248,42,26,1239,0.09541976451873779,250,-4.135986179113388,0.9571223258972168,-0.002461385345668532,0.00025,11.570042610168457,0.0066087246,23.98256311416626,0.056201171875,0.2
8.787801,55296,44,27,1235,0.0627753734588623,260,-4.124235859513282,0.956974983215332,-0.0026083364369696937,0.00025,208.66116333007812,0.0043489765,275.4911971092224,0.018408203125,0.2
1.1149371,57344,47,28,1196,0.001012563705444336,270,-4.126926589012146,0.9586772918701172,-0.0010052575904410332,0.00025,92.45988464355469,0.0045550894,152.37206168174743,0.020361328125,0.2
2.0060039,59392,49,29,1198,0.17868494987487793,280,-4.131563878059387,0.9593194127082825,-0.004390997486189008,0.00025,47.41954803466797,0.006792373,121.77051811218261,0.029248046875,0.2
-0.068577796,61440,51,30,1202,0.12375146150588989,290,-4.130455330014229,0.9582452178001404,-0.003234854689799249,0.00025,105.5376968383789,0.005145574,211.52023992538452,0.0380859375,0.2
-0.20269495,63488,52,31,1207,0.0004404783248901367,300,-4.138314107060433,0.9640094637870789,-0.005015219881897792,0.00025,22.90097427368164,0.00915169,50.204764699935915,0.066650390625,0.2
0.17270052,65536,54,32,1212,0.07939404249191284,310,-4.145328032970428,0.963276207447052,0.00031481917831115424,0.00025,75.66731262207031,0.00057831965,268.1929578781128,0.00595703125,0.2
-1.9713678,67584,55,33,1216,0.045684874057769775,320,-4.144470864534378,0.9636197090148926,-0.001669485474121757,0.00025,159.6605682373047,0.005448045,357.72695379257203,0.020947265625,0.2
3.5561166,69632,57,34,1220,0.18857121467590332,330,-4.142815840244293,0.9624527096748352,-0.0016107082279631867,0.00025,12.597185134887695,0.005405266,29.53989850282669,0.056640625,0.2
-11.138949,71680,58,35,1224,0.08438187837600708,340,-4.141512563824653,0.9618697166442871,-0.002080723820836283,0.00025,211.09129333496094,0.004819734,351.1203414916992,0.02119140625,0.2
0.021458339,73728,60,36,1227,0.00023216009140014648,350,-4.141862389445305,0.9618902802467346,-0.00014988243929110469,0.00025,114.30428314208984,0.0044291597,203.83890995979309,0.029052734375,0.2
0.011738727,75776,61,37,1227,0.1675437092781067,360,-4.141632795333862,0.9632412791252136,-0.0022676338790915906,0.00025,48.97667694091797,0.0063165235,149.34345228672026,0.040087890625,0.2
0.2988008,77824,63,38,1230,0.14662474393844604,370,-4.142972603440285,0.9625568985939026,-0.0004303495603380725,0.00025,101.47277069091797,0.004189196,277.71057920455934,0.018310546875,0.2
0.56795526,79872,64,39,1233,0.0022852420806884766,380,-4.1314436286687855,0.953876793384552,-0.0016794646478956565,0.00025,31.57766342163086,0.010567023,56.92666609287262,0.069970703125,0.2
-0.09640486,81920,66,40,1236,0.1531798243522644,390,-4.113127034902573,0.9533247947692871,0.0001494991243816912,0.00025,124.28150939941406,0.005909647,281.0686142921448,0.030712890625,0.2
