time/time_elapsed,time/iterations,train/reward,time/fps,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss
22,12,-0.16424616,1094,24576,1.8249991150572895,-0.0033425327492295764,0.0003,0.9887423515319824,110,0.0580078125,0.746501088142395,0.0056589176,0.2,-0.11447465419769287,-4.243227531015873
24,13,-0.47104535,1105,26624,2.3126724768429994,-4.966311389580369e-05,0.0003,0.9876927733421326,120,0.032470703125,0.9012166261672974,0.00534847,0.2,0.010951638221740723,-4.220753149688244
25,14,0.20828894,1115,28672,1.6349764607846737,-0.0024990926394821145,0.0003,0.9876114726066589,130,0.065576171875,0.82643723487854,0.005192384,0.2,-0.016914963722229004,-4.218821941316127
27,15,-0.12068459,1122,30720,1.1695788383483887,-0.0026220680156257004,0.0003,0.984872579574585,140,0.090478515625,0.4038940668106079,0.008071949,0.2,0.017882883548736572,-4.2121075004339215
28,16,0.07361305,1130,32768,1.0593362031504512,0.0001494212483521551,0.0003,0.9842629432678223,150,0.032421875,0.2856786847114563,0.0040746643,0.2,0.05824810266494751,-4.207609412074089
30,17,-0.51523715,1137,34816,0.6199651422910393,-0.0019859784471918827,0.0003,0.9775558114051819,160,0.06318359375,0.37427034974098206,0.007465229,0.2,0.002901732921600342,-4.198727363348008
32,18,0.14996944,1143,36864,0.8465301346033811,-0.0029990061564603822,0.0003,0.9769744277000427,170,0.089111328125,0.40576332807540894,0.0067893155,0.2,0.1396423578262329,-4.18640738427639
33,19,0.061340503,1148,38912,0.6701182124204934,-0.0018092553204041907,0.0003,0.9679504036903381,180,0.062158203125,0.19924688339233398,0.007142785,0.2,0.1561887264251709,-4.168864114582538
35,20,-0.11909814,1154,40960,0.6040182547643781,-0.0023729997337795794,0.0003,0.9611672759056091,190,0.068505859375,0.2708975672721863,0.005871629,0.2,0.027066707611083984,-4.147562192380429
37,21,0.61912733,1158,43008,0.9332568183541298,-0.00021261686488287522,0.0003,0.9610476493835449,200,0.057958984375,0.3338313102722168,0.00461548,0.2,0.06014883518218994,-4.135170266032219
38,22,-0.037277717,1159,45056,0.7566296822391451,-0.0023614595193066634,0.0003,0.9510035514831543,210,0.052978515625,0.2670118510723114,0.0055875406,0.2,0.056691646575927734,-4.11629036962986
40,23,0.23309878,1159,47104,0.4063707121647894,-0.0008321010216604918,0.0003,0.9551903605461121,220,0.059765625,0.11936693638563156,0.00626674,0.2,-0.008280038833618164,-4.110341408848763
42,24,0.1437559,1161,49152,0.7701731783337891,-0.003579985589021817,0.0003,0.9549724459648132,230,0.06318359375,0.41766586899757385,0.0065565696,0.2,0.022463738918304443,-4.114210788905621
44,25,0.3422057,1160,51200,1.4517527140676976,-0.0007421150643494911,0.0003,0.9581250548362732,240,0.070458984375,0.5907967686653137,0.0055792527,0.2,0.12584877014160156,-4.118488022685051
45,26,0.6772461,1159,53248,1.60312176104635,-0.0016485471103806048,0.0003,0.9576254487037659,250,0.055859375,0.6836522817611694,0.004883538,0.2,0.3178025484085083,-4.122695921361446
