time/fps,train/reward,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/std,train/loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance
1939,0.07036817,1,2048,1,,,,,,,,,,,
989,0.53299433,4,4096,2,0.016357421875,1.0074328184127808,3.6092140674591064,10,0.00025,-2.848055534809828,0.2,-0.002974774154426996,12.043540750443935,0.003229814,-0.008373856544494629
1100,-1.008535,5,6144,3,0.034375,1.0095455646514893,4.3284077644348145,20,0.00025,-2.8565111510455607,0.2,-0.0015164390686550177,8.618325805291533,0.003163577,0.04251754283905029
1170,-0.12924936,6,8192,4,0.016845703125,0.9985712766647339,2.060704469680786,30,0.00025,-2.846927650272846,0.2,-0.0008275320280517918,5.537695308029652,0.004628506,0.2820989489555359
1197,0.10349037,8,10240,5,0.057568359375,0.9975219964981079,4.840549945831299,40,0.00025,-2.835386277735233,0.2,-0.002177144290180877,9.86851608902216,0.0070230346,0.13411754369735718
1227,-0.053026512,10,12288,6,0.049072265625,0.992462158203125,10.7708740234375,50,0.00025,-2.8276681333780287,0.2,-0.0016263845740468242,14.225924329459668,0.0075128656,0.07621026039123535
1238,1.1780479,11,14336,7,0.05263671875,0.9790985584259033,3.140984296798706,60,0.00025,-2.8087601885199547,0.2,-0.002761621335230302,6.7952178828418255,0.006612073,-0.009624123573303223
1261,0.21206853,12,16384,8,0.024609375,0.9882187843322754,3.53806734085083,70,0.00025,-2.806669158488512,0.2,-0.0021408369510027116,11.593453510850669,0.0050078644,0.08944517374038696
1279,-1.2693833,14,18432,9,0.051904296875,0.9874014854431152,8.651318550109863,80,0.00025,-2.8117729909718037,0.2,-0.0019501495364238508,11.050624846667052,0.0062266886,0.18644213676452637
1295,1.2885132,15,20480,10,0.02578125,0.9966470003128052,10.106348991394043,90,0.00025,-2.8232245653867722,0.2,-0.0004700207064161077,12.448919613659381,0.004104032,0.14951884746551514
1303,1.0655092,17,22528,11,0.02646484375,0.9860166311264038,5.521123886108398,100,0.00025,-2.820646470785141,0.2,-0.002201115801290143,14.054550662636757,0.0049605584,0.18598449230194092
1312,0.8084936,18,24576,12,0.043798828125,0.9887965321540833,2.9289028644561768,110,0.00025,-2.812957729399204,0.2,-0.0022902334370883183,5.609179792553187,0.0038153375,0.17194324731826782
1324,0.061934464,20,26624,13,0.048486328125,0.9745241403579712,10.25029468536377,120,0.00025,-2.80014004856348,0.2,-0.0012921702829771676,8.678230024129153,0.0055516227,0.24731701612472534
1310,1.3444157,21,28672,14,0.075244140625,0.9707033634185791,5.974513053894043,130,0.00025,-2.783919013291597,0.2,-0.003394492363440804,11.134280950576066,0.007389481,0.2564418315887451
1272,0.15389904,24,30720,15,0.0408203125,0.969692051410675,9.450667381286621,140,0.00025,-2.7772406220436094,0.2,-0.002627177855174523,19.252350045740606,0.0046474747,0.2330251932144165
1275,0.05477238,25,32768,16,0.028125,0.9770423173904419,4.204169273376465,150,0.00025,-2.7833761133253576,0.2,-0.00143626828212291,18.435500632226468,0.0032011715,0.3257187604904175
1283,1.5537105,27,34816,17,0.05322265625,0.9841654300689697,16.33339500427246,160,0.00025,-2.798596653342247,0.2,-0.002376224544423167,14.50088616013527,0.0076352283,0.12304544448852539
1282,2.252814,28,36864,18,0.052685546875,0.9820613861083984,2.740279197692871,170,0.00025,-2.805799674987793,0.2,8.739116310607642e-06,8.07577283680439,0.0053737676,0.32574212551116943
1289,0.7366583,30,38912,19,0.051953125,0.982638418674469,11.521950721740723,180,0.00025,-2.8031909219920634,0.2,-0.0023284525974304414,16.528961120545866,0.0058900584,0.1680266261100769
1296,1.1380908,31,40960,20,0.08046875,0.9765042066574097,7.452389240264893,190,0.00025,-2.795819690078497,0.2,0.0018080622961861082,20.322336041927336,0.009562779,0.11869579553604126
1302,0.44059977,33,43008,21,0.042919921875,0.9825999140739441,14.626190185546875,200,0.00025,-2.796676878631115,0.2,0.00033250989363295955,21.992833051085473,0.0070095537,0.12465518712997437
1308,-2.460154,34,45056,22,0.04970703125,0.9821960926055908,9.781734466552734,210,0.00025,-2.8033656224608423,0.2,-0.0012778526826878079,22.342260631918908,0.0064236512,0.13788044452667236
1313,0.45135143,35,47104,23,0.0513671875,0.9705191850662231,8.206263542175293,220,0.00025,-2.789403472095728,0.2,-0.000779654533835128,12.549470560252667,0.006672655,0.04992818832397461
1318,0.0873727,37,49152,24,0.03701171875,0.9747480154037476,5.304133415222168,230,0.00025,-2.781233362853527,0.2,-0.0016156170473550445,22.78428015112877,0.0049298382,0.1228715181350708
1322,3.3794162,38,51200,25,0.035693359375,0.9689780473709106,21.976736068725586,240,0.00025,-2.779260893911123,0.2,-0.0010258364069159142,21.076025328040124,0.007520181,0.09964996576309204
1326,-0.65941054,40,53248,26,0.04716796875,0.962834358215332,17.394264221191406,250,0.00025,-2.767816337198019,0.2,-0.0020082534014363774,25.616269448399542,0.006688365,0.10527908802032471
1330,-14.404782,41,55296,27,0.08330078125,0.9648420810699463,11.17350959777832,260,0.00025,-2.763746012747288,0.2,-0.005988816898025107,33.865656858682634,0.007851994,0.09034889936447144
1333,-2.5405328,42,57344,28,0.04150390625,0.9665511846542358,9.629775047302246,270,0.00025,-2.7675582565367223,0.2,-0.0013413526496151463,25.413744112849237,0.0061900336,-0.07284748554229736
1337,0.44762164,44,59392,29,0.04951171875,0.9622179269790649,12.677536964416504,280,0.00025,-2.765643959492445,0.2,-0.0009750496334163472,24.350598454475403,0.003968461,0.07120943069458008
