time/iterations,time/time_elapsed,time/total_timesteps,train/reward,time/fps,train/value_loss,train/std,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate
1,1,2048,-0.10587386,1564,,,,,,,,,,,
2,2,4096,-0.04914308,1521,1.0165640722960234,1.0079703330993652,0.0034736516,-0.00017786546668503435,-1.4245148077607155,0.6288841962814331,10,0.2,0.00390625,-0.008207321166992188,0.00025
3,3,6144,-0.18629436,1728,4.290768451988697,1.0195337533950806,0.00054479344,-0.001059135045215953,-1.4317672118544578,1.3499842882156372,20,0.2,0.005126953125,-0.03563797473907471,0.00025
4,4,8192,-0.0026938685,1864,0.049099344562273474,1.0308268070220947,0.00053751486,0.00012323101982474326,-1.4441687732934951,0.0045899078249931335,30,0.2,0.000732421875,0.0,0.00025
5,5,10240,-0.13426241,1957,0.08913566628471017,1.0267976522445679,0.0002018369,0.00014826742117293178,-1.4472471691668034,0.03353565186262131,40,0.2,0.0,5.960464477539063e-08,0.00025
6,6,12288,-0.26784152,2023,2.566089717671275,1.0389695167541504,0.0030818817,-0.0010823665972566233,-1.4518501818180085,1.6525630950927734,50,0.2,0.0115234375,0.0,0.00025
7,6,14336,0.128183,2074,1.4757875297218561,1.0282191038131714,0.0010871387,-0.00022533853043569252,-1.4522915281355382,0.5770764946937561,60,0.2,0.000537109375,0.0329664945602417,0.00025
8,7,16384,0.44432274,2113,31.080855000019074,1.0277236700057983,8.715817e-05,1.969907243619673e-05,-1.446248097717762,18.917699813842773,70,0.2,0.0,0.005148649215698242,0.00025
9,8,18432,0.0,2145,1.0012442722916604,1.020227074623108,0.005741922,-0.0006680940627120435,-1.4429442599415778,0.800961434841156,80,0.2,0.009033203125,-0.018088579177856445,0.00025
10,9,20480,0.14611785,2172,0.19120067693293094,1.022231936454773,0.0033733319,8.405382395721972e-05,-1.4395810939371585,0.08103561401367188,90,0.2,0.011865234375,0.0,0.00025
11,10,22528,-0.38866985,2194,9.609347496926784,1.0222327709197998,0.00085958384,-0.002120340595138259,-1.4409719586372376,4.78637170791626,100,0.2,0.001025390625,-0.021030306816101074,0.00025
12,11,24576,0.014257923,2213,0.5132977801375092,1.022343635559082,0.00018963078,0.00026654588000383226,-1.4411113783717155,0.3246707022190094,110,0.2,0.002197265625,-1.1920928955078125e-07,0.00025
13,11,26624,2.7069683,2230,1.7116741426289082,1.0173181295394897,0.0031914855,-0.0006124631763668731,-1.4377733774483203,0.7530303001403809,120,0.2,0.00595703125,-0.000990152359008789,0.00025
14,12,28672,0.5839889,2245,8.21019044816494,1.0142556428909302,0.0013121581,-0.0007401143666356802,-1.4346743784844875,4.960775852203369,130,0.2,0.0017578125,0.014104962348937988,0.00025
15,13,30720,-4.891447,2223,41.056791758537294,1.0168582201004028,0.00017542919,-0.00048137567355297504,-1.4340123869478703,23.314558029174805,140,0.2,0.0,0.025015711784362793,0.00025
16,14,32768,0.15889952,2234,21.219737762212752,1.017462968826294,0.002925734,-0.0014535783309838734,-1.4360448069870473,12.77397346496582,150,0.2,0.003466796875,0.1282711625099182,0.00025
17,15,34816,1.3749892,2245,21.433764499425887,1.0176407098770142,0.004344694,-0.0013712392741581426,-1.4364765785634517,12.580310821533203,160,0.2,0.011669921875,0.10938984155654907,0.00025
18,16,36864,6.7716565,2253,89.74334874153138,1.0166605710983276,0.0041792598,-0.002814798273902852,-1.4359524577856064,50.8900032043457,170,0.2,0.0123046875,0.04221755266189575,0.00025
19,17,38912,0.53947103,2263,15.518549978733063,1.0174319744110107,0.003574545,-0.00018212170398328452,-1.4358772575855254,8.494961738586426,180,0.2,0.005810546875,-0.02941298484802246,0.00025
20,18,40960,0.92325217,2272,100.77111909389495,1.0192042589187622,0.00022472063,-0.0002113717797328718,-1.437134353071451,54.15267562866211,190,0.2,0.0,0.029410362243652344,0.00025
21,18,43008,-2.8287709,2280,65.6913577914238,1.0170319080352783,0.002030971,-0.0009330394037533552,-1.4370733685791492,29.776203155517578,200,0.2,0.006884765625,-0.004185318946838379,0.00025
22,19,45056,-0.4222445,2286,44.3122283577919,1.0150312185287476,0.00335562,-0.001630724922870286,-1.4350832238793374,12.685022354125977,210,0.2,0.00556640625,0.03021383285522461,0.00025
23,20,47104,0.5449311,2292,90.89700906276703,1.015675663948059,0.002013736,-0.000644083064980805,-1.4341529533267021,55.84587097167969,220,0.2,0.0033203125,0.02014482021331787,0.00025
24,21,49152,1.0093321,2298,13.844260185956955,1.0161381959915161,0.0054162876,-0.0015837849816307426,-1.435022982209921,8.150385856628418,230,0.2,0.028369140625,0.02581721544265747,0.00025
25,22,51200,7.4872594,2291,100.74466767311097,1.0159343481063843,0.0013497877,-0.001274483188171871,-1.4349496960639954,47.205162048339844,240,0.2,0.001171875,0.021672844886779785,0.00025
