time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/reward,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_range,train/std,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/loss
2048,0,3001,1,-0.010240614,,,,,,,,,,,
4096,1,2583,2,-2.402,-1.423608908802271,-0.0014450104645220563,10,0.0022650114,0.2,1.0087943077087402,0.02060546875,0.00025,0.25373854781500993,-0.0005801916122436523,0.08044180274009705
6144,2,2516,3,-0.10758368,-1.4291680492460728,-0.0009505021444056183,20,0.003862944,0.2,1.010155200958252,0.003955078125,0.00025,7.5088214978575705,0.018839478492736816,3.89094877243042
8192,3,2435,4,-0.0011971529,-1.433163721859455,0.00016851471737027167,30,0.00014973263,0.2,1.0174311399459839,0.000439453125,0.00025,1.362671396136284,0.0,0.7900621891021729
10240,4,2430,5,-5.513488,-1.4242680728435517,-0.0017989894462516532,40,0.0029576707,0.2,0.9928402304649353,0.01103515625,0.00025,0.10708734102081507,0.0,0.00570184551179409
12288,5,2423,6,-0.12233281,-1.4118159040808678,-0.0005355270608561113,50,0.0023510724,0.2,0.9936736226081848,0.001513671875,0.00025,14.527639758586883,0.02186417579650879,6.634902000427246
14336,6,2380,7,0.020810071,-1.4075978599488734,-0.003284659411292523,60,0.0034479531,0.2,0.9846634268760681,0.03994140625,0.00025,2.34446886703372,0.0,0.581030547618866
16384,8,2024,8,0.5329966,-1.4007435902953147,-0.0008279859335743822,70,0.00025766043,0.2,0.9792680740356445,0.00185546875,0.00025,13.888947987556458,0.002299666404724121,9.733192443847656
18432,9,2021,9,0.06582423,-1.3920885764062405,-0.0011199720815056936,80,0.0048041516,0.2,0.9678639769554138,0.021630859375,0.00025,0.8833766918629408,-1.1920928955078125e-07,0.5179689526557922
20480,10,1921,10,0.51580393,-1.3864751882851123,-0.0022989650402450933,90,0.007050425,0.2,0.9683939218521118,0.054296875,0.00025,0.5779503410682082,0.0,0.2550394535064697
22528,11,1940,11,-1.3690696,-1.3867269322276115,-0.0008193949994165451,100,0.0038414954,0.2,0.967261016368866,0.005517578125,0.00025,6.10225760191679,-0.025414109230041504,4.513708591461182
24576,12,1962,12,0.3418691,-1.3853750340640545,-0.0002732460154220462,110,0.00087832566,0.2,0.9666101336479187,0.001318359375,0.00025,9.594987684488297,-0.012169480323791504,5.418436050415039
26624,13,1981,13,3.2225142,-1.3846300818026065,-0.0008951432682806626,120,0.0011713909,0.2,0.9669045805931091,0.000341796875,0.00025,69.82882363796234,0.008364379405975342,34.47333908081055
28672,14,1988,14,1.7457669,-1.3848396338522435,-0.0016960499167907983,130,0.003933454,0.2,0.965933084487915,0.01962890625,0.00025,13.888270270824432,0.02050197124481201,8.043343544006348
30720,15,2011,15,-7.7941904,-1.384610052406788,-0.0034061529993778096,140,0.0056856405,0.2,0.9666727185249329,0.03408203125,0.00025,64.40406832695007,0.01766151189804077,34.84946823120117
32768,16,2031,16,0.1676276,-1.3839738696813584,-0.003532160579925403,150,0.005233113,0.2,0.9630782604217529,0.028173828125,0.00025,53.07013424634933,0.0034651756286621094,23.012617111206055
34816,16,2050,17,1.6019118,-1.3813410170376301,-0.0005588104846538045,160,0.0017386519,0.2,0.9627498984336853,0.0025390625,0.00025,39.50360333919525,0.028039276599884033,18.391380310058594
36864,17,2067,18,6.8641205,-1.3810758590698242,-0.0018272335626534186,170,0.0025560707,0.2,0.9631986021995544,0.01064453125,0.00025,98.62532613277435,0.013154327869415283,44.03334045410156
38912,18,2082,19,0.5621272,-1.379891500622034,-0.0012660910375416278,180,0.0017214715,0.2,0.9599141478538513,0.001220703125,0.00025,16.98506780266762,-0.013517022132873535,6.970591068267822
40960,19,2097,20,1.0179898,-1.3776632733643055,-0.0017033209456712938,190,0.0014290944,0.2,0.959349513053894,0.003369140625,0.00025,109.69408884048462,0.009555399417877197,67.6551742553711
43008,20,2091,21,-3.2086978,-1.3782144710421562,-0.0007878595788497478,200,0.0048330477,0.2,0.961155354976654,0.016162109375,0.00025,74.75679236650467,-0.008321404457092285,47.46885681152344
45056,21,2103,22,-0.448636,-1.3791052162647248,-0.002209343947470188,210,0.0026711295,0.2,0.9596777558326721,0.022900390625,0.00025,53.0143697142601,0.0056514739990234375,15.863544464111328
47104,22,2110,23,0.5581453,-1.3770805776119233,-0.0004353774260380305,220,0.0023625265,0.2,0.9580947160720825,0.00283203125,0.00025,113.30639154911042,0.0038730502128601074,66.58467102050781
49152,23,2118,24,1.0285094,-1.377390407770872,-0.0013938159434474073,230,0.0025888667,0.2,0.961603581905365,0.021923828125,0.00025,14.890289321541786,-0.0012068748474121094,6.275871276855469
51200,24,2127,25,7.674429,-1.379550189524889,-0.0006328596326056867,240,0.0010627583,0.2,0.960590124130249,0.010400390625,0.00025,107.4686104297638,0.005529463291168213,66.16838836669922
