time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/reward,train/clip_range,train/std,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
2048,2010,1,1,0.00012784485,,,,,,,,,,,
4096,1738,2,2,0.00064516166,0.2,1.0036998987197876,0.00025,0.002288378964021831,0.7677584886550903,-0.01955774798989296,10,-2.8424706883728503,0.09833984375,-0.007271572256286163,0.0073526925
6144,1664,3,3,0.0011418205,0.2,0.9955679774284363,0.00025,0.0008026850417820697,-0.1693258285522461,-0.0335705392062664,20,-2.835477342456579,0.059912109375,-0.003055154049798148,0.0068926276
8192,1624,5,4,0.021115132,0.2,0.9940363168716431,0.00025,0.0002648117607350287,0.0,-0.04187939688563347,30,-2.8271358139812945,0.024560546875,-0.000707271728606429,0.0033931902
10240,1605,6,5,0.00038479612,0.2,0.9969539642333984,0.00025,0.002431758396232908,0.8095755577087402,-0.032126449048519135,40,-2.828886591643095,0.018994140625,-0.0011182192909473087,0.0062819514
12288,1593,7,6,-0.00081367383,0.2,1.0063765048980713,0.00025,0.019466733541776193,0.3303481340408325,-0.020263314247131348,50,-2.8417765028774737,0.0142578125,-0.0012700036480964628,0.0039211847
14336,1584,9,7,0.00060826726,0.2,1.004945158958435,0.00025,8.207816389358414e-05,0.0,-0.03245914354920387,60,-2.8500498794019222,0.045263671875,-0.002915643697633641,0.0055056075
16384,1577,10,8,-0.013193103,0.2,0.9978528022766113,0.00025,0.0002224715890065454,-0.49537205696105957,-0.0493285208940506,70,-2.8402466721832753,0.098876953125,-0.005225649783824338,0.0074004326
18432,1571,11,9,0.0009392467,0.2,0.9945248365402222,0.00025,0.0021004729204832985,-0.1893293857574463,-0.04288460686802864,80,-2.8289065554738047,0.017431640625,-0.0010703823252697475,0.0033911075
20480,1567,13,10,0.06663044,0.2,1.0024172067642212,0.00025,0.00711376845210907,-0.12285423278808594,0.009343553334474564,90,-2.835612712800503,0.024169921875,-0.0012002295181446244,0.007059562
22528,1546,14,11,-0.001961431,0.2,1.0101690292358398,0.00025,0.005298053787919343,0.8586703538894653,-0.017395492643117905,100,-2.850450425595045,0.023779296875,-0.0004984167695511133,0.003298189
24576,1543,15,12,0.0062798955,0.2,1.0200603008270264,0.00025,0.03904149848676752,0.2632855772972107,-0.022944020107388496,110,-2.867139348387718,0.016650390625,-0.003983504066127352,0.0048354794
26624,1542,17,13,-0.08678153,0.2,1.0120078325271606,0.00025,0.03474150037218351,0.4107332229614258,0.0014155078679323196,120,-2.8684948772192,0.01748046875,-0.00046246863348642364,0.0053120423
