time/iterations,time/time_elapsed,train/reward,time/total_timesteps,time/fps,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range
1,1,-0.0039772457,2048,1716,,,,,,,,,,,
2,3,0.084922165,4096,1351,0.0660254955291748,-0.0031660021690186114,0.0003,10,-2.8362068317830564,-0.0018303561955690384,0.10373413037741556,0.0073087593,0.056640625,0.9981138706207275,0.2
3,5,0.3008161,6144,1052,0.11105245351791382,-0.0012464744966564467,0.0003,20,-2.827957546710968,0.34935030341148376,0.562076524225995,0.002679796,0.02109375,0.9917240142822266,0.2
4,7,-0.33852202,8192,1086,0.3133566379547119,-0.003825136502564419,0.0003,30,-2.8395537450909614,0.5670822858810425,1.0466779982671142,0.00509778,0.028857421875,1.0087003707885742,0.2
5,9,0.033810336,10240,1127,0.18602591753005981,-0.0015916223303065636,0.0003,40,-2.859891730546951,0.8618813753128052,1.886992277018726,0.0041373,0.029052734375,1.0142741203308105,0.2
6,10,0.52447695,12288,1176,0.12204331159591675,-0.0036087371423491276,0.0003,50,-2.8695277854800225,2.1334314346313477,3.9407520554959774,0.0054169605,0.044287109375,1.015512466430664,0.2
7,11,-0.44102797,14336,1195,0.12293094396591187,-0.0018726468799286522,0.0003,60,-2.868426713347435,1.1108369827270508,3.3382285986095668,0.005540344,0.04306640625,1.0151972770690918,0.2
8,13,0.070217825,16384,1226,-0.012213826179504395,-0.004548378619074356,0.0003,70,-2.8503526255488394,0.40189221501350403,1.1187311669811606,0.0034450819,0.058447265625,1.0000871419906616,0.2
9,14,0.21521015,18432,1252,0.10223501920700073,-0.005439189638127573,0.0003,80,-2.8452837869524954,0.4941348135471344,0.9702567983418703,0.0050046123,0.05556640625,1.0049492120742798,0.2
10,16,-0.057534806,20480,1274,0.019591450691223145,-0.0012577550311107188,0.0003,90,-2.8420382395386694,0.3035055100917816,0.9180646184831858,0.003945488,0.0568359375,0.9984601736068726,0.2
11,17,-0.057169735,22528,1293,0.07159876823425293,-0.0034123442965210415,0.0003,100,-2.8335388571023943,0.4018278419971466,1.158794996328652,0.0042296415,0.04599609375,0.9941593408584595,0.2
12,18,0.5084462,24576,1307,-0.027686595916748047,-0.0009463677881285549,0.0003,110,-2.819066596776247,1.4192322492599487,1.6704342454671859,0.005632301,0.04560546875,0.985962986946106,0.2
13,20,0.0816443,26624,1322,0.033653855323791504,-0.003770080419781152,0.0003,120,-2.8132799550890923,0.4993198812007904,1.1035882676020266,0.0062754927,0.0845703125,0.9897297024726868,0.2
14,21,-0.5982253,28672,1334,-0.1448439359664917,-0.001720537965593394,0.0003,130,-2.8091697402298452,0.5449514389038086,1.2117485040798783,0.008488104,0.063623046875,0.9813321828842163,0.2
15,22,0.19262044,30720,1344,0.05319112539291382,-5.109511985210702e-05,0.0003,140,-2.788468223065138,0.7798327207565308,1.528540695644915,0.0056345635,0.051416015625,0.9704965353012085,0.2
16,24,0.09874895,32768,1354,0.049890995025634766,-0.0032067404841654933,0.0003,150,-2.789021146297455,0.6582229137420654,1.3632079165428876,0.006884672,0.090185546875,0.9822218418121338,0.2
17,25,0.07608868,34816,1363,0.051474153995513916,-0.004060551861766726,0.0003,160,-2.8138837926089764,1.3529231548309326,1.7696711478754878,0.008222869,0.08330078125,0.9914470911026001,0.2
18,27,-0.8213379,36864,1364,0.022426128387451172,-0.0031866399294813164,0.0003,170,-2.8236281901597975,0.7195570468902588,1.5325790559872985,0.005998957,0.068896484375,0.9943486452102661,0.2
19,28,0.4409554,38912,1349,0.14733779430389404,-0.0005131282858201302,0.0003,180,-2.8479891784489153,0.6966841816902161,1.0260013610124588,0.008210124,0.066357421875,1.0152608156204224,0.2
