time/total_timesteps,time/time_elapsed,time/iterations,train/reward,time/fps,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/std
2048,1,1,-0.0030080758,1292,,,,,,,,,,,
4096,3,2,0.17734963,1141,0.0609375,-0.006981447302678134,10,0.3473768407478929,0.09623555839061737,0.2,0.0052763415,-4.257836522161961,-0.1146465539932251,0.00025,1.0012816190719604
6144,5,3,-0.90973616,1122,0.03037109375,-0.004823775366821792,20,1.9491117987781763,1.0333224534988403,0.2,0.004496635,-4.269875007867813,-0.1275486946105957,0.00025,1.0066101551055908
8192,7,4,-0.1739942,1138,0.02880859375,-0.0032388969615567476,30,2.2891100591048597,0.7822579741477966,0.2,0.0029894714,-4.2680622190237045,0.03992259502410889,0.00025,1.0004816055297852
10240,9,5,0.028141284,1124,0.0546875,-0.004335692756285425,40,2.596302310563624,1.2441773414611816,0.2,0.010663694,-4.254318319261074,-0.01761496067047119,0.00025,0.9993012547492981
12288,10,6,0.07015211,1140,0.030615234375,-0.0029921666064183228,50,2.1937164861708878,0.49260056018829346,0.2,0.0055016456,-4.258364975452423,0.1909797191619873,0.00025,1.0026363134384155
14336,13,7,1.7914779,1052,0.0857421875,-0.00682803729432635,60,0.4884532638825476,0.15856143832206726,0.2,0.008456638,-4.255677668750286,0.47073274850845337,0.00025,0.9976270198822021
16384,15,8,0.4525867,1063,0.024365234375,-0.0034516328712925317,70,9.618342539668083,5.285455703735352,0.2,0.0046287877,-4.251327602565288,-0.04302966594696045,0.00025,0.9984275698661804
18432,17,9,-0.5743106,1083,0.031005859375,-0.0036874478108074983,80,23.328662154078483,10.084752082824707,0.2,0.0039662705,-4.253726114332676,0.025370538234710693,0.00025,0.9997225403785706
20480,18,10,0.49054268,1095,0.037158203125,-0.0016342917777365073,90,26.268257412314416,10.6859130859375,0.2,0.0059089307,-4.258522716164589,0.1226155161857605,0.00025,1.0006357431411743
22528,20,11,1.8722837,1107,0.039990234375,-0.00344526641711127,100,17.081986516714096,8.740357398986816,0.2,0.0052313553,-4.263079605996609,0.2358560562133789,0.00025,1.0030155181884766
24576,22,12,1.3731302,1108,0.059228515625,-0.0020660717462305913,110,17.358996278047563,9.342009544372559,0.2,0.009553282,-4.273317156732082,0.0036010146141052246,0.00025,1.0088545083999634
26624,24,13,0.07826878,1097,0.064453125,-0.004925704035849776,120,22.500641924142837,12.300808906555176,0.2,0.007181533,-4.2859759971499445,0.10898739099502563,0.00025,1.0117535591125488
28672,25,14,1.5729474,1103,0.04423828125,-0.0033992200595093893,130,27.13741028010845,14.949130058288574,0.2,0.0054680323,-4.288424377143383,0.12497276067733765,0.00025,1.0086407661437988
30720,27,15,0.60896724,1112,0.03955078125,-0.0035017079106182793,140,34.59222258627415,20.763019561767578,0.2,0.006095622,-4.282617200911045,0.07407867908477783,0.00025,1.009390115737915
32768,29,16,0.03025637,1121,0.045703125,-0.004079852958966512,150,34.55620102584362,9.596291542053223,0.2,0.0062012738,-4.281210231781006,0.05796712636947632,0.00025,1.0060505867004395
34816,30,17,1.9630258,1124,0.0529296875,-0.0028056954171916003,160,40.61096757948398,19.59874725341797,0.2,0.0061481837,-4.272717569768429,0.07310587167739868,0.00025,1.0049880743026733
36864,32,18,2.7544913,1131,0.087158203125,-0.00045624353078892453,170,14.58952584862709,5.809114456176758,0.2,0.010495422,-4.270470181107521,0.14809077978134155,0.00025,1.0056464672088623
38912,34,19,0.831102,1138,0.072314453125,-0.004331708152312786,180,26.65428299754858,13.561588287353516,0.2,0.0070490516,-4.276180803775787,0.09649407863616943,0.00025,1.0080448389053345
40960,35,20,1.074469,1145,0.054345703125,-0.0020694254373665897,190,27.963157990574835,6.002228736877441,0.2,0.0056188414,-4.278261403739452,0.1197657585144043,0.00025,1.0055269002914429
43008,37,21,0.49473998,1150,0.097900390625,-0.00210489440796664,200,29.91660586297512,23.11745834350586,0.2,0.00906332,-4.269976714253426,0.1297616958618164,0.00025,1.003747820854187
45056,38,22,-2.4438548,1156,0.05302734375,-0.003881670947885141,210,25.796185278892516,11.028254508972168,0.2,0.0058438117,-4.284462432563305,0.08009952306747437,0.00025,1.0156656503677368
47104,40,23,0.5301277,1161,0.10458984375,-0.00040303741552634166,220,14.753510323166847,7.381107807159424,0.2,0.010452583,-4.3114936247468,-0.0038967132568359375,0.00025,1.0223898887634277
49152,43,24,0.10698605,1140,0.115283203125,-0.0007876496441895142,230,27.10599000453949,7.521207332611084,0.2,0.007591524,-4.326038140058517,0.06584680080413818,0.00025,1.0240540504455566
51200,44,25,3.493759,1142,0.1232421875,-0.006092063042888185,240,26.11084485799074,6.7876505851745605,0.2,0.010499055,-4.332923988997936,0.10168600082397461,0.00025,1.027337908744812
53248,46,26,-0.72326416,1146,0.08212890625,-0.00415282641624799,250,32.902709633111954,10.699972152709961,0.2,0.010713559,-4.339720794558525,0.09713804721832275,0.00025,1.0298341512680054
55296,48,27,-15.090041,1151,0.0828125,-0.006617381641990505,260,32.573165589571,13.763023376464844,0.2,0.00964996,-4.33259122222662,0.11146771907806396,0.00025,1.0229167938232422
57344,49,28,-2.7072577,1155,0.109521484375,-0.002289810360525735,270,25.460160240530968,14.604975700378418,0.2,0.011537686,-4.328739422559738,0.00287550687789917,0.00025,1.0250978469848633
59392,51,29,0.3048624,1159,0.07099609375,-0.0010986666384269483,280,28.347349402308463,5.967993259429932,0.2,0.008720998,-4.3437103688716885,0.031660258769989014,0.00025,1.0337257385253906
