time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/std,train/clip_fraction,train/approx_kl
2048,1,1,1698,,,,,,,,,,,
4096,2,2,1586,0.2,0.00025,0.03353309631347656,1.4026222340762615,0.7883033156394958,-0.0029146606160793454,-4.254992550611496,10,0.9980897307395935,0.016259765625,0.005294147
6144,3,3,1558,0.2,0.00025,0.11778372526168823,7.202902719378471,4.591024875640869,-0.00553533767524641,-4.254675629734993,20,1.001503825187683,0.04716796875,0.006985925
8192,4,5,1543,0.2,0.00025,0.21719270944595337,7.316918571293354,4.030196189880371,-0.0030373495479580014,-4.266541358828545,30,1.005826473236084,0.00849609375,0.0028208322
10240,5,6,1530,0.2,0.00025,0.14496588706970215,2.3206116810441015,0.8860726952552795,-0.0071843232086393986,-4.276219716668129,40,1.0058430433273315,0.0646484375,0.008995144
12288,6,8,1529,0.2,0.00025,0.3069438934326172,2.9870573088526724,1.2878385782241821,-0.0016139710511197335,-4.271071356534958,50,1.0032633543014526,0.0369140625,0.0032999553
14336,7,9,1525,0.2,0.00025,0.3922231197357178,2.3792528703808786,1.012681245803833,-0.002392236830201,-4.259882435202599,60,0.9974709153175354,0.039599609375,0.0042733634
16384,8,10,1523,0.2,0.00025,0.2620972990989685,6.375382781028748,2.766542434692383,-0.0030267877315054647,-4.250295433402061,70,1.0007779598236084,0.028125,0.0069026602
18432,9,12,1518,0.2,0.00025,0.2980406880378723,10.576699429750443,3.7738265991210938,0.001240938898990862,-4.260035586357117,80,1.0007729530334473,0.013720703125,0.0025567557
20480,10,13,1508,0.2,0.00025,0.36612606048583984,10.459786945581437,5.153949737548828,-0.003232346658478491,-4.25761039853096,90,1.0008268356323242,0.05068359375,0.0072157728
22528,11,14,1509,0.2,0.00025,0.15794861316680908,11.917758151888847,5.925266742706299,-0.0012257321883225813,-4.2610821455717085,100,1.0028129816055298,0.02548828125,0.004031078
24576,12,16,1498,0.2,0.00025,-0.009408116340637207,10.573485672473907,4.784211158752441,-0.0007404651842080057,-4.263835790753364,110,1.0011199712753296,0.046533203125,0.005228855
26624,13,17,1498,0.2,0.00025,0.14257049560546875,14.650576332211495,7.816406726837158,-0.004711771721486002,-4.261018505692482,120,1.0013649463653564,0.055419921875,0.0060350555
28672,14,19,1480,0.2,0.00025,0.15119940042495728,15.196334618330003,6.12146520614624,-0.00673241141194012,-4.259238535165787,130,1.0008567571640015,0.080615234375,0.008918496
30720,15,20,1481,0.2,0.00025,0.13888061046600342,17.614672428369524,9.6221342086792,-0.005408662106492557,-4.257803457975387,140,0.999413788318634,0.0490234375,0.004754996
32768,16,22,1483,0.2,0.00025,0.19129669666290283,13.01991231739521,6.9322509765625,-0.0009320571698481217,-4.249889209866524,150,0.9964427351951599,0.044970703125,0.005439378
34816,17,23,1484,0.2,0.00025,0.08830636739730835,15.324676206707954,7.526599407196045,-0.0028011009533656763,-4.24085259437561,160,0.994534969329834,0.039697265625,0.005332037
36864,18,24,1486,0.2,0.00025,0.15105944871902466,6.886864981055259,4.255716323852539,-0.0036003452201839536,-4.235480958223343,170,0.9907493591308594,0.05458984375,0.007896729
38912,19,26,1488,0.2,0.00025,0.19540435075759888,15.134212148189544,8.150959014892578,-0.004379646840970963,-4.231532174348831,180,0.9944374561309814,0.0578125,0.0071909647
40960,20,27,1489,0.2,0.00025,0.14953315258026123,21.58687627911568,8.486445426940918,-0.003274284620420076,-4.23417691886425,190,0.9909504055976868,0.049755859375,0.006147776
43008,21,28,1490,0.2,0.00025,0.07907193899154663,27.00477165579796,20.255037307739258,-0.0037390609504655004,-4.221965968608856,200,0.986309826374054,0.032666015625,0.006205695
45056,22,30,1485,0.2,0.00025,0.13697761297225952,22.309713125228882,11.149894714355469,-0.0012198088777950033,-4.211237129569054,210,0.9851003289222717,0.046044921875,0.0063651935
47104,23,35,1312,0.2,0.00025,0.07650858163833618,12.078111875057221,6.836137294769287,-0.0024741118861129506,-4.2087331265211105,220,0.98518306016922,0.05478515625,0.006716227
49152,24,38,1271,0.2,0.00025,0.030523955821990967,21.0183026432991,8.76717472076416,-0.004987095479737036,-4.215405055880547,230,0.9892696738243103,0.09287109375,0.009048138
51200,25,40,1273,0.2,0.00025,0.08229619264602661,20.32922230362892,9.035218238830566,-0.0019877742073731498,-4.212028470635414,240,0.9827216267585754,0.130224609375,0.012062471
53248,26,41,1278,0.2,0.00025,0.02894735336303711,25.071773213148116,12.592875480651855,-0.000887561560375616,-4.199203652143479,250,0.9811462759971619,0.101708984375,0.009334311
55296,27,43,1283,0.2,0.00025,0.03675878047943115,26.208031076192857,16.528011322021484,-0.0011527807859238238,-4.195158153772354,260,0.9804108142852783,0.085986328125,0.00767712
57344,28,44,1289,0.2,0.00025,0.0073500871658325195,18.935256779193878,8.821769714355469,3.6281385109759864e-05,-4.195641127228737,270,0.9808073043823242,0.101171875,0.008817109
59392,29,45,1295,0.2,0.00025,0.015884876251220703,19.49273678064346,7.02954626083374,-0.0002330168499611318,-4.197340190410614,280,0.9811372756958008,0.0462890625,0.00780781
61440,30,47,1298,0.2,0.00025,0.02047628164291382,26.200693476200104,15.296353340148926,-0.0011101587690063753,-4.197426158189773,290,0.9839890599250793,0.046240234375,0.0028961378
