time/iterations,time/time_elapsed,train/reward,time/total_timesteps,time/fps,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range
1,1,-0.06610054,2048,1955,,,,,,,,,,,
2,2,0.111310355,4096,1662,0.1455792784690857,-0.006082843575859443,0.0003,10,-2.8316938832402228,0.6651284694671631,1.221526373550296,0.007680781,0.057958984375,0.9922208786010742,0.2
3,3,-0.00033324785,6144,1587,0.11978733539581299,-0.00022117926782811993,0.0003,20,-2.815896774828434,2.0691988468170166,8.214205681160092,0.0050065564,0.029345703125,0.9872535467147827,0.2
4,5,0.4641095,8192,1551,0.46241676807403564,-0.003195423174474854,0.0003,30,-2.8213181264698504,0.5021039843559265,0.9338889679871499,0.005561144,0.045751953125,0.9951947927474976,0.2
5,6,0.09180206,10240,1529,0.6686388254165649,-0.006008255053893663,0.0003,40,-2.825229252874851,0.31825876235961914,0.9386829591356218,0.0065991506,0.061962890625,0.9928165674209595,0.2
6,8,-0.09144689,12288,1515,0.3126881718635559,-0.0028123077485361137,0.0003,50,-2.826355215162039,8.263092994689941,9.952740068733693,0.0070060566,0.029248046875,0.9963115453720093,0.2
7,9,0.23488197,14336,1506,0.20527058839797974,-0.0035706958718947136,0.0003,60,-2.8347163133323194,9.979297637939453,16.451038341224194,0.006845374,0.040478515625,1.0015559196472168,0.2
8,10,-3.0584555,16384,1493,0.5918081998825073,-0.0027230244944803418,0.0003,70,-2.840283492207527,1.2486518621444702,2.4530291207134725,0.0045984252,0.033935546875,0.9999634623527527,0.2
9,12,0.39434487,18432,1488,0.2983718514442444,-0.0024469972267979756,0.0003,80,-2.83387758359313,11.613720893859863,23.43438596278429,0.0056090457,0.033349609375,0.9949750900268555,0.2
10,13,2.3732467,20480,1475,0.1676948070526123,-0.0012561177733005024,0.0003,90,-2.830437961220741,52.91329574584961,43.97840150296688,0.0034853392,0.034814453125,0.9982907772064209,0.2
11,15,-0.010836708,22528,1440,0.05362141132354736,-0.00030431753330049103,0.0003,100,-2.8361345559358595,4.342350959777832,9.602487073838711,0.0036490317,0.030517578125,0.9998687505722046,0.2
12,17,0.7197398,24576,1432,0.24048268795013428,-0.0001867310595116578,0.0003,110,-2.8435697622597216,15.113040924072266,41.17161580324173,0.004600254,0.02392578125,1.004946231842041,0.2
13,18,-2.0933907,26624,1433,0.18420344591140747,-0.0010355483449529857,0.0003,120,-2.840172751247883,17.833017349243164,32.435341495275495,0.00663488,0.06484375,0.9976009726524353,0.2
14,19,0.72839534,28672,1433,0.11932069063186646,-0.0014204933388100472,0.0003,130,-2.8305541150271893,7.371435165405273,9.863321286439895,0.005993196,0.074755859375,0.995172381401062,0.2
15,21,0.15856238,30720,1433,0.3361392617225647,-0.004448920565482695,0.0003,140,-2.8285256452858447,26.786693572998047,38.76906604617834,0.004972603,0.037939453125,0.9953945279121399,0.2
16,22,-0.2978626,32768,1433,0.32537776231765747,-0.0025994406096288003,0.0003,150,-2.82584870532155,9.929587364196777,28.342063480615614,0.0055824416,0.054296875,0.9929810762405396,0.2
17,24,0.49352804,34816,1434,0.07258278131484985,-0.0009558437734085601,0.0003,160,-2.812167964875698,9.282430648803711,12.275301818549632,0.005382476,0.047021484375,0.983325719833374,0.2
18,26,-0.30082667,36864,1373,0.33501172065734863,-0.0020671729776950087,0.0003,170,-2.80161125510931,11.724247932434082,30.888779796659946,0.0025797288,0.039501953125,0.9815394282341003,0.2
19,28,-0.65745264,38912,1369,0.29640573263168335,-0.000921702319465112,0.0003,180,-2.8061402052640916,35.17002487182617,42.03939077556133,0.00514355,0.03427734375,0.9836032390594482,0.2
