time/iterations,time/fps,train/reward,time/total_timesteps,time/time_elapsed,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss
1,2945,-0.050424814,2048,0,,,,,,,,,,,
2,2612,-0.0687992,4096,1,0.2785262044519186,0.05234375,-1.4246140025556087,0.0054368973,-0.11132919788360596,1.0092813968658447,0.00025,10,0.2,0.0652000829577446,-0.0032959322445094584
3,2513,0.15601742,6144,2,0.21989220869727433,0.01083984375,-1.438322339951992,0.002288239,-0.09460675716400146,1.027438998222351,0.00025,20,0.2,0.004081100225448608,-0.0020329976876382718
4,2473,0.4605754,8192,3,0.10258433730341494,0.033154296875,-1.45580537840724,0.003935285,0.17717480659484863,1.046790599822998,0.00025,30,0.2,-0.015484604984521866,-0.0031680370506364853
5,2350,0.013483984,10240,4,0.8567594308406115,0.009716796875,-1.4674792446196079,0.0023403857,0.0959928035736084,1.049595832824707,0.00025,40,0.2,0.33483344316482544,-0.001157681754557416
6,2349,-0.1441629,12288,5,1.2353733193129302,0.000634765625,-1.468473131209612,0.0008913496,0.23502254486083984,1.051766037940979,0.00025,50,0.2,0.6413220167160034,-0.0011546785142854787
7,2348,0.32569253,14336,6,0.14444575551897287,0.105615234375,-1.4772834300994873,0.008764869,0.8430655002593994,1.0677824020385742,0.00025,60,0.2,-0.04500236362218857,-0.01115418970293831
8,2346,-0.049456168,16384,6,2.608869984000921,0.015478515625,-1.4897491201758384,0.0027224098,0.2893297076225281,1.078571081161499,0.00025,70,0.2,1.3560811281204224,-0.0017891333816805854
9,2345,0.14827141,18432,7,21.834455579519272,0.001318359375,-1.495350109040737,0.0018893682,0.22415459156036377,1.079901933670044,0.00025,80,0.2,21.2220458984375,-0.0012452995419153013
10,2344,1.3534721,20480,8,3.177009906619787,0.00849609375,-1.4985068246722222,0.0024699466,0.6608110666275024,1.0847506523132324,0.00025,90,0.2,1.2810940742492676,-0.001963456154771848
