time/time_elapsed,time/iterations,train/reward,time/total_timesteps,time/fps,train/explained_variance,train/entropy_loss,train/std,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
0,1,-0.072230585,2048,3312,,,,,,,,,,,
1,2,-2.3403945,4096,2929,0.01820063591003418,-1.4209032662212848,0.9992148280143738,10,0.00025,0.004632723,0.09863310307264328,0.2017562748398632,-0.0027875723884790205,0.03203125,0.2
2,3,-2.664181,6144,2834,0.011184513568878174,-1.4184893034398556,0.9999576807022095,20,0.00025,0.0019191541,8.460759162902832,14.99412772655487,-0.0006625913898460567,0.0025390625,0.2
2,4,-0.020583346,8192,2782,-0.0008966922760009766,-1.4194429405033588,1.0002983808517456,30,0.00025,0.0035180706,3.8704047203063965,8.763341870903968,-0.0016343297000275924,0.009765625,0.2
3,5,-0.015509848,10240,2755,-2.2292137145996094e-05,-1.4163976266980172,0.9942467212677002,40,0.00025,0.0057348255,17.726694107055664,24.397217565774916,-0.0014703625405672938,0.032568359375,0.2
4,6,-0.028447218,12288,2735,0.0,-1.4086718268692493,0.9842624664306641,50,0.00025,0.004771133,-0.003203621134161949,0.051933798287063834,-0.0018930061836726964,0.025927734375,0.2
5,7,0.00013424325,14336,2717,-1.1920928955078125e-07,-1.4035555377602578,0.9853717088699341,60,0.00025,0.003123622,0.0666925311088562,0.12050707596354186,2.627348731039092e-05,0.001708984375,0.2
6,8,0.078470945,16384,2707,-1.1920928955078125e-07,-1.4066194660961628,0.9902308583259583,70,0.00025,0.0053024786,-0.006774872541427612,0.05147902300814167,-0.00398993571579922,0.058447265625,0.2
6,9,0.5824633,18432,2701,0.0,-1.4072268180549146,0.9845386743545532,80,0.00025,0.007683682,-0.01120332907885313,0.0153692443826003,-0.0063989868212956935,0.07392578125,0.2
7,10,1.0544832,20480,2693,0.0,-1.3987473465502263,0.9757927656173706,90,0.00025,0.004920184,0.6674579381942749,1.6999499544501304,-0.002830377544160001,0.033203125,0.2
8,11,-1.3894556,22528,2683,-0.0354839563369751,-1.3942428581416606,0.9761946201324463,100,0.00025,0.0007122166,19.873741149902344,41.0381702542305,-0.000531026758835651,0.000146484375,0.2
9,12,0.25708434,24576,2680,0.016165435314178467,-1.3958271592855453,0.9784456491470337,110,0.00025,0.00084477814,13.6614351272583,22.74440402984619,-0.0002759414870524779,0.00048828125,0.2
9,13,3.1847737,26624,2678,0.0031498074531555176,-1.3971329644322394,0.9782111644744873,120,0.00025,0.0014298331,29.76118278503418,70.87915978431701,-0.0010867935256101192,0.0017578125,0.2
10,14,1.6085087,28672,2676,0.0163765549659729,-1.3964257955551147,0.976972758769989,130,0.00025,0.0033192197,6.201733589172363,12.988026586174964,-0.000511276519682724,0.005078125,0.2
11,15,-6.7053723,30720,2674,0.02581202983856201,-1.3959966145455838,0.9779027700424194,140,0.00025,0.004731252,36.29912185668945,60.5406895160675,-0.0029730588401434945,0.0326171875,0.2
12,16,0.16628599,32768,2671,-0.03801298141479492,-1.3964594066143037,0.9770323634147644,150,0.00025,0.002605751,19.134592056274414,44.429133200645445,-0.0009784146124729887,0.004541015625,0.2
13,17,1.5706025,34816,2671,-0.0030390024185180664,-1.3960274323821067,0.9778857231140137,160,0.00025,0.007791938,16.93617820739746,32.99972802400589,-0.0036153795714199076,0.058251953125,0.2
13,18,6.8289604,36864,2671,0.009318232536315918,-1.3968247652053833,0.9785388708114624,170,0.00025,0.0014753031,54.46824645996094,100.68889107704163,-0.0006102603045292198,0.002001953125,0.2
14,19,0.5667788,38912,2670,0.0009416341781616211,-1.397516195476055,0.9789245128631592,180,0.00025,0.002759732,8.098892211914062,15.741564565896988,-0.0005237268531345762,0.005419921875,0.2
15,20,0.99733233,40960,2669,0.0034613609313964844,-1.3991508707404137,0.9821392297744751,190,0.00025,0.0035596672,61.267948150634766,102.03498899936676,-0.002654539974173531,0.02734375,0.2
16,21,-3.0178313,43008,2667,0.0021594762802124023,-1.4010240413248538,0.9819678068161011,200,0.00025,0.0033572,22.742868423461914,72.9634357213974,-0.00024252183648059144,0.0080078125,0.2
16,22,-0.41337347,45056,2666,0.0032816529273986816,-1.4014595441520215,0.9826147556304932,210,0.00025,0.002641962,23.76877212524414,49.6708456158638,-0.00042296083411201834,0.013623046875,0.2
17,23,0.54437953,47104,2666,0.01515054702758789,-1.4021205455064774,0.9846140742301941,220,0.00025,0.0011428532,78.84545135498047,100.30447542667389,-0.0010491540451766923,0.003564453125,0.2
18,24,0.98296976,49152,2665,0.030498504638671875,-1.4015020184218883,0.9807473421096802,230,0.00025,0.0034514493,6.1050543785095215,13.56222386956215,-0.002517533366335556,0.03310546875,0.2
19,25,7.3110557,51200,2665,0.03319108486175537,-1.3996969737112521,0.9821196794509888,240,0.00025,0.0013397264,48.40229034423828,97.75600938796997,0.00046454970142804084,0.002392578125,0.2
