time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/reward,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/value_loss,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl
2048,0,3286,1,-0.013413746,,,,,,,,,,,
4096,1,2860,2,1.119212,-1.4123976521193982,10,0.0634765625,0.9871727824211121,0.05227314973017201,0.0,0.013289220631122589,0.2,-0.004003503240528517,0.00025,0.008332621
6144,2,2755,3,-0.11200275,-1.4070374257862568,20,0.003173828125,0.9897052049636841,2.0828899309039115,-0.033666372299194336,1.0000139474868774,0.2,-0.0007155237166443839,0.00025,0.0027163825
8192,3,2710,4,1.3481886,-1.4098939001560211,30,0.002587890625,0.9919057488441467,13.001134204864503,0.04095661640167236,7.214621543884277,0.2,-0.0009170235833153128,0.00025,0.001962547
10240,3,2680,5,3.049044,-1.4128183044493199,40,0.00029296875,0.9969342350959778,17.751700603961943,-0.0021268129348754883,9.813924789428711,0.2,-0.0007633945744601079,0.00025,0.00041797265
12288,4,2662,6,-0.5072214,-1.4139315597712994,50,0.0216796875,0.9925980567932129,10.138517555594444,0.09744608402252197,4.058807373046875,0.2,-0.001755160118045751,0.00025,0.0055842763
14336,5,2647,7,0.75477934,-1.4124096296727657,60,0.004443359375,0.9946484565734863,17.181781005859374,0.06899452209472656,8.252378463745117,0.2,-0.0014009379548951984,0.00025,0.0020085038
16384,6,2636,8,3.9203181,-1.4138354659080505,70,0.0126953125,0.9949561357498169,21.246147787570955,0.11676293611526489,7.98934268951416,0.2,-0.0011228741030208766,0.00025,0.0046150396
18432,7,2627,9,-0.6584433,-1.4148900762200356,80,0.014697265625,0.9959301352500916,19.47419516444206,-0.012231826782226562,9.60433578491211,0.2,-0.0009974584187148138,0.00025,0.0010911028
20480,7,2622,10,-0.4703435,-1.416520929336548,90,0.048583984375,0.9985629320144653,11.335802620649337,0.07273584604263306,4.982470989227295,0.2,-0.003939530614297837,0.00025,0.0069241812
22528,8,2595,11,-0.008890735,-1.4171050012111663,100,0.024609375,0.9984133839607239,15.723228991031647,0.16759884357452393,7.288996696472168,0.2,-0.0017868350623757578,0.00025,0.0030402548
24576,10,2449,12,-1.3244075,-1.4189751051366328,110,0.00419921875,1.0026453733444214,19.962802052497864,0.16552215814590454,11.888710021972656,0.2,-0.0007955070526804775,0.00025,0.0012170258
26624,11,2390,13,-1.3594663,-1.4242822475731374,120,0.004443359375,1.008743405342102,15.141273403167725,-0.007556438446044922,5.652385711669922,0.2,-3.344329015817493e-05,0.00025,0.0009478054
28672,12,2344,14,1.0343236,-1.4279057212173938,130,0.011962890625,1.0093384981155396,18.52294256687164,0.14251422882080078,6.230856418609619,0.2,-0.0023529353842604906,0.00025,0.004629697
30720,13,2323,15,1.1065686,-1.4284997224807738,140,0.00380859375,1.0096696615219116,22.622527289390565,0.0896802544593811,12.073614120483398,0.2,-0.0005069068865850568,0.00025,0.0011642436
32768,14,2290,16,-7.816437,-1.4300772644579411,150,0.01796875,1.0127520561218262,24.106269031763077,0.09656989574432373,11.613542556762695,0.2,-0.0009657160408096388,0.00025,0.0050855475
34816,15,2232,17,0.042062536,-1.4290430836379528,160,0.026806640625,1.00869619846344,15.57925330400467,-0.0095595121383667,10.586690902709961,0.2,-0.003052575593756046,0.00025,0.0043128924
36864,16,2187,18,3.410464,-1.4274741224944592,170,0.00869140625,1.0095843076705933,18.790372532606124,0.1059991717338562,12.14526081085205,0.2,-0.0018027409299975262,0.00025,0.0024917433
38912,17,2198,19,0.94114274,-1.4265214771032333,180,0.03466796875,1.0046099424362183,24.50146127343178,0.07986533641815186,10.446786880493164,0.2,-0.0033594236097997054,0.00025,0.0054616258
40960,18,2211,20,0.77908653,-1.4243470162153244,190,0.0513671875,1.0055675506591797,23.210376369953156,0.06742167472839355,12.611031532287598,0.2,-0.002795591653557494,0.00025,0.009944501
43008,19,2225,21,-1.6539038,-1.4255465909838676,200,0.0654296875,1.0081653594970703,13.638947170972823,0.02379387617111206,6.250010967254639,0.2,-0.0061781405383953825,0.00025,0.00639664
45056,20,2238,22,0.5198828,-1.4251842960715293,210,0.021337890625,1.0043073892593384,22.593677765130998,0.03082793951034546,13.2558012008667,0.2,-0.0009129867768933764,0.00025,0.0051070387
47104,20,2244,23,0.12396292,-1.4217644408345222,220,0.0484375,1.0012552738189697,27.961572301387786,0.02454322576522827,12.325187683105469,0.2,-0.001036224135896191,0.00025,0.004768801
49152,21,2254,24,0.106254466,-1.4197776444256305,230,0.053662109375,1.0011365413665771,25.530568999052047,0.013535797595977783,9.878897666931152,0.2,-0.0006338515580864623,0.00025,0.003749955
51200,22,2265,25,-0.06884723,-1.4187849171459674,240,0.04765625,0.9991268515586853,14.567267751693725,0.02424997091293335,5.809954643249512,0.2,-0.0010669449853594414,0.00025,0.0055227885
