time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/reward,train/clip_range,train/std,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
2048,1881,1,1,-0.00022260296,,,,,,,,,,,
4096,1536,2,2,-0.0010578732,0.2,1.0124635696411133,0.00025,0.0003656904040383324,-0.015337705612182617,-0.027644043788313866,10,-2.8521949246525766,0.05478515625,-0.003092374290281441,0.0038578587
6144,1427,4,3,0.00055558985,0.2,1.0139687061309814,0.00025,0.002469432270515881,-0.00036323070526123047,-0.02378407120704651,20,-2.8656294152140616,0.034423828125,-0.0010881992522627116,0.004550568
8192,1091,7,4,-0.00029733352,0.2,1.0225725173950195,0.00025,0.0003176503670800912,0.0,-0.025886161252856255,30,-2.875873851776123,0.058935546875,-0.0012050149227434304,0.006722564
10240,1139,8,5,0.0002599385,0.2,1.0188076496124268,0.00025,0.0011762908173906794,0.0,-0.041881538927555084,40,-2.87873365432024,0.00283203125,-0.0001332444135186961,0.0032312823
12288,1183,10,6,4.8355672e-05,0.2,1.014776349067688,0.00025,0.0008463331928126649,-1.1920928955078125e-07,-0.03856798633933067,50,-2.8704719215631487,0.0498046875,-0.0011377263828762807,0.0032669434
14336,1206,11,7,-1.9419002e-05,0.2,1.0238250494003296,0.00025,0.00011045055977287888,0.0,-0.02788822539150715,60,-2.8768109396100043,0.045263671875,-0.0011603725884924642,0.006439365
16384,1165,14,8,-0.00075268705,0.2,1.0217256546020508,0.00025,0.0005050044870813508,0.0019767284393310547,-0.012945896945893764,70,-2.8840609855949877,0.04462890625,-0.002226928775780834,0.005483726
18432,1191,15,9,-0.03056689,0.2,1.0127180814743042,0.00025,0.005690860727554536,0.35633599758148193,-0.024022961035370827,80,-2.870054116845131,0.023291015625,-0.002037913614185527,0.0052024033
20480,1212,16,10,0.00036729095,0.2,1.01148521900177,0.00025,0.0012657960385695332,0.7356578707695007,-0.0372193343937397,90,-2.8581204302608967,0.06064453125,-0.001372080112923868,0.005321053
22528,1231,18,11,-0.002789903,0.2,0.9998378157615662,0.00025,0.016801990082603878,-0.018055438995361328,-0.013329718261957169,100,-2.8490333862602713,0.042724609375,-0.0006712106172926724,0.0049759615
24576,1247,19,12,0.00058498577,0.2,0.999535083770752,0.00025,5.782953109587652e-05,0.0,-0.051172371953725815,110,-2.835605137050152,0.04912109375,-0.0027514111381606197,0.0028633345
