time/iterations,train/reward,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/std,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance
1,-0.022722086,3297,0,2048,,,,,,,,,,,
2,-1.6514962,2943,1,4096,0.00025,0.9924834370613098,0.11234390693716705,0.03290469944477081,-1.4153476446866988,0.0048689726,10,0.049365234375,0.2,-0.003579480858752504,0.22806352376937866
3,-3.239023,2733,2,6144,0.00025,0.9924648404121399,12.825218176841735,6.1984968185424805,-1.4120202019810677,0.0028679764,20,0.00244140625,0.2,-0.0003864600061206147,-0.009602785110473633
4,-0.65505505,2611,3,8192,0.00025,0.997148871421814,13.953144982457161,8.256462097167969,-1.4136687584221364,0.0023218412,30,0.0056640625,0.2,-0.0015369722445029766,0.0027856826782226562
5,-13.087298,2587,3,10240,0.00025,0.9979583024978638,59.69604476690292,42.90293502807617,-1.4167590595781803,0.003924655,40,0.009033203125,0.2,-0.0020014807363622823,0.0008448362350463867
6,-0.24125811,2570,4,12288,0.00025,1.0002089738845825,64.01127820014953,28.344860076904297,-1.4179993100464343,0.0012019482,50,0.003955078125,0.2,-0.0010761833807919174,0.006239056587219238
7,0.19958466,2579,5,14336,0.00025,0.9976732134819031,8.859734487533569,0.6157808303833008,-1.4177635788917542,0.0054701,60,0.037060546875,0.2,-0.0022954840009333567,0.003384888172149658
8,1.9837765,2587,6,16384,0.00025,0.9911648631095886,26.08966996073723,10.18177318572998,-1.4140962533652783,0.0036246162,70,0.0111328125,0.2,-0.0015645689069060608,0.005039870738983154
9,0.5830361,2592,7,18432,0.00025,0.997523307800293,7.273305232822895,2.066070795059204,-1.4138986438512802,0.0028604134,80,0.008642578125,0.2,7.184677670011297e-05,1.7762184143066406e-05
10,0.72319794,2598,7,20480,0.00025,0.9975582361221313,39.79884110689163,21.80678939819336,-1.415525357425213,0.0022438182,90,0.011669921875,0.2,-0.0026160484441788865,0.004767000675201416
11,-1.2019885,2601,8,22528,0.00025,0.9938899874687195,22.284737831354143,10.7016019821167,-1.4150926031172275,0.002120094,100,0.012744140625,0.2,-4.386684886412695e-05,0.0
12,0.39526284,2605,9,24576,0.00025,0.9958944320678711,13.158273291587829,5.562990665435791,-1.4144560895860194,0.0016955731,110,0.01669921875,0.2,0.0014778123091673478,0.0
13,3.2721398,2609,10,26624,0.00025,0.9965349435806274,52.20000005960465,25.5220947265625,-1.415146004408598,0.0038516666,120,0.0255859375,0.2,-0.0024149042525095864,-0.01619398593902588
14,1.4408183,2612,10,28672,0.00025,0.9985213875770569,13.980887770652771,5.653271675109863,-1.416938240081072,0.0024702973,130,0.019580078125,0.2,-0.0016510321118403226,-0.00034630298614501953
15,-5.0244145,2566,11,30720,0.00025,0.9975477457046509,59.15597721338272,26.074905395507812,-1.4179512590169907,0.005425119,140,0.038037109375,0.2,-0.003622455714503303,-0.0010040998458862305
16,0.11850372,2568,12,32768,0.00025,1.0030442476272583,25.181282567977906,9.465331077575684,-1.4201854772865772,0.002294161,150,0.013330078125,0.2,-0.0007538874284364283,-0.00010669231414794922
17,0.2767252,2570,13,34816,0.00025,0.9995138645172119,19.097477370500563,8.04629898071289,-1.4213138356804849,0.00041603207,160,0.00078125,0.2,-0.00039819798548705875,-0.0015063285827636719
18,1.9013702,2574,14,36864,0.00025,0.9967949390411377,50.07838475704193,25.184370040893555,-1.4173226282000542,0.0046667675,170,0.0203125,0.2,-0.00235351515293587,0.000586390495300293
19,0.360928,2576,15,38912,0.00025,0.9991451501846313,0.9254670353606343,0.4195549488067627,-1.4172925531864167,0.00388667,180,0.010888671875,0.2,-0.0006422346821636892,-1.1920928955078125e-07
20,0.70693797,2580,15,40960,0.00025,0.9929097294807434,13.2552019238472,7.917937755584717,-1.414974508434534,0.0047312262,190,0.0244140625,0.2,-0.00043145470117451624,0.0009821057319641113
21,-2.817608,2581,16,43008,0.00025,0.9910379648208618,30.7952179312706,11.971820831298828,-1.4108103118836879,0.0028874008,200,0.009765625,0.2,-0.0027399873928516173,-0.0005886554718017578
22,-0.4197735,2581,17,45056,0.00025,0.9975581765174866,27.139218962192537,10.04858112335205,-1.412984736263752,0.0047626006,210,0.03642578125,0.2,-0.0012429702619556338,-0.009499549865722656
23,0.4452703,2583,18,47104,0.00025,0.9995710849761963,73.10051341056824,36.216880798339844,-1.4176811069250106,0.0010634072,220,0.005029296875,0.2,-0.0002283912181155756,0.0002976059913635254
24,0.61166286,2585,19,49152,0.00025,0.9990348815917969,9.489058601856232,3.8797805309295654,-1.4173270352184772,0.0023652178,230,0.044384765625,0.2,0.0015038414188893513,-0.0071871280670166016
25,4.7696705,2587,19,51200,0.00025,1.003640055656433,66.0895690202713,39.37969970703125,-1.421540082246065,0.0015990802,240,0.022705078125,0.2,-8.002937829587609e-05,0.0012026429176330566
