time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/explained_variance,train/approx_kl,train/loss,train/std,train/learning_rate
1363,1,2048,1,,,,,,,,,,,
1282,3,4096,2,10,-5.677945327758789,-0.004259996861219406,0.041650390625,0.2,0.3004887749440968,0.004248440265655518,0.0067760237,0.14927196502685547,1.0009448528289795,0.00025
1257,4,6144,3,20,-5.677174752950668,-0.0060184889822267,0.0296875,0.2,1.2910607462748884,0.01369476318359375,0.0049341926,0.3867250978946686,0.9997252225875854,0.00025
1249,6,8192,4,30,-5.672744339704513,-0.0049850551993586125,0.060595703125,0.2,4.531222295761109,0.02481985092163086,0.004761028,2.1329703330993652,0.9984501600265503,0.00025
1245,8,10240,5,40,-5.667570027709007,-0.0011976181776844896,0.00947265625,0.2,6.257610842585564,0.05839258432388306,0.005046404,3.463371515274048,0.9978297352790833,0.00025
1242,9,12288,6,50,-5.678135251998901,-0.003682465777092148,0.02060546875,0.2,8.981396445631981,0.0007428526878356934,0.003978178,3.216506004333496,1.0032943487167358,0.00025
1241,11,14336,7,60,-5.673222106695175,-0.003871519264066592,0.010546875,0.2,6.629598444700241,0.013618290424346924,0.0030935057,2.8437955379486084,0.9947054982185364,0.00025
1238,13,16384,8,70,-5.653147515654564,-0.004568443555035629,0.0486328125,0.2,3.1364320442080498,0.08930158615112305,0.006828641,1.1880536079406738,0.9944283962249756,0.00025
1237,14,18432,9,80,-5.66135336458683,-0.0042732888949103655,0.034716796875,0.2,4.529296934604645,-0.02792835235595703,0.004221792,3.0741002559661865,0.9975318908691406,0.00025
1217,16,20480,10,90,-5.667346698045731,-0.006133115352713503,0.045263671875,0.2,3.225229033082724,0.11221891641616821,0.0066011525,1.613019585609436,0.9977458715438843,0.00025
1215,18,22528,11,100,-5.6699857145547865,-0.0039732379373162985,0.035302734375,0.2,5.536339882016182,0.0543217658996582,0.0050748717,2.954608678817749,0.9995314478874207,0.00025
1212,20,24576,12,110,-5.6694276422262195,-0.0078831347549567,0.046337890625,0.2,21.503057125210763,-0.02549731731414795,0.005671745,15.354896545410156,0.9972607493400574,0.00025
1212,21,26624,13,120,-5.664775040745735,-0.005192204234481324,0.051806640625,0.2,9.000115795433521,0.044213950634002686,0.0050254306,3.7282090187072754,0.9983094930648804,0.00025
1212,23,28672,14,130,-5.670589968562126,-0.005212006124202162,0.051953125,0.2,2.4598840206861494,0.1823849081993103,0.0044592055,1.3271359205245972,0.999789297580719,0.00025
1214,25,30720,15,140,-5.680628755688668,-0.005068616790231318,0.059033203125,0.2,3.502877988666296,-0.04843103885650635,0.006442377,0.7593889832496643,1.001957893371582,0.00025
1215,26,32768,16,150,-5.679028850793839,-0.005582541215699166,0.05693359375,0.2,3.062301364541054,0.1903456449508667,0.008500226,1.1469253301620483,1.0003522634506226,0.00025
1216,28,34816,17,160,-5.679526776075363,-0.006747633150371257,0.068798828125,0.2,3.0252772025763988,-0.019390344619750977,0.008452943,1.1316066980361938,1.0022602081298828,0.00025
1216,30,36864,18,170,-5.6845243006944655,-0.006525711005087942,0.07861328125,0.2,4.904969541728496,0.020383894443511963,0.007544095,1.7511152029037476,1.0025336742401123,0.00025
1218,31,38912,19,180,-5.693120303750038,-0.00638707849138882,0.056396484375,0.2,8.204725870490075,0.055144667625427246,0.0071762945,3.4780659675598145,1.0062742233276367,0.00025
1218,33,40960,20,190,-5.696124947071075,-0.0020512836868874728,0.080029296875,0.2,2.4800631955265997,0.043794333934783936,0.0073881187,1.1063048839569092,1.0044255256652832,0.00025
1218,35,43008,21,200,-5.69814222753048,-0.002724861528258771,0.0869140625,0.2,5.703527487814426,0.05839806795120239,0.008557987,2.3984344005584717,1.007802128791809,0.00025
1219,36,45056,22,210,-5.709272199869156,-0.002283275837544352,0.033154296875,0.2,12.05613415390253,-0.002580881118774414,0.004699898,6.9265570640563965,1.0082907676696777,0.00025
1217,38,47104,23,220,-5.710072422027588,-0.0035488012377754784,0.059765625,0.2,4.394408313930034,-0.015536308288574219,0.0054727253,2.0728394985198975,1.008583664894104,0.00025
1218,40,49152,24,230,-5.709890806674958,-0.005073768240981736,0.06796875,0.2,8.535072936117649,-0.017141103744506836,0.0057481704,2.948164463043213,1.0086970329284668,0.00025
1218,42,51200,25,240,-5.71240026652813,-0.0034792941471096126,0.044091796875,0.2,8.686108046770096,0.004476964473724365,0.007152502,6.437058925628662,1.010328769683838,0.00025
1216,43,53248,26,250,-5.717765256762505,-0.003175986539281439,0.0607421875,0.2,4.81438901424408,0.04927176237106323,0.0056907153,2.927642822265625,1.0103044509887695,0.00025
1208,45,55296,27,260,-5.706911051273346,-0.004421478629228659,0.048291015625,0.2,2.4160536237061025,-0.09206581115722656,0.0069575408,1.1438722610473633,1.0060222148895264,0.00025
1208,47,57344,28,270,-5.698192012310028,-0.0032572287833318113,0.09541015625,0.2,4.66731286495924,0.01972419023513794,0.009450357,1.6066745519638062,1.0054594278335571,0.00025
1209,49,59392,29,280,-5.682175624370575,-0.004578306758776307,0.05126953125,0.2,8.383474057912826,-0.019479036331176758,0.0061875973,3.99686336517334,0.9986118078231812,0.00025
1209,50,61440,30,290,-5.667369627952576,-0.003152545215561986,0.079833984375,0.2,2.607385942339897,0.030594706535339355,0.0073416815,1.483086347579956,0.9980823993682861,0.00025
