time/time_elapsed,time/fps,time/total_timesteps,train/reward,time/iterations,train/approx_kl,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss
0,2942,2048,-0.01363997,1,,,,,,,,,,,
1,2638,4096,-0.0006666487,2,0.0074606175,-1.4136438176035881,0.9911971092224121,0.085302734375,0.00025,0.2,0.16975137591362,0.13555091619491577,10,-0.007341223847470246,0.544579972885549
2,2552,6144,0.0031396654,3,0.003413998,-1.4171500578522682,1.0055993795394897,0.020703125,0.00025,0.2,0.43781739473342896,0.3294658064842224,20,-0.004284221897250973,0.9327970953658223
3,2504,8192,0.15696688,4,0.008109824,-1.432610822468996,1.0188616514205933,0.060888671875,0.00025,0.2,0.12515299022197723,0.49257493019104004,30,-0.006971101378439926,0.3732287751976401
4,2478,10240,0.003064446,5,0.004825459,-1.433377271145582,1.0087393522262573,0.033740234375,0.00025,0.2,0.010778983123600483,0.9034669399261475,40,-0.00484624450255069,0.05249859334435314
4,2458,12288,-0.015324409,6,0.002025289,-1.4323028206825257,1.0175905227661133,0.009375,0.00025,0.2,0.19633732736110687,0.778363049030304,50,-0.004483472084393725,0.2894234299659729
5,2448,14336,0.041763775,7,0.004744158,-1.4357770048081875,1.014858365058899,0.04150390625,0.00025,0.2,0.13831505179405212,0.7196887731552124,60,-0.008104183949762955,0.2561217609792948
6,2441,16384,-0.39851937,8,0.0034628473,-1.4322238877415656,1.010913372039795,0.01796875,0.00025,0.2,-0.008493793196976185,0.9342364072799683,70,-0.004156380900531076,0.03658245644764975
7,2434,18432,0.011623609,9,0.0038861556,-1.4300816096365452,1.0106874704360962,0.024169921875,0.00025,0.2,-0.007495688274502754,0.8812946677207947,80,-0.007557951725902967,0.12500093227718026
8,2430,20480,0.21646473,10,0.0040943613,-1.4305531077086926,1.0113848447799683,0.028759765625,0.00025,0.2,0.05169924348592758,0.8537911176681519,90,-0.00809736647788668,0.1825998874846846
9,2428,22528,-0.010787105,11,0.0046057166,-1.4273030154407025,1.006186604499817,0.033154296875,0.00025,0.2,-0.005618570372462273,0.9357481598854065,100,-0.006034273869590834,0.0363929025712423
10,2425,24576,0.025622247,12,0.005397383,-1.4221175208687782,1.0002646446228027,0.046923828125,0.00025,0.2,0.07153606414794922,0.9001947045326233,110,-0.007614617384388111,0.09863328074570746
10,2423,26624,-0.22414194,13,0.0039320244,-1.4185556456446649,0.997843325138092,0.021142578125,0.00025,0.2,0.03730696439743042,0.8893032073974609,120,-0.0065194373150006864,0.16636113477870823
11,2420,28672,0.08961728,14,0.003568339,-1.421332421898842,1.0045474767684937,0.02705078125,0.00025,0.2,-0.00714697502553463,0.9035117030143738,130,-0.004923018580302596,0.04295172495767474
12,2417,30720,0.008305197,15,0.003728341,-1.4185118429362773,0.993621289730072,0.01689453125,0.00025,0.2,0.006775118410587311,0.9432589411735535,140,-0.00630079687689431,0.08078383402898907
13,2413,32768,-0.034312002,16,0.0033898046,-1.4108743138611317,0.989648163318634,0.02861328125,0.00025,0.2,-0.0049079060554504395,0.9630765318870544,150,-0.008361225080443546,0.05806051811669022
