time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/std,train/value_loss
1,1,1322,2048,,,,,,,,,,,
3,2,1205,4096,-5.67550750374794,0.052685546875,-0.00818628910346888,0.00025,0.0050398903,0.15090304613113403,10,0.2,0.031539976596832275,1.0003328323364258,0.46601129360496996
5,3,1169,6144,-5.67685829102993,0.035791015625,-0.00609454357472714,0.00025,0.0048400243,2.076030731201172,20,0.2,0.0556369423866272,0.9998571872711182,7.080563741922378
7,4,1166,8192,-5.674655950069427,0.01142578125,-0.001060062609030865,0.00025,0.0049963566,6.64277982711792,30,0.2,0.04110252857208252,0.9989826679229736,18.230444425344466
8,5,1162,10240,-5.668882745504379,0.02939453125,-0.002704681866453029,0.00025,0.0045823283,1.222943902015686,40,0.2,0.2168481945991516,0.998334527015686,2.6233898483216764
10,6,1130,12288,-5.66765067577362,0.0576171875,-0.0070074786635814235,0.00025,0.006378874,3.1214563846588135,50,0.2,0.06736558675765991,0.9979560375213623,8.501853305101395
12,7,1117,14336,-5.664819085597992,0.023828125,-0.0028469390206737446,0.00025,0.004501739,7.698485851287842,60,0.2,0.022627413272857666,0.996722936630249,15.574043533205986
15,8,1073,16384,-5.664806416630745,0.043896484375,-0.0025009365868754684,0.00025,0.005284248,0.866878867149353,70,0.2,0.11073052883148193,0.9980567097663879,2.256261671334505
19,9,943,18432,-5.670631298422814,0.0380859375,-0.004492002818733454,0.00025,0.00628437,8.731287956237793,80,0.2,0.18721365928649902,0.9989229440689087,13.132301357388496
21,10,931,20480,-5.668488490581512,0.025146484375,-0.002747162977902917,0.00025,0.004990419,1.070505142211914,90,0.2,0.28940439224243164,0.9979068040847778,2.3900071009993553
24,11,929,22528,-5.670870009064674,0.071435546875,-0.005348406624398195,0.00025,0.009243883,0.9293315410614014,100,0.2,0.2579540014266968,0.998987078666687,2.3436975784599783
26,12,935,24576,-5.671101343631745,0.033984375,-0.004186057631159201,0.00025,0.00828214,1.3400191068649292,110,0.2,0.29667890071868896,0.9989598989486694,3.623892769217491
28,13,942,26624,-5.667498257756233,0.026611328125,-0.0051179830625187606,0.00025,0.0036136068,2.6406421661376953,120,0.2,0.3237747550010681,0.9969294667243958,4.9801779091358185
30,14,955,28672,-5.66304058432579,0.0650390625,-0.005201707046944648,0.00025,0.0075391154,1.5911526679992676,130,0.2,0.33965420722961426,0.9969649314880371,3.6365462437272074
34,15,894,30720,-5.66030091047287,0.0482421875,-0.004890202530077659,0.00025,0.0053251935,2.285560131072998,140,0.2,0.281169056892395,0.9953697323799133,5.125394971668721
36,16,906,32768,-5.659329122304916,0.052001953125,-0.0036884893124806695,0.00025,0.0056314794,3.0589547157287598,150,0.2,0.42116183042526245,0.9973733425140381,8.88821828365326
37,17,919,34816,-5.666075453162193,0.041650390625,-0.002166996293817647,0.00025,0.0054916334,1.7823671102523804,160,0.2,0.42360609769821167,0.9990639686584473,4.507240335643291
39,18,929,36864,-5.677759891748428,0.03935546875,-0.003900231805164367,0.00025,0.007875759,2.213958263397217,170,0.2,0.3708653450012207,1.0032126903533936,5.710336226224899
41,19,927,38912,-5.690558975934982,0.077685546875,-0.004533233110851143,0.00025,0.008558617,1.3850507736206055,180,0.2,0.08383172750473022,1.0028083324432373,2.0237913824617864
45,20,901,40960,-5.687226635217667,0.05751953125,-0.0069921403657644985,0.00025,0.0074551585,1.7689324617385864,190,0.2,0.6702980399131775,1.0024917125701904,4.146313627064228
48,21,887,43008,-5.6832466393709185,0.06708984375,-0.004906668755575083,0.00025,0.006660213,1.133987307548523,200,0.2,0.7431914806365967,1.0008962154388428,2.806584972143173
50,22,888,45056,-5.675721383094787,0.080029296875,-0.005511391528125386,0.00025,0.008355092,4.234536647796631,210,0.2,0.6986650228500366,0.9983631372451782,8.117076084017754
52,23,895,47104,-5.665449398756027,0.07841796875,-0.0010448238666867838,0.00025,0.0086974455,0.5574597716331482,220,0.2,0.053303062915802,0.9971361756324768,1.0512489385902881
54,24,903,49152,-5.663944128155708,0.07607421875,-0.00036522261798381804,0.00025,0.0051357653,1.382526159286499,230,0.2,0.10916829109191895,0.9971936941146851,2.51675283908844
56,25,910,51200,-5.658904874324799,0.085009765625,-0.003336690686410293,0.00025,0.010566053,1.0813801288604736,240,0.2,0.05246669054031372,0.9948790073394775,2.181211096793413
58,26,917,53248,-5.6493031024932865,0.117333984375,-0.0067188674962380904,0.00025,0.009371592,5.550666809082031,250,0.2,0.14967751502990723,0.9912930130958557,8.138065420091152
59,27,921,55296,-5.627821728587151,0.05234375,-0.0054199384205276145,0.00025,0.0040792003,1.3267441987991333,260,0.2,0.08853107690811157,0.9839818477630615,2.835669597238302
65,28,878,57344,-5.603738752007485,0.066259765625,-0.005058006380568259,0.00025,0.009942052,3.2523505687713623,270,0.2,0.03215658664703369,0.9803028106689453,6.715200071036816
67,29,886,59392,-5.58586705327034,0.063037109375,-0.0029572037150501274,0.00025,0.0068081236,1.5006579160690308,280,0.2,-0.006676435470581055,0.9754346013069153,3.6768338210880755
68,30,894,61440,-5.575156638026238,0.06552734375,-0.0019241075729951262,0.00025,0.005094032,0.30831846594810486,290,0.2,0.017617642879486084,0.976667582988739,1.0517657201737165
