time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std
1348,1,1,2048,,,,,,,,,,,
1365,2,2,4096,-5.67113251388073,0.00025,0.6627099810168147,0.17280825972557068,0.054443359375,0.2,0.006620154,10,0.10891306400299072,-0.006984284622012638,0.9977616667747498
1369,4,3,6144,-5.669747549295425,0.00025,2.7482602935284377,1.0990164279937744,0.01494140625,0.2,0.003336556,20,0.19493579864501953,-0.004752785767777823,0.9992456436157227
1374,5,4,8192,-5.680774316191673,0.00025,1.4329012665897607,0.6013502478599548,0.039892578125,0.2,0.0051926346,30,0.008188128471374512,-0.005970102510764264,1.003041386604309
1374,7,5,10240,-5.6880222976207735,0.00025,3.769907796382904,2.1529104709625244,0.0361328125,0.2,0.004719513,40,0.06709736585617065,-0.003261609759647399,1.0024404525756836
1375,8,6,12288,-5.683837589621544,0.00025,3.8578367926180364,1.7240254878997803,0.043408203125,0.2,0.0070685064,50,0.056770265102386475,-0.0062324273370904845,1.0012542009353638
1378,10,7,14336,-5.673844370245933,0.00025,3.7201077096164226,1.995254635810852,0.0296875,0.2,0.005887833,60,0.1339765191078186,-0.003703830321319401,0.9962834715843201
1380,11,8,16384,-5.659734857082367,0.00025,13.556699031591416,5.815422058105469,0.022998046875,0.2,0.0034394674,70,0.10928386449813843,-0.0030672776367282493,0.9962867498397827
1380,13,9,18432,-5.664004024863243,0.00025,13.989317840337753,7.493344306945801,0.027197265625,0.2,0.0048168157,80,0.06135976314544678,-0.003078681349870749,0.9976613521575928
1380,14,10,20480,-5.667296946048737,0.00025,7.885220101475715,6.6494574546813965,0.04560546875,0.2,0.006946637,90,0.1037435531616211,-0.0041746263392269615,0.9979043006896973
1382,16,11,22528,-5.665484765172005,0.00025,6.460223546624183,3.2379367351531982,0.04521484375,0.2,0.005277628,100,0.1989154815673828,-0.004796153458300978,0.9969354867935181
1381,17,12,24576,-5.664979743957519,0.00025,7.1217150568962095,3.134087324142456,0.0375,0.2,0.0047199996,110,0.16086232662200928,-0.005027599370805547,0.9978324174880981
1381,19,13,26624,-5.6586265623569485,0.00025,9.418521520495414,4.794459342956543,0.038671875,0.2,0.0067263725,120,0.24259620904922485,-0.005263994156848639,0.9930236339569092
1380,20,14,28672,-5.648661211133003,0.00025,14.411198526620865,7.699993133544922,0.024267578125,0.2,0.004676949,130,0.49447858333587646,-0.0028808565984945744,0.9944697618484497
1374,22,15,30720,-5.662274864315987,0.00025,20.555955642461775,7.8540191650390625,0.04755859375,0.2,0.004643988,140,0.5314375162124634,-0.003205699723912403,0.9996804594993591
1376,23,16,32768,-5.6819489926099775,0.00025,23.238429915904998,11.790231704711914,0.046728515625,0.2,0.0054673646,150,0.4588608741760254,-0.002921913017053157,1.003408670425415
1376,25,17,34816,-5.684371840953827,0.00025,25.377615404129028,10.302414894104004,0.074169921875,0.2,0.008844505,160,0.15045702457427979,-0.004952557616343256,1.0011672973632812
1376,26,18,36864,-5.684588027000427,0.00025,7.229171684384346,3.3279638290405273,0.047705078125,0.2,0.0051390203,170,0.12326699495315552,-0.0037128478987142445,1.003770351409912
1377,28,19,38912,-5.686613357067108,0.00025,18.101263350248338,8.225356101989746,0.008154296875,0.2,0.0026451834,180,0.4967750310897827,-0.0014091981240198948,1.0016789436340332
1377,29,20,40960,-5.677949231863022,0.00025,24.090006029605867,12.347064971923828,0.043359375,0.2,0.0063026724,190,0.6560516357421875,-0.0040593967372842595,1.0000602006912231
1378,31,21,43008,-5.675636258721352,0.00025,26.191495275497438,14.40744686126709,0.045556640625,0.2,0.007088385,200,0.6999045014381409,-0.003088064171606675,1.00017249584198
1379,32,22,45056,-5.672426080703735,0.00025,25.892371571063997,11.287191390991211,0.0416015625,0.2,0.004860891,210,0.6921906471252441,-0.0037078209134051576,0.9986621141433716
1380,34,23,47104,-5.664409020543099,0.00025,16.694668513536453,8.762215614318848,0.063671875,0.2,0.00898279,220,0.49903935194015503,-0.006712652026908472,0.9959604144096375
1380,35,24,49152,-5.653919312357902,0.00025,26.921958005428316,15.407842636108398,0.03154296875,0.2,0.0034158854,230,0.6819493174552917,-0.004010281414957717,0.9940255284309387
1381,37,25,51200,-5.648437434434891,0.00025,15.678827917575836,7.218908309936523,0.055224609375,0.2,0.006811817,240,0.8207846283912659,-0.0049998437491012735,0.9923771619796753
1382,38,26,53248,-5.645647716522217,0.00025,26.599672555923462,15.530352592468262,0.063232421875,0.2,0.0065344367,250,0.6598369479179382,-0.003790780747658573,0.9934566617012024
1382,40,27,55296,-5.650351506471634,0.00025,25.050204241275786,12.341800689697266,0.037451171875,0.2,0.005823864,260,0.7454017996788025,-0.0006547522643813863,0.994968056678772
1382,41,28,57344,-5.659999340772629,0.00025,11.343063020706177,5.871901512145996,0.057373046875,0.2,0.0049290154,270,0.005688130855560303,-0.002233034717210103,0.9975357055664062
1382,42,29,59392,-5.661491790413857,0.00025,18.614039784669878,8.013955116271973,0.0150390625,0.2,0.0025345134,280,0.6467205882072449,-0.0015533805461018346,0.9954961538314819
1377,44,30,61440,-5.658201110363007,0.00025,18.16646354794502,7.12216329574585,0.052099609375,0.2,0.0056703757,290,0.8120254278182983,-0.0034876704987254923,0.9967731237411499
