time/time_elapsed,time/iterations,train/reward,time/fps,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss
1,1,0.060740612,1596,2048,,,,,,,,,,,
2,2,-0.82824457,1378,4096,0.471819251216948,-0.004024559121171478,0.0003,1.006515622138977,10,0.039404296875,0.19802309572696686,0.0061653103,0.2,0.2420731782913208,-4.268849423527717
4,3,0.19329114,1316,6144,1.8874542823061347,-0.0018133132500224747,0.0003,1.006498098373413,20,0.034375,0.6973446607589722,0.005155004,0.2,0.16147863864898682,-4.277556981146335
8,4,-0.2232668,981,8192,5.242789736762643,-0.002199661986378487,0.0003,1.0126551389694214,30,0.042626953125,3.33337664604187,0.0068192696,0.2,0.025279700756072998,-4.286908739805222
10,5,0.08066414,1004,10240,1.8578295778483152,-0.005754703868296929,0.0003,1.0020642280578613,40,0.055126953125,1.352396011352539,0.0049858196,0.2,0.32579052448272705,-4.283786217868328
12,6,-0.34992614,1023,12288,4.308637692406774,-0.0006671465875115245,0.0003,1.005078911781311,50,0.0298828125,1.9633103609085083,0.006220557,0.2,0.05047774314880371,-4.267688663303852
13,7,-1.053059,1036,14336,1.611186671629548,-0.0024233068586909214,0.0003,1.0068415403366089,60,0.0626953125,0.8790530562400818,0.008114049,0.2,0.44442665576934814,-4.2705733016133305
15,8,-0.056681897,1036,16384,4.258463931828738,-0.004841573731027893,0.0003,1.0007151365280151,70,0.051171875,3.017794132232666,0.0074802875,0.2,0.18408459424972534,-4.268445275723934
18,9,-0.81744635,977,18432,6.584801391512156,-0.0033039991991245187,0.0003,0.9966408610343933,80,0.05830078125,1.699352502822876,0.008319829,0.2,0.05522793531417847,-4.253891003131867
20,10,0.037170243,992,20480,1.442268837802112,-0.006616698831203393,0.0003,0.9924955368041992,90,0.078759765625,0.5511032342910767,0.007901982,0.2,0.31971895694732666,-4.2389469429850575
22,11,0.7578278,989,22528,6.800737681239843,-0.005312839048565365,0.0003,0.9877674579620361,100,0.078466796875,4.6630859375,0.00816239,0.2,0.19834858179092407,-4.2264526903629305
24,12,0.17189486,992,24576,1.953672165609896,-0.0027269528247416018,0.0003,0.9815465807914734,110,0.083642578125,0.6375184655189514,0.0061321403,0.2,0.17037248611450195,-4.209248372912407
26,13,0.14505781,1006,26624,1.8395863188430668,-0.0027344461588654665,0.0003,0.9862408638000488,120,0.064208984375,1.156292200088501,0.006197156,0.2,0.4307887554168701,-4.203753897547722
28,14,-1.3781719,1015,28672,3.7818384036421775,-0.006028376435278915,0.0003,0.9861888885498047,130,0.061328125,2.71997332572937,0.0068837437,0.2,0.29944461584091187,-4.213434539735317
29,15,0.2568142,1027,30720,2.1954100165516137,-0.004230065814044792,0.0003,0.9896103739738464,140,0.07919921875,1.1712101697921753,0.009096064,0.2,0.2749241590499878,-4.219619576632977
31,16,-0.19328141,1031,32768,5.637518764659762,-0.0033141240535769613,0.0003,0.9880027770996094,150,0.112353515625,2.1474153995513916,0.012208674,0.2,0.3315063714981079,-4.219950859248638
33,17,0.29641104,1040,34816,10.058715176582336,-0.0025577866515959615,0.0003,0.9878124594688416,160,0.09697265625,5.959143161773682,0.008539593,0.2,0.11550956964492798,-4.21908161342144
35,18,-0.3574918,1048,36864,1.781528139486909,0.0014918783606844954,0.0003,0.9845375418663025,170,0.105908203125,0.6505098342895508,0.009519888,0.2,0.07430672645568848,-4.21098994910717
36,19,-0.8398183,1056,38912,7.917899389564991,-0.005963955141487532,0.0003,0.9834251403808594,180,0.07939453125,7.5201191902160645,0.008923914,0.2,0.09272575378417969,-4.207136812806129
38,20,0.7666278,1064,40960,6.555114791542292,0.0005480662090121769,0.0003,0.9810905456542969,190,0.112353515625,2.503732204437256,0.0077958154,0.2,0.08092367649078369,-4.200621153414249
40,21,0.10770566,1069,43008,4.78326673693955,-0.0025171147208311595,0.0003,0.9857413172721863,200,0.106396484375,2.3911566734313965,0.010006253,0.2,0.16756600141525269,-4.205473473668098
42,22,0.25611597,1058,45056,10.763069227337837,8.13814636785537e-05,0.0003,0.9870901107788086,210,0.083544921875,4.259868621826172,0.007374645,0.2,0.14379942417144775,-4.21501407623291
44,23,0.70576954,1063,47104,3.797176441922784,-0.0003922346935723908,0.0003,0.9817478656768799,220,0.074267578125,1.8275549411773682,0.0073814457,0.2,-0.06652534008026123,-4.209813970327377
45,24,0.28995562,1069,49152,12.82620025202632,-0.000673917760286713,0.0003,0.9822309613227844,230,0.07568359375,2.6237664222717285,0.00901046,0.2,0.22725462913513184,-4.204303926229477
47,25,0.48719266,1075,51200,13.664754337072372,0.0003052714266232215,0.0003,0.9727470874786377,240,0.05615234375,8.100895881652832,0.0067373365,0.2,0.04658609628677368,-4.189210487902164
49,26,0.9537214,1079,53248,2.78256181627512,0.0005209691298659891,0.0003,0.9618335366249084,250,0.103271484375,1.9522758722305298,0.009787969,0.2,0.30041414499282837,-4.153929606080055
51,27,1.4555054,1081,55296,15.721247278153896,-0.003678906033746898,0.0003,0.9540843963623047,260,0.105224609375,13.02975845336914,0.008702223,0.2,0.20566755533218384,-4.127522920072079
52,28,0.57962275,1085,57344,10.473043422400952,-0.0018539188647991977,0.0003,0.9591200351715088,270,0.04248046875,7.641193389892578,0.0051166615,0.2,-0.005635976791381836,-4.121360537409783
54,29,0.09271659,1090,59392,6.088340398855507,-0.0016637716689729132,0.0003,0.9550628662109375,280,0.094384765625,3.1628568172454834,0.009371147,0.2,0.32558614015579224,-4.12402303814888
56,30,0.38972783,1094,61440,10.39564819931984,-0.0023091216833563523,0.0003,0.9562382102012634,290,0.08935546875,5.801890850067139,0.0075758123,0.2,0.0922052264213562,-4.121174216270447
57,31,-0.23891282,1097,63488,5.038381415605545,-0.0049280792620265855,0.0003,0.9573473334312439,300,0.13623046875,2.4007582664489746,0.013629738,0.2,0.012085676193237305,-4.122561830282211
59,32,0.11897913,1098,65536,15.714889984577894,0.0013155169130186551,0.0003,0.95506352186203,310,0.0720703125,8.04053020477295,0.0076199654,0.2,0.17112880945205688,-4.121776968240738
61,33,-0.009971609,1101,67584,20.619930624961853,-0.005608812395075801,0.0003,0.9508020281791687,320,0.0609375,9.829766273498535,0.007727324,0.2,0.11935263872146606,-4.111274091899395
63,34,-0.78409815,1104,69632,0.5258047612383961,-0.006227173337538261,0.0003,0.9400193095207214,330,0.094482421875,0.2655700743198395,0.00958343,0.2,0.8189101815223694,-4.084742084145546
64,35,-0.047407825,1107,71680,2.3532468425109982,-0.00385854167107027,0.0003,0.9383729100227356,340,0.1056640625,0.6093371510505676,0.0103371795,0.2,0.4456402063369751,-4.066367675364018
66,36,0.013071576,1110,73728,1.2270277759060264,0.0011731090227840469,0.0003,0.9345484375953674,350,0.09716796875,0.5392017364501953,0.009293955,0.2,0.07877779006958008,-4.060385689139366
68,37,-0.04550923,1113,75776,2.839459209423512,-0.0008149558474542573,0.0003,0.9370144009590149,360,0.096728515625,4.55812406539917,0.009237974,0.2,0.21554827690124512,-4.054275907576084
69,38,-0.1406605,1115,77824,2.777057480625808,-0.0038374814626877195,0.0003,0.9385512471199036,370,0.094140625,1.39984130859375,0.007436868,0.2,0.222802996635437,-4.066095006465912
71,39,-0.07037214,1114,79872,0.6208250093273818,0.0001655937114264816,0.0003,0.94071364402771,380,0.17275390625,0.426006019115448,0.015013378,0.2,0.1410413384437561,-4.0689367488026615
74,40,-0.01889947,1101,81920,3.206391716748476,-0.00292760748998262,0.0003,0.9414899945259094,390,0.113720703125,1.700331687927246,0.009532621,0.2,0.17032688856124878,-4.07462567538023
