train/learning_rate,train/entropy_loss,time/iterations,train/std,time/fps,train/reward,time/time_elapsed,train/n_updates,train/policy_loss,train/explained_variance,time/total_timesteps,train/value_loss
0.0007,-1.4494831562042236,100,1.0313037633895874,1492,0.00069161947,0,99,-0.00892205722630024,0.0,500,4.563436232274398e-05
0.0007,-1.4759302139282227,200,1.0575937032699585,1431,-0.040362902,0,199,-0.05967908352613449,1.1920928955078125e-07,1000,0.0008428477449342608
0.0007,-1.5025800466537476,300,1.0876039266586304,1565,0.14611608,0,299,-0.1671019196510315,-1.1920928955078125e-07,1500,0.013577225618064404
0.0007,-1.5331101417541504,400,1.1195913553237915,1565,-0.040482394,1,399,0.0848715603351593,0.0,2000,0.019077114760875702
0.0007,-1.528160572052002,500,1.1153156757354736,1611,-2.444906,1,499,3.1336236000061035,0.0,2500,6.278925895690918
0.0007,-1.5282443761825562,600,1.1152271032333374,1652,0.33499536,1,599,5.496645450592041,-3.1014599800109863,3000,19.242488861083984
0.0007,-1.5190290212631226,700,1.1051961183547974,1635,0.08930083,2,699,0.03110957145690918,0.0,3500,0.021453002467751503
0.0007,-1.5084673166275024,800,1.0949058532714844,1593,-0.11335147,2,799,2.531464099884033,-0.08597302436828613,4000,3.0531444549560547
0.0007,-1.5181362628936768,900,1.1040006875991821,1605,0.60972285,2,899,0.6807600855827332,0.0,4500,0.7071022391319275
0.0007,-1.5054692029953003,1000,1.089932918548584,1642,-0.76479584,3,999,0.7923648953437805,-0.03812515735626221,5000,1.3579694032669067
0.0007,-1.5078352689743042,1100,1.0929691791534424,1662,0.3717985,3,1099,0.6861462593078613,0.012800633907318115,5500,0.6358693838119507
0.0007,-1.5113040208816528,1200,1.0974843502044678,1691,0.02388336,3,1199,-0.2907244563102722,0.0,6000,0.09109499305486679
0.0007,-1.5165646076202393,1300,1.1029024124145508,1708,-0.01572223,3,1299,0.02340495027601719,0.0,6500,0.0001586816506460309
0.0007,-1.535565733909607,1400,1.1237380504608154,1730,0.0,4,1399,-0.007894928567111492,0.0,7000,2.6558042009128258e-05
0.0007,-1.559122085571289,1500,1.1508303880691528,1748,0.0015357848,4,1499,0.0021829158067703247,0.0,7500,3.971784735767869e-06
0.0007,-1.595564603805542,1600,1.1936944723129272,1765,0.0,4,1599,0.0014278467278927565,0.0,8000,1.6591799294474185e-06
0.0007,-1.6331470012664795,1700,1.239410638809204,1781,-0.00055946165,4,1699,-0.0024942965246737003,0.0,8500,3.068438218178926e-06
0.0007,-1.678574562072754,1800,1.2965474128723145,1796,0.0,5,1799,-0.011656827293336391,0.0,9000,2.207477700721938e-05
0.0007,-1.724064588546753,1900,1.357466459274292,1809,0.0,5,1899,1.7364922314300202e-05,0.0,9500,1.5723207458240296e-10
0.0007,-1.773837685585022,2000,1.4268715381622314,1820,0.0,5,1999,1.7322669009445235e-05,0.0,10000,1.591902859532368e-10
0.0007,-1.8333781957626343,2100,1.514392375946045,1831,0.0,5,2099,-0.003543007420375943,0.0,10500,4.046011326863663e-06
0.0007,-1.8997310400009155,2200,1.6184391975402832,1842,0.0,5,2199,-1.2753339717619383e-07,0.0,11000,4.2192091766440724e-15
0.0007,-1.9642963409423828,2300,1.7264204025268555,1851,0.0,6,2299,-2.139010803148267e-06,0.0,11500,1.7337072532805364e-12
0.0007,-2.0313360691070557,2400,1.846132516860962,1859,0.0,6,2399,0.00029425794491544366,0.0,12000,2.8592458178877678e-08
