train/reward,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/std,train/clip_fraction,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss
-0.0843515,3101,1,0,2048,,,,,,,,,,,
-0.55147004,2719,2,1,4096,0.9872481226921082,0.00546875,0.38819241523742676,0.8244356103241444,10,0.00025,0.0,-0.0004397555283503607,0.2,0.0024780799,-1.4125197976827621
-0.21300916,2614,3,2,6144,0.974089503288269,0.00439453125,0.3621630370616913,0.9154238224029541,20,0.00025,0.0,-0.0004542437774944119,0.2,0.0019530305,-1.398756966739893
-0.05150485,2561,4,3,8192,0.9721405506134033,0.0515625,-0.01751922443509102,0.021537865797290577,30,0.00025,0.0,-0.003242080958443694,0.2,0.0074044736,-1.391022301465273
-5.8481274,2184,5,4,10240,0.9723324775695801,0.01630859375,0.4671752154827118,1.1067955588921905,40,0.00025,-0.008273482322692871,-0.0005980588553939015,0.2,0.0034693202,-1.3902945511043072
-0.40091893,2219,6,5,12288,0.974496603012085,0.02060546875,4.647936820983887,14.009464022517204,50,0.00025,0.005235433578491211,-0.001589446254365612,0.2,0.0049642418,-1.3923062413930893
0.122914694,2242,7,6,14336,0.9778814315795898,0.013916015625,3.113445281982422,8.866188278794288,60,0.00025,0.05099576711654663,-0.0015682273544371129,0.2,0.0034120253,-1.3942909829318524
2.155947,2258,8,7,16384,0.9785329103469849,0.0,32.13389205932617,63.89995765686035,70,0.00025,0.05201458930969238,-0.0003253722228691913,0.2,0.0004101719,-1.3968223311007022
0.7684995,2274,9,8,18432,0.977215588092804,0.0001953125,3.033803939819336,8.273840224742889,80,0.00025,0.15768808126449585,5.645827332045883e-05,0.2,0.0015618087,-1.3968286290764809
1.2150469,2289,10,8,20480,0.976740300655365,0.004345703125,18.937837600708008,41.62031823396683,90,0.00025,0.08816331624984741,-0.0012987782392883673,0.2,0.0021968624,-1.3958817832171917
-1.3070097,2300,11,9,22528,0.9771082401275635,0.001953125,12.09349536895752,48.358132576942445,100,0.00025,-0.015108823776245117,-0.0010845558659639209,0.2,0.0015483799,-1.3955896183848382
0.38956535,2311,12,10,24576,0.9815049171447754,0.000634765625,13.983060836791992,24.236316239833833,110,0.00025,0.048772335052490234,-0.0005055924557382241,0.2,0.0003617158,-1.3974696099758148
2.9402642,2319,13,11,26624,0.9829297661781311,0.00517578125,26.609535217285156,64.44379823207855,120,0.00025,0.030876219272613525,-0.0008713155155419372,0.2,0.0041058017,-1.4009793825447558
1.4358222,2326,14,12,28672,0.983877956867218,0.000830078125,7.600291728973389,12.258675357699394,130,0.00025,0.06518948078155518,-0.00020115613733651116,0.2,0.0015606778,-1.4023966364562512
-6.6435933,2316,15,13,30720,0.9928728342056274,0.005078125,31.26897621154785,62.055151557922365,140,0.00025,0.02894061803817749,-0.0013174526655348017,0.2,0.0024306593,-1.4074830368161202
0.06809913,2311,16,14,32768,0.9928706288337708,0.012939453125,10.761968612670898,41.08356479406357,150,0.00025,-0.02773463726043701,-0.0020539917837595566,0.2,0.0035763162,-1.411734615266323
0.47498956,2294,17,15,34816,0.9924359321594238,0.034375,11.951292991638184,20.6028263092041,160,0.00025,-0.04470622539520264,-0.0011768959782784804,0.2,0.0067444397,-1.4118497498333453
5.8228474,2287,18,16,36864,0.9935519695281982,0.000634765625,13.926162719726562,32.391296327114105,170,0.00025,-0.027144193649291992,-0.00018083423492498696,0.2,0.00094363117,-1.4118123680353165
0.48755682,2290,19,16,38912,0.9904162287712097,0.023046875,4.58493185043335,9.81546471118927,180,0.00025,0.07714229822158813,-0.00244850650196895,0.2,0.00469499,-1.4116335056722165
0.8617592,2296,20,17,40960,0.9884864687919617,0.00478515625,28.93779182434082,73.87794308662414,190,0.00025,0.03919076919555664,-0.001097617798950523,0.2,0.0016744651,-1.408502198010683
-2.6664793,2286,21,18,43008,0.9892793297767639,0.0052734375,37.90798568725586,53.9839684844017,200,0.00025,-0.009359955787658691,-0.0003176129757775925,0.2,0.002651807,-1.4075513444840908
-0.2903534,2189,22,20,45056,0.9839357137680054,0.011328125,20.92470932006836,34.76234973073006,210,0.00025,0.06417840719223022,-0.00018623341238708236,0.2,0.0020509055,-1.4056860491633416
0.5067903,2113,23,22,47104,0.9847724437713623,0.009814453125,31.67938232421875,79.418710064888,220,0.00025,0.03409850597381592,-0.0008440593504928984,0.2,0.0037697507,-1.4030970871448516
1.0094981,2112,24,23,49152,0.9863670468330383,0.01484375,7.870384216308594,11.210990101099014,230,0.00025,0.18746894598007202,-0.0008392082090722397,0.2,0.002643221,-1.4043901845812798
7.457451,2114,25,24,51200,0.9850010871887207,0.007080078125,41.07490539550781,88.86717538833618,240,0.00025,0.0247877836227417,-0.0008626873575849458,0.2,0.0038052127,-1.4048236735165118
