time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/std,train/clip_fraction,train/approx_kl
2048,1,1,1557,,,,,,,,,,,
4096,2,2,1463,0.2,0.00025,0.05791085958480835,0.5514419951476157,0.1713891327381134,-0.005091039958642796,-4.256408298015595,10,1.0007847547531128,0.0580078125,0.006454077
6144,3,4,1431,0.2,0.00025,0.03304976224899292,5.196707998961211,2.0104942321777344,-0.003323983219161164,-4.256701120734215,20,0.9987067580223083,0.017822265625,0.0032963809
8192,4,5,1420,0.2,0.00025,0.051249563694000244,17.433074247837066,15.891545295715332,-0.004986718083091546,-4.249048507213592,30,0.9964409470558167,0.041455078125,0.0045749834
10240,5,7,1412,0.2,0.00025,0.21898460388183594,11.525938045978545,6.434638500213623,-0.004941039969708072,-4.244027405977249,40,0.9948758482933044,0.031884765625,0.005015122
12288,6,8,1408,0.2,0.00025,0.2525712847709656,10.821943271160126,5.807669639587402,-0.006547904355829815,-4.24165857732296,50,0.994804859161377,0.062109375,0.008343205
14336,7,10,1405,0.2,0.00025,0.732479989528656,2.2711202390491962,1.3759866952896118,-0.004975758184446022,-4.244541960954666,60,0.996492326259613,0.03046875,0.005951987
16384,8,11,1402,0.2,0.00025,0.38138115406036377,5.20984937697649,3.4377219676971436,-0.0019367220724234358,-4.248182961344719,70,0.9984731674194336,0.02724609375,0.004033499
18432,9,13,1398,0.2,0.00025,0.3803826570510864,0.7757407885976135,0.5208466053009033,-0.004072987259132787,-4.242652800679207,80,0.992649257183075,0.0873046875,0.007541851
20480,10,15,1362,0.2,0.00025,0.24319767951965332,3.8634728714823723,1.9954367876052856,-0.0035023266391362995,-4.230546370148659,90,0.9893744587898254,0.0173828125,0.003958066
22528,11,16,1352,0.2,0.00025,0.2457798719406128,6.250984854996204,2.672376871109009,-0.004718923193286173,-4.219729653000831,100,0.9855466485023499,0.042919921875,0.004539388
24576,12,18,1351,0.2,0.00025,0.07627910375595093,1.2198018327355384,0.4716925323009491,-0.003942537578404881,-4.2141833186149595,110,0.9862785935401917,0.04052734375,0.006620013
26624,13,19,1352,0.2,0.00025,0.36201030015945435,2.4701811231672766,1.2834585905075073,-0.005027302831877023,-4.2100960403680805,120,0.9823341369628906,0.05166015625,0.0054840418
28672,14,21,1354,0.2,0.00025,0.33664143085479736,1.6939645882695913,1.223028302192688,-0.006911624496569857,-4.207402241230011,130,0.9857926964759827,0.069775390625,0.006252231
30720,15,22,1355,0.2,0.00025,0.015751123428344727,7.081519424915314,3.2750093936920166,-0.004260972829069942,-4.213176861405373,140,0.9847787022590637,0.0583984375,0.005093062
32768,16,24,1356,0.2,0.00025,0.002109348773956299,32.37610383033753,14.416814804077148,-0.0015218227839795873,-4.210990604758263,150,0.9853625297546387,0.0205078125,0.0040283957
34816,17,25,1357,0.2,0.00025,0.03977924585342407,26.309416747093202,11.907885551452637,-0.0030452000588411464,-4.21534304022789,160,0.9881734848022461,0.027978515625,0.003134259
36864,18,27,1358,0.2,0.00025,0.021723806858062744,1.665687234699726,0.9903011918067932,-0.007286921633931342,-4.221543368697167,170,0.9887053370475769,0.0849609375,0.010106874
38912,19,28,1354,0.2,0.00025,0.03700661659240723,3.82118082344532,2.4326324462890625,-0.004695261773304082,-4.22876792550087,180,0.9933257102966309,0.061962890625,0.0060262214
40960,20,30,1342,0.2,0.00025,0.004484832286834717,24.619298654794694,15.334558486938477,-0.0010464894454344175,-4.232196310162545,190,0.9901451468467712,0.030615234375,0.006242356
43008,21,33,1302,0.2,0.00025,0.1480334997177124,20.92654675245285,6.435560703277588,-0.0008747422805754467,-4.232357993721962,200,0.9947122931480408,0.0123046875,0.0033520851
45056,22,34,1294,0.2,0.00025,0.08080863952636719,9.270161053538322,4.369716167449951,-0.0009014354523969814,-4.240778052806855,210,0.9947311282157898,0.027001953125,0.0047950833
47104,23,36,1278,0.2,0.00025,0.02199918031692505,4.645868997275829,2.5448532104492188,-0.0030695703055243937,-4.24205836057663,220,0.996444046497345,0.042138671875,0.00519058
49152,24,38,1268,0.2,0.00025,0.1463719606399536,9.064437265694142,2.9160773754119873,-0.003510949086921755,-4.243549400568009,230,0.9957616925239563,0.056591796875,0.0072669014
51200,25,40,1272,0.2,0.00025,0.18599313497543335,6.558707201480866,2.414836883544922,-0.0031222542631439863,-4.2361076265573505,240,0.9905848503112793,0.05859375,0.0055962126
53248,26,41,1276,0.2,0.00025,0.45740050077438354,2.3555526711046695,1.0383379459381104,-0.0055754774541128425,-4.227518159151077,250,0.990563690662384,0.04970703125,0.007934477
55296,27,43,1279,0.2,0.00025,0.3053373694419861,4.929204800724984,3.0147969722747803,-0.002829415435553528,-4.222052019834519,260,0.9866807460784912,0.0474609375,0.0058358693
57344,28,44,1283,0.2,0.00025,0.3370653986930847,3.281328594684601,1.2028396129608154,-0.0012340339948423208,-4.218878501653672,270,0.9884123802185059,0.035205078125,0.004832338
59392,29,46,1286,0.2,0.00025,0.3876020908355713,7.870940326154232,8.668601989746094,-0.0029995468124980108,-4.2202541410923,280,0.9876626133918762,0.0630859375,0.0068875155
61440,30,47,1289,0.2,0.00025,0.18321746587753296,9.404537358880043,5.480457305908203,-0.005140347901033238,-4.214877420663834,290,0.9852871298789978,0.0564453125,0.005605151
