time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std
1481,1,1,2048,,,,,,,,,,,
1395,2,2,4096,-5.671788755059242,0.00025,0.6525157809257507,0.1684102714061737,0.06181640625,0.2,0.005480204,10,0.10891377925872803,-0.006849038129439577,0.9972763061523438
1374,4,3,6144,-5.667267945408821,0.00025,4.287357040494681,1.8055983781814575,0.041650390625,0.2,0.005923762,20,0.23639661073684692,-0.008225500088883564,0.9984573721885681
1355,6,4,8192,-5.663674211502075,0.00025,1.6987825438380242,0.9571599960327148,0.063525390625,0.2,0.0077804225,30,0.24319607019424438,-0.007331623288337141,0.9937660694122314
1350,7,5,10240,-5.645889842510224,0.00025,2.2182140819728375,0.9172682762145996,0.047900390625,0.2,0.0061973366,40,0.3015846014022827,-0.007873769153957256,0.991381049156189
1347,9,6,12288,-5.634211936593056,0.00025,9.086888599395753,4.7151618003845215,0.031298828125,0.2,0.0062611112,50,0.11904966831207275,-0.004117517036502249,0.9877909421920776
1344,10,7,14336,-5.629135650396347,0.00025,15.483262205123902,4.921204566955566,0.03740234375,0.2,0.007623319,60,0.1502709984779358,-0.0025614727186621168,0.9886658191680908
1342,12,8,16384,-5.623957094550133,0.00025,33.94063913822174,17.3894100189209,0.0638671875,0.2,0.006620456,70,0.12616169452667236,-0.005252117649069988,0.9855902194976807
1340,13,9,18432,-5.614067569375038,0.00025,26.37519625425339,10.071887016296387,0.0380859375,0.2,0.0046549607,80,0.0024994611740112305,-0.003378156723920256,0.9842243194580078
1323,15,10,20480,-5.608194509148598,0.00025,18.931050372123718,8.870643615722656,0.046728515625,0.2,0.0046281544,90,0.20553302764892578,-0.005853528648731299,0.9824321269989014
1323,17,11,22528,-5.606285730004311,0.00025,25.509021556377412,15.200708389282227,0.0369140625,0.2,0.0075509427,100,0.19744521379470825,-0.002757048115017824,0.9835917949676514
1325,18,12,24576,-5.613877323269844,0.00025,47.413890504837035,22.055505752563477,0.02333984375,0.2,0.003767288,110,0.13872694969177246,-0.004286283395776991,0.9863303303718567
1327,20,13,26624,-5.613378444314003,0.00025,23.715804958343504,12.079376220703125,0.028662109375,0.2,0.005111177,120,-0.008282065391540527,-0.0008247170175309293,0.9815747737884521
1327,21,14,28672,-5.593493175506592,0.00025,32.34830340147018,13.821002960205078,0.04697265625,0.2,0.006026343,130,0.19241124391555786,-0.003442187575274147,0.9783267378807068
1327,23,15,30720,-5.587353584170342,0.00025,39.691618251800534,12.379209518432617,0.023974609375,0.2,0.00406983,140,0.1730213761329651,-0.003194992238422856,0.9785509705543518
1327,24,16,32768,-5.589713615179062,0.00025,33.88820036649704,15.31358528137207,0.047021484375,0.2,0.0073440257,150,0.12679409980773926,-0.0007494031015085056,0.9804354310035706
1327,26,17,34816,-5.591907620429993,0.00025,25.325624215602875,14.032760620117188,0.06142578125,0.2,0.0085287485,160,0.0026624202728271484,-0.0007155351573601365,0.9792146682739258
1327,27,18,36864,-5.593008020520211,0.00025,25.878614205121995,7.024494647979736,0.053466796875,0.2,0.005497326,170,0.2777553200721741,-0.004220438809716143,0.9796985387802124
1328,29,19,38912,-5.585358971357346,0.00025,32.58542238473892,20.226734161376953,0.065673828125,0.2,0.006993726,180,0.13550376892089844,-0.002544440620113164,0.9761874675750732
1329,30,20,40960,-5.579993316531182,0.00025,40.95341646671295,25.518348693847656,0.04990234375,0.2,0.009074748,190,0.0683937668800354,-0.0010188492567976936,0.9766677021980286
1329,32,21,43008,-5.578988164663315,0.00025,21.529588466882707,9.639984130859375,0.082177734375,0.2,0.007992469,200,-0.005854487419128418,0.00036484207230387257,0.9754979610443115
1329,33,22,45056,-5.580426594614982,0.00025,31.460331892967226,15.75003719329834,0.068359375,0.2,0.009758872,210,0.10679441690444946,-0.005011448540608398,0.9790757298469543
1329,35,23,47104,-5.595098984241486,0.00025,37.861956322193144,18.474681854248047,0.1056640625,0.2,0.009073792,220,0.08093047142028809,-0.004813199877389707,0.9810682535171509
1328,37,24,49152,-5.6043211907148365,0.00025,26.63973026275635,13.603941917419434,0.04521484375,0.2,0.0053115636,230,0.04333531856536865,-0.003667804572614841,0.9833381772041321
1314,38,25,51200,-5.615134525299072,0.00025,20.353949618339538,9.630197525024414,0.0388671875,0.2,0.0077293226,240,0.022450745105743408,-0.003387188397755381,0.9865403771400452
1312,40,26,53248,-5.6230678230524065,0.00025,33.17167422771454,19.62871551513672,0.086376953125,0.2,0.00938291,250,0.03659242391586304,-0.005601909523829818,0.9878013134002686
1311,42,27,55296,-5.626526215672493,0.00025,41.13706934452057,16.671228408813477,0.050830078125,0.2,0.0060617006,260,0.0063555240631103516,-0.0024787785456283017,0.9879496097564697
1307,43,28,57344,-5.632082468271255,0.00025,40.58933048248291,26.94335174560547,0.069970703125,0.2,0.00801819,270,0.010049819946289062,-0.001579177481471561,0.9912100434303284
1306,45,29,59392,-5.635492107272148,0.00025,25.790308272838594,12.091324806213379,0.087109375,0.2,0.0077844597,280,-0.010945677757263184,-0.0021078392208437437,0.9890811443328857
1303,47,30,61440,-5.640805506706238,0.00025,34.25529043674469,25.37112045288086,0.065869140625,0.2,0.0074767787,290,0.009020566940307617,-0.0037642991403117774,0.9959173202514648
