train/reward,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/loss
-0.19295579,2,2048,786,1,,,,,,,,,,,
-0.5806881,5,4096,756,2,0.0,0.2,-12.765705144405365,0.0044658696,0.998987078666687,0.00025,-0.0032435785164125265,10,0.8463000291958451,0.059033203125,0.23190844058990479
-1.0051012,8,6144,746,3,5.5909156799316406e-05,0.2,-12.778237891197204,0.009172676,1.0029549598693848,0.00025,-0.006671799666946754,20,11.457288199663163,0.095751953125,6.647759437561035
-0.35899237,10,8192,745,4,0.0,0.2,-12.815973949432372,0.006127029,1.007185935974121,0.00025,-0.0027569298195885493,30,0.8905593834817409,0.04677734375,0.2827991843223572
-9.978505,13,10240,735,5,0.015092730522155762,0.2,-12.834832185506821,0.007251027,1.0070565938949585,0.00025,-0.009654737624805421,40,6.746132427453995,0.056396484375,3.8794546127319336
-0.2799559,16,12288,728,6,0.020259380340576172,0.2,-12.839109867811203,0.007171394,1.0084306001663208,0.00025,-0.0064096728543518115,50,15.97845214009285,0.059912109375,10.71956729888916
0.34095654,19,14336,727,7,0.010552704334259033,0.2,-12.856277281045914,0.008823235,1.0112131834030151,0.00025,-0.010255729331402109,60,6.658165599405765,0.0759765625,2.332503318786621
1.9070337,22,16384,726,8,0.0030504465103149414,0.2,-12.873260867595672,0.00807346,1.0117106437683105,0.00025,-0.006276500681997277,70,22.21580657362938,0.059814453125,12.796693801879883
0.93697566,25,18432,726,9,0.007039487361907959,0.2,-12.88085879087448,0.008958137,1.0133616924285889,0.00025,-0.008807182939199265,80,10.17635450065136,0.072998046875,4.8869123458862305
1.0670516,28,20480,726,10,0.019829988479614258,0.2,-12.892380446195602,0.008278077,1.0143955945968628,0.00025,-0.010610070466645994,90,36.47657576799393,0.075830078125,12.500714302062988
-1.4631572,31,22528,726,11,-0.01638031005859375,0.2,-12.900157916545869,0.006561579,1.0142836570739746,0.00025,-0.0045604584942338985,100,31.154581916332244,0.0484375,15.49411392211914
0.19212997,33,24576,727,12,0.009798765182495117,0.2,-12.887236732244492,0.00956845,1.0118763446807861,0.00025,-0.011140716599766166,110,12.83861347734928,0.081591796875,5.890251159667969
2.763664,36,26624,728,13,0.028323709964752197,0.2,-12.879985958337784,0.010191293,1.0129534006118774,0.00025,-0.01017216575855855,120,38.499011766910556,0.07958984375,18.887935638427734
1.5698229,39,28672,727,14,0.014919757843017578,0.2,-12.892065942287445,0.009395006,1.0143260955810547,0.00025,-0.007098405683063902,130,9.983624988794327,0.089599609375,4.584384918212891
-6.168353,42,30720,722,15,0.019084036350250244,0.2,-12.901411062479019,0.0084165875,1.0150370597839355,0.00025,-0.006224530207691714,140,34.8973029255867,0.084033203125,11.982743263244629
0.15034693,45,32768,722,16,0.020807743072509766,0.2,-12.903422486782073,0.008859865,1.014676570892334,0.00025,-0.006004584967740811,150,41.64512174129486,0.075830078125,11.482450485229492
0.7425539,48,34816,722,17,0.009023964405059814,0.2,-12.91158910393715,0.008419542,1.0175737142562866,0.00025,-0.013759275755728596,160,21.82331802845001,0.077587890625,7.372978687286377
3.9983468,51,36864,721,18,0.026867985725402832,0.2,-12.93604439496994,0.008111011,1.0198471546173096,0.00025,-0.005050790756649803,170,46.34413352012634,0.06435546875,16.20783233642578
0.49125418,53,38912,722,19,0.10175549983978271,0.2,-12.947987335920335,0.009932816,1.0204811096191406,0.00025,-0.01086305933422409,180,11.121733260154723,0.085546875,6.4035186767578125
0.49951935,56,40960,721,20,0.06856590509414673,0.2,-12.962911087274552,0.010596629,1.0229672193527222,0.00025,-0.009621858838363551,190,52.09106707572937,0.07548828125,35.1521110534668
-2.9674685,59,43008,721,21,-0.004903435707092285,0.2,-12.984857016801834,0.014178478,1.0254836082458496,0.00025,-0.004572178312810138,200,43.1326902627945,0.131982421875,31.354143142700195
-0.07402194,62,45056,722,22,0.06234341859817505,0.2,-13.004544824361801,0.010239267,1.0276135206222534,0.00025,-0.010949202996562235,210,26.256665152311324,0.097119140625,14.302422523498535
1.8202604,65,47104,721,23,-0.06845581531524658,0.2,-13.019053119421006,0.009852026,1.0281891822814941,0.00025,-0.006908906066382769,220,53.964257872104646,0.082958984375,22.300588607788086
0.86204815,68,49152,721,24,0.2346612811088562,0.2,-13.015365380048753,0.011726497,1.0263512134552002,0.00025,-0.01257294242095668,230,7.324722948670387,0.127685546875,2.393016815185547
6.914279,70,51200,721,25,0.09140270948410034,0.2,-13.012926465272903,0.00827181,1.0288646221160889,0.00025,-0.01038296006154269,240,49.10674452781677,0.0970703125,20.637529373168945
