time/iterations,time/fps,train/reward,time/total_timesteps,time/time_elapsed,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss
1,2966,-0.008167666,2048,0,,,,,,,,,,,
2,2454,0.079346634,4096,1,0.1137279431335628,0.040771484375,-1.424880436062813,0.0051572365,-0.08542680740356445,1.0113146305084229,0.00025,10,0.2,-0.017675474286079407,-0.00439673142391257
3,2442,-0.18440175,6144,2,0.20843515871092677,0.01328125,-1.438395094126463,0.0028143157,0.08987122774124146,1.0270235538482666,0.00025,20,0.2,0.018556296825408936,-0.002368952857796103
4,2436,-0.07566625,8192,3,0.09305061644408852,0.037841796875,-1.456282189488411,0.00492911,0.38643592596054077,1.0472348928451538,0.00025,30,0.2,-0.045362602919340134,-0.004150752685382031
5,2429,0.039641976,10240,4,0.11130859153345227,0.0384765625,-1.47366539016366,0.0044794613,0.42207884788513184,1.0634796619415283,0.00025,40,0.2,-0.016567066311836243,-0.004510734800714999
6,2426,0.033896837,12288,5,0.07110414865892381,0.032763671875,-1.4902066357433796,0.0039955666,0.5744344592094421,1.0821963548660278,0.00025,50,0.2,-0.04715578630566597,-0.003922646812861785
7,2425,0.33487305,14336,5,0.07316821618005634,0.047900390625,-1.5026781603693962,0.0057170633,0.5291322469711304,1.092073917388916,0.00025,60,0.2,-0.04721098393201828,-0.007225803917390294
8,2424,0.16691776,16384,6,0.12127380198799073,0.04052734375,-1.513371678441763,0.005838297,0.5452321767807007,1.1050927639007568,0.00025,70,0.2,-0.009790979325771332,-0.005399564668186941
9,2411,-0.24854933,18432,7,0.13433750243857503,0.021435546875,-1.521960087865591,0.0028681713,0.5599825382232666,1.11098051071167,0.00025,80,0.2,0.009897559881210327,-0.003192994580604136
10,2376,0.71886975,20480,8,0.21495295204222203,0.049169921875,-1.5327947355806828,0.004985461,0.4799180030822754,1.1293787956237793,0.00025,90,0.2,0.008164271712303162,-0.00578949693008326
11,2346,0.15260305,22528,9,0.22241353606805206,0.041845703125,-1.5487913921475411,0.0035622257,0.512363076210022,1.1454493999481201,0.00025,100,0.2,0.011186674237251282,-0.005976880475645885
12,2349,0.11274252,24576,10,0.21946710711345077,0.022998046875,-1.5634066037833692,0.0038277856,0.5586857199668884,1.1634000539779663,0.00025,110,0.2,0.03034677356481552,-0.0020262697798898444
13,2354,-0.06063395,26624,11,0.212402981845662,0.021484375,-1.575507005304098,0.0032280122,0.6173216104507446,1.1726809740066528,0.00025,120,0.2,0.01779159903526306,-0.004225030366797
14,2356,0.3558017,28672,12,0.19593436592258512,0.019873046875,-1.5796556390821934,0.002136837,0.7053478956222534,1.1758182048797607,0.00025,130,0.2,0.005645178258419037,-0.001841152300767135
15,2359,0.09905049,30720,13,0.28714288203045724,0.037060546875,-1.5850460991263389,0.0047785356,0.6733949780464172,1.1848549842834473,0.00025,140,0.2,0.0852222889661789,-0.0035890442872187124
16,2361,0.09523987,32768,13,0.23686719248071314,0.015771484375,-1.5946274630725383,0.0020718137,0.7254340648651123,1.1994976997375488,0.00025,150,0.2,0.026291564106941223,-0.0023254619882209226
17,2364,0.08131824,34816,14,0.17883540871553122,0.0107421875,-1.6024659223854543,0.002246778,0.7793411612510681,1.2026453018188477,0.00025,160,0.2,0.005200915038585663,-0.0016847449165652505
18,2367,0.61481744,36864,15,0.24147251881659032,0.051513671875,-1.605964231491089,0.0050051725,0.6656591892242432,1.207944631576538,0.00025,170,0.2,0.02046208083629608,-0.004478360671782866
19,2369,0.058530163,38912,16,0.14672816921956838,0.0458984375,-1.6128611162304878,0.0060895598,0.8180267810821533,1.2190815210342407,0.00025,180,0.2,0.026435308158397675,-0.005061731481691823
20,2356,0.63414824,40960,17,0.29357680333778263,0.033984375,-1.6280005902051926,0.004863568,0.7669703960418701,1.2441952228546143,0.00025,190,0.2,0.030325256288051605,-0.0035160692568751983
21,2349,0.08606022,43008,18,0.23469963744282724,0.0267578125,-1.6351624235510827,0.0027410956,0.8052051663398743,1.238503336906433,0.00025,200,0.2,0.06488949060440063,-0.002996062647434883
22,2335,-0.12595645,45056,19,0.1549445353448391,0.0171875,-1.6321351893246174,0.0037902612,0.8501014709472656,1.2359516620635986,0.00025,210,0.2,-0.03661461919546127,-0.003767062962288037
23,2330,-0.026025282,47104,20,0.2665778987109661,0.029296875,-1.6376769363880157,0.0040389705,0.7570019364356995,1.2514936923980713,0.00025,220,0.2,-0.0051064565777778625,-0.004035902838222682
24,2333,0.036773372,49152,21,0.34772936524823306,0.011572265625,-1.6532341711223126,0.0025802925,0.7980602979660034,1.2758115530014038,0.00025,230,0.2,0.04692520201206207,-0.001335263559303712
25,2336,1.1091039,51200,21,0.2551422880962491,0.020068359375,-1.6650151140987872,0.0037227576,0.8650661706924438,1.2797908782958984,0.00025,240,0.2,0.05741259455680847,-0.003565573543892242
26,2338,-0.17547809,53248,22,0.26744300574064256,0.043408203125,-1.6732456065714358,0.0044328617,0.8482968211174011,1.2991715669631958,0.00025,250,0.2,0.04049716144800186,-0.005024174228310585
27,2341,-0.5892073,55296,23,0.1456507623195648,0.03251953125,-1.6904768392443656,0.004815105,0.9087221622467041,1.3241527080535889,0.00025,260,0.2,-0.005815744400024414,-0.004331076383823529
28,2343,-0.15978935,57344,24,0.5177214897237719,0.006689453125,-1.7030265308916568,0.00195388,0.797831118106842,1.3313615322113037,0.00025,270,0.2,0.21814173460006714,-0.0020255483832443133
29,2345,-0.43362054,59392,25,0.9025618465617299,0.01279296875,-1.7089277781546115,0.002361072,0.7407002449035645,1.3413165807724,0.00025,280,0.2,0.4270816743373871,-0.002100516075734049
