train/learning_rate,train/entropy_loss,time/iterations,train/std,time/fps,train/reward,time/time_elapsed,train/n_updates,train/policy_loss,train/explained_variance,time/total_timesteps,train/value_loss
0.0007,-1.4332013130187988,100,1.0146427154541016,1408,0.09683541,0,99,0.28105950355529785,0.0,500,0.053458862006664276
0.0007,-1.4318398237228394,200,1.0125954151153564,1701,-1.0504708,0,199,-0.4378766417503357,-0.24207806587219238,1000,0.22660429775714874
0.0007,-1.4340955018997192,300,1.0156135559082031,1810,0.0,0,299,-0.19769659638404846,0.0,1500,0.02845834754407406
0.0007,-1.4500483274459839,400,1.0318629741668701,1863,-0.00070181786,1,399,0.013095381669700146,0.0,2000,6.146528176032007e-05
0.0007,-1.4726773500442505,500,1.055489182472229,1911,0.0,1,499,0.004467600025236607,0.0,2500,1.2995561519346666e-05
0.0007,-1.501704454421997,600,1.0866841077804565,1944,0.0,1,599,-0.0005551111535169184,0.0,3000,2.695116450013302e-07
0.0007,-1.5348057746887207,700,1.1226290464401245,1974,0.0391284,1,699,0.21995508670806885,0.0,3500,0.0327785462141037
0.0007,-1.5584219694137573,800,1.150071620941162,1996,0.00067819963,2,799,0.003077948931604624,0.0,4000,8.652339602122083e-06
0.0007,-1.5980088710784912,900,1.196611762046814,2012,0.005434798,2,899,0.0016684584552422166,0.0,4500,1.6127307844726602e-06
0.0007,-1.6440041065216064,1000,1.2530338764190674,2024,-0.00041983946,2,999,0.0026924710255116224,0.0,5000,3.721317170857219e-06
0.0007,-1.6946731805801392,1100,1.318252444267273,2034,0.0,2,1099,-0.0011209247168153524,0.0,5500,5.814541736981482e-07
0.0007,-1.7549803256988525,1200,1.400260329246521,2045,0.0,2,1199,5.588296517089475e-06,-1.1920928955078125e-07,6000,1.7881272851294483e-11
0.0007,-1.8171265125274658,1300,1.48982834815979,2051,0.0,3,1299,-0.0004040788917336613,0.0,6500,6.048479917808436e-06
0.0007,-1.8676300048828125,1400,1.567169189453125,2058,0.0,3,1399,0.00030051861540414393,0.0,7000,5.4558690010253486e-08
0.0007,-1.9070818424224854,1500,1.630007028579712,2066,0.0,3,1499,0.00025140054640360177,-1.1920928955078125e-07,7500,1.849832464984047e-08
0.0007,-1.9548680782318115,1600,1.7100515365600586,2072,0.0,3,1599,0.002622014144435525,-1.1920928955078125e-07,8000,1.7868999293568777e-06
0.0007,-2.0160810947418213,1700,1.818069577217102,2072,0.0,4,1699,-1.125969628645862e-08,0.0,8500,5.666741737870895e-17
0.0007,-2.0809037685394287,1800,1.9398936033248901,2076,0.0,4,1799,-0.00011506352166179568,1.1920928955078125e-07,9000,5.481265219486886e-09
0.0007,-2.1410274505615234,1900,2.0607545375823975,2082,0.0,4,1899,0.01870197057723999,-1.1920928955078125e-07,9500,6.495851266663522e-05
0.0007,-2.193080186843872,2000,2.1700100898742676,2087,0.0,4,1999,-6.01405005795641e-08,0.0,10000,2.0647840516763117e-15
0.0007,-2.251551628112793,2100,2.300773859024048,2090,0.0,5,2099,0.00043981202179566026,-1.1920928955078125e-07,10500,6.471108093819566e-08
0.0007,-2.316725730895996,2200,2.4559497833251953,2094,-0.00011561491,5,2199,0.0025386461056768894,5.960464477539063e-08,11000,1.0234823548671557e-06
0.0007,-2.3858654499053955,2300,2.6316111087799072,2097,0.0,5,2299,-8.768157755412176e-08,0.0,11500,1.5706410179950323e-15
0.0007,-2.4442577362060547,2400,2.7898783683776855,2099,0.0,5,2399,0.016631294041872025,0.0,12000,4.208197788102552e-05
0.0007,-2.495922803878784,2500,2.9373385906219482,2103,0.0,5,2499,0.0033992561511695385,0.0,12500,2.6111194983968744e-06
0.0007,-2.554232358932495,2600,3.1139893531799316,2104,0.0,6,2599,0.000684168713632971,0.0,13000,9.017828972446296e-08
0.0007,-2.6160006523132324,2700,3.3124818801879883,2105,0.0,6,2699,0.0010901172645390034,0.0,13500,2.209055338653343e-07
0.0007,-2.6831002235412598,2800,3.5423192977905273,2107,0.0,6,2799,-0.007302252110093832,1.1920928955078125e-07,14000,9.487290299148299e-06
0.0007,-2.7438321113586426,2900,3.764169692993164,2110,0.0,6,2899,-0.0007321232696995139,0.0,14500,1.0661418770041564e-07
0.0007,-2.8053648471832275,3000,4.00300931930542,2112,0.0,7,2999,0.0029379965271800756,0.0,15000,1.6884556544027873e-06
0.0007,-2.843517541885376,3100,4.1581711769104,2112,0.0,7,3099,-0.002723837736994028,0.0,15500,1.137465574174712e-06
0.0007,-2.8996450901031494,3200,4.39867639541626,2114,0.020291565,7,3199,-0.0022544723469763994,0.0,16000,9.31578028939839e-07
0.0007,-2.9614081382751465,3300,4.678947448730469,2116,0.0,7,3299,-5.9884245274588466e-05,1.1920928955078125e-07,16500,3.361080580521758e-10
0.0007,-3.019498109817505,3400,4.958700180053711,2117,0.0,8,3399,-0.011375704780220985,0.0,17000,1.4162292245600838e-05
0.0007,-3.0830798149108887,3500,5.284702301025391,2119,0.0,8,3499,0.00023942042025737464,0.0,17500,9.998156080825993e-09
0.0007,-3.150669574737549,3600,5.654095649719238,2119,0.0,8,3599,8.482185512548313e-05,0.0,18000,1.1086687123906813e-09
0.0007,-3.2151360511779785,3700,6.030671119689941,2121,0.0,8,3699,1.5913730749161914e-05,0.0,18500,2.1468844063621262e-11
