time/fps,time/iterations,train/reward,time/time_elapsed,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/n_updates,train/clip_fraction,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss
690,1,-0.053605635,2,2048,,,,,,,,,,,
695,2,-0.33680046,5,4096,0.22146568330936134,-4.269313192367553,0.00025,0.2,1.0065985918045044,10,0.054345703125,0.005483502,0.04434410110116005,0.2376537322998047,-0.0062727387266932055
802,3,0.7383209,7,6144,5.713677866756916,-4.267005455493927,0.00025,0.2,0.999431312084198,20,0.03515625,0.00572211,2.7484378814697266,0.1224527359008789,-0.005468760858639144
871,4,0.1059121,9,8192,13.180091816186906,-4.254935002326965,0.00025,0.2,1.0009069442749023,30,0.018994140625,0.003985538,10.802066802978516,0.07275062799453735,-0.0020654377236496656
903,5,0.082600504,11,10240,4.9460700415074825,-4.279792582988739,0.00025,0.2,1.0161036252975464,40,0.050732421875,0.007136127,1.659259557723999,0.47731906175613403,-0.0035915515662054533
938,6,-0.8964047,13,12288,20.767322950065136,-4.313070188462734,0.00025,0.2,1.021683931350708,50,0.0486328125,0.006287268,12.954560279846191,0.2614753246307373,-0.003130999281711411
951,7,-1.3409885,15,14336,6.45259992107749,-4.317430730164051,0.00025,0.2,1.0189459323883057,60,0.034814453125,0.0055805556,2.7260518074035645,0.27760714292526245,-0.003319818891759496
948,8,-0.08349119,17,16384,25.369894607365133,-4.319207713007927,0.00025,0.2,1.023554801940918,70,0.02734375,0.005018496,13.056941986083984,0.1551254391670227,-0.0009099665025132708
934,9,-2.3262262,19,18432,42.74957465231419,-4.328472928702832,0.00025,0.2,1.0253485441207886,80,0.049169921875,0.0057922467,18.43939208984375,0.04156726598739624,-0.004072224494302645
878,10,0.10157708,23,20480,8.940527271479368,-4.329647894203663,0.00025,0.2,1.0242717266082764,90,0.056591796875,0.0064809835,6.708801746368408,0.3953213095664978,-0.0033946656811167488
