train/reward,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/std
-0.0006008269,1,3507,0,2048,,,,,,,,,,,
-0.025473021,2,2742,1,4096,-0.008934269197925459,0.00025,-0.04706418514251709,10,0.0005726854997647024,0.009388321,-1.4114692959934474,0.125732421875,0.2,-0.6627422571182251,0.9837756156921387
0.033905696,3,2574,2,6144,-0.0010623647525790148,0.00025,-0.013503771275281906,20,0.0186818353147828,0.0017953338,-1.3999102041125298,0.01025390625,0.2,0.2472759485244751,0.9787476658821106
0.0015164627,4,2487,3,8192,-0.0024255729382275603,0.00025,-0.019413433969020844,30,0.032491128651599865,0.0031664085,-1.3969877898693084,0.04501953125,0.2,0.07742345333099365,0.9768691062927246
0.015061554,5,2443,4,10240,-0.0011290369206108154,0.00025,-0.024143341928720474,40,0.010707706724861054,0.0075408965,-1.4045951101928948,0.05595703125,0.2,-0.1478945016860962,0.9944027066230774
-0.026069976,6,2414,5,12288,-5.6908172700786964e-05,0.00025,-0.018742838874459267,50,0.025414572618319652,0.0011357281,-1.4169731877744198,0.013525390625,0.2,0.20399600267410278,0.9985628128051758
-0.03643174,7,2391,5,14336,0.0001366891519865021,0.00025,-0.012269184924662113,60,0.004137159552192316,0.0037086485,-1.4168821092694999,0.013916015625,0.2,0.10370242595672607,0.9957168698310852
-0.0011021283,8,2376,6,16384,-0.0012453902556444519,0.00025,-0.025293439626693726,70,0.02065041258756537,0.0043932544,-1.4196488782763481,0.023046875,0.2,0.2755637764930725,1.0041619539260864
-0.04362645,9,2363,7,18432,-0.0012280036025913432,0.00025,-0.009162431582808495,80,0.03224332007230259,0.00231175,-1.4237514659762383,0.04912109375,0.2,0.03115105628967285,1.0046957731246948
0.0013826588,10,2356,8,20480,-0.00943483554146951,0.00025,-0.06309307366609573,90,0.0025748503492650345,0.006542608,-1.4166047867387532,0.0833984375,0.2,0.5956063270568848,0.9905571341514587
-0.18345007,11,2347,9,22528,-0.0018328207832382759,0.00025,-0.024126742035150528,100,0.023683311030617916,0.0019305041,-1.4095903899520636,0.02578125,0.2,0.15848952531814575,0.990810215473175
0.016042385,12,2342,10,24576,0.0010424575695651584,0.00025,-0.025661852210760117,110,0.025326497344940434,0.0022509894,-1.4135700173676014,0.02470703125,0.2,1.7881393432617188e-07,0.9997685551643372
0.004659152,13,2336,11,26624,-0.0005953974396106787,0.00025,-0.022171625867486,120,0.009832032536360202,0.004176799,-1.4227671358734368,0.0220703125,0.2,0.30775558948516846,1.0066603422164917
-0.14002387,14,2330,12,28672,-8.603504320490175e-05,0.00025,-0.0024247635155916214,130,0.039579392335144806,0.0021545817,-1.4345890995115043,0.00673828125,0.2,0.12578284740447998,1.0252556800842285
0.0030275618,15,2325,13,30720,-0.0010451321169966832,0.00025,-0.029020464047789574,140,0.01079690347542055,0.0033831936,-1.450046841427684,0.026953125,0.2,0.3291904926300049,1.0351688861846924
