time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/std,train/clip_fraction,train/approx_kl
2048,1,1,1526,,,,,,,,,,,
4096,2,2,1373,0.2,0.00025,0.0171470046043396,3.7476724490523337,1.561776041984558,-0.006455004753661342,-4.2614737272262575,10,1.0027328729629517,0.04736328125,0.00636048
6144,3,4,1372,0.2,0.00025,-0.031517863273620605,28.397713327407835,6.484635829925537,-0.0029080404434353112,-4.264558330178261,20,1.0010734796524048,0.01552734375,0.00361782
8192,4,5,1374,0.2,0.00025,0.020040392875671387,23.125477463006973,4.054448127746582,-0.0018900776994996704,-4.253453031182289,30,0.9965575337409973,0.01279296875,0.0017458621
10240,5,7,1376,0.2,0.00025,0.36050504446029663,10.870056173205375,3.7027792930603027,-0.002815304137766361,-4.246497336030006,40,0.9985358715057373,0.04794921875,0.0065140584
12288,6,9,1349,0.2,0.00025,0.20149743556976318,48.60890043973923,17.238914489746094,-0.0016861531694303267,-4.25139856338501,50,0.9970242381095886,0.01591796875,0.003472606
14336,7,10,1341,0.2,0.00025,0.17653757333755493,10.578659537434579,5.562126159667969,-0.0044913386955158785,-4.243691930174828,60,0.9931017756462097,0.031591796875,0.0050263023
16384,8,12,1344,0.2,0.00025,0.40092194080352783,47.16499660015106,22.555421829223633,-0.002210521440429147,-4.236616143584252,70,0.9938891530036926,0.01005859375,0.0027154768
18432,9,13,1347,0.2,0.00025,0.014942288398742676,31.766612923145296,17.492568969726562,-0.003950891041313298,-4.239719739556312,80,0.9952148795127869,0.02216796875,0.00659816
20480,10,15,1350,0.2,0.00025,0.5764843225479126,9.259889242053031,4.348954200744629,-0.0040664782514795664,-4.242086735367775,90,0.9950384497642517,0.0333984375,0.0049278922
22528,11,16,1352,0.2,0.00025,0.18909817934036255,77.03351628780365,42.39459228515625,-0.0018965173920150846,-4.240269705653191,100,0.9955368041992188,0.01611328125,0.004381331
24576,12,18,1354,0.2,0.00025,-0.0013710260391235352,51.28222563266754,32.23271942138672,-0.0001590820000274107,-4.245467033982277,110,0.9959208965301514,0.017626953125,0.0031499998
26624,13,19,1356,0.2,0.00025,0.5440090894699097,24.970372253656386,8.520397186279297,-0.002173994545591995,-4.25146576166153,120,1.0022178888320923,0.009033203125,0.0025733137
28672,14,21,1357,0.2,0.00025,0.36049455404281616,65.10374225378037,30.514272689819336,-0.0021399308665422724,-4.2638811647892,130,1.0028427839279175,0.02958984375,0.004875279
30720,15,22,1358,0.2,0.00025,0.17973190546035767,14.362342315912247,8.11569595336914,-0.004783595977642108,-4.268398743867874,140,1.0047134160995483,0.0478515625,0.005423192
32768,16,24,1359,0.2,0.00025,0.3902714252471924,64.43019396066666,23.87998390197754,-0.0010444184910738841,-4.271787327528,150,1.005050778388977,0.004541015625,0.0029797151
34816,17,25,1357,0.2,0.00025,0.11126911640167236,78.0028820991516,33.170745849609375,-0.007809348407317884,-4.269773644208908,160,1.0033354759216309,0.076513671875,0.009967402
36864,18,27,1358,0.2,0.00025,0.49096381664276123,13.612743014097214,5.769903659820557,-0.006112052564276382,-4.272624063491821,170,1.0070949792861938,0.04501953125,0.0061037154
38912,19,28,1359,0.2,0.00025,0.20728778839111328,98.94536325931549,40.90091323852539,-0.0041042376426048575,-4.278969797492027,180,1.007200837135315,0.0265625,0.004989379
40960,20,30,1356,0.2,0.00025,0.0004636049270629883,71.61504596471786,28.442081451416016,-0.0041447925934335215,-4.270567598938942,190,1.0009626150131226,0.107666015625,0.010786593
43008,21,31,1357,0.2,0.00025,0.4639493227005005,36.25140129327774,18.925941467285156,-0.002719932014588267,-4.26205461025238,200,1.0036827325820923,0.016552734375,0.0049702534
45056,22,33,1358,0.2,0.00025,0.19979435205459595,90.52619421482086,40.00027084350586,-0.0014168359091854654,-4.266803294420242,210,1.002659797668457,0.010498046875,0.0021177488
47104,23,34,1358,0.2,0.00025,0.010329902172088623,22.982505410909653,11.797121047973633,-0.0015690816973801703,-4.256563720107079,220,0.9967629313468933,0.035595703125,0.008121747
49152,24,36,1359,0.2,0.00025,0.2154453992843628,90.68889319896698,39.475013732910156,-0.001858154333604034,-4.244394525885582,230,0.9963284134864807,0.017138671875,0.0042223856
51200,25,37,1360,0.2,0.00025,0.0899968147277832,106.97088701725006,37.87675857543945,-0.001629820530069992,-4.244230538606644,240,0.9970383048057556,0.053125,0.003415679
53248,26,39,1361,0.2,0.00025,0.5522059798240662,16.270092844963074,8.456734657287598,-0.002611781642190181,-4.241739413142204,250,0.9937459826469421,0.02255859375,0.004151288
55296,27,40,1362,0.2,0.00025,0.155556321144104,111.50997133255005,40.065696716308594,-0.0019341889332281426,-4.237392500042915,260,0.9956299662590027,0.0171875,0.0031399045
57344,28,42,1362,0.2,0.00025,-0.0003116130828857422,79.74930646419526,58.30048751831055,-0.002220563660375774,-4.238520184159279,270,0.9942623972892761,0.06318359375,0.0050289948
59392,29,43,1363,0.2,0.00025,0.35741186141967773,42.398253691196444,12.718274116516113,-0.0030431796330958605,-4.237860623002052,280,0.9946591258049011,0.053857421875,0.006882643
61440,30,45,1362,0.2,0.00025,0.2779273986816406,99.76183903217316,58.06802749633789,-0.0014808387495577335,-4.246472832560539,290,1.0022798776626587,0.025439453125,0.002933178
