time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/explained_variance,train/approx_kl,train/loss,train/std,train/learning_rate
1302,1,2048,1,,,,,,,,,,,
1231,3,4096,2,10,-5.6749137312173845,-0.004703430348308757,0.044189453125,0.2,0.30105092385783794,0.11601638793945312,0.0029795147,0.06169011443853378,0.9998101592063904,0.00025
1210,5,6144,3,20,-5.675059196352959,-0.007650828646728769,0.04658203125,0.2,6.080202569067478,0.008617103099822998,0.006825509,1.666582703590393,1.0003156661987305,0.00025
1202,6,8192,4,30,-5.676373764872551,-0.004676820250460878,0.039013671875,0.2,5.337923390045762,-0.01835036277770996,0.0070876325,0.6189724802970886,0.9995188117027283,0.00025
1199,8,10240,5,40,-5.6821867495775225,-0.0044623926427448165,0.03486328125,0.2,1.7228166222572328,0.09222191572189331,0.0060842927,0.5935907959938049,1.0047435760498047,0.00025
1197,10,12288,6,50,-5.704412654042244,-0.004163673866423778,0.064453125,0.2,0.9787931207567453,0.17893987894058228,0.008092243,0.37480950355529785,1.0101103782653809,0.00025
1194,12,14336,7,60,-5.717836222052574,-0.002254943421576172,0.031884765625,0.2,1.3431431096047164,-0.005292415618896484,0.0055268286,0.8328796625137329,1.0101722478866577,0.00025
1193,13,16384,8,70,-5.714001300930977,-0.00826375573524274,0.04970703125,0.2,8.93647446334362,-0.01794302463531494,0.0056656473,3.9510223865509033,1.0095107555389404,0.00025
1191,15,18432,9,80,-5.714196026325226,-0.005233032116666436,0.050439453125,0.2,4.431231063604355,0.0872153639793396,0.006548971,2.891021966934204,1.0099103450775146,0.00025
1185,17,20480,10,90,-5.718802669644356,-0.0032375638897065074,0.038623046875,0.2,1.0158648613840342,0.33574676513671875,0.006444958,0.40187931060791016,1.0117313861846924,0.00025
1184,19,22528,11,100,-5.723643988370895,-0.005699024957721122,0.040966796875,0.2,10.2416778460145,0.02145916223526001,0.006162565,5.0744428634643555,1.0119097232818604,0.00025
1183,20,24576,12,110,-5.723654288053512,-0.004779409369803034,0.01572265625,0.2,8.939293149113656,0.07196325063705444,0.004442894,5.118659496307373,1.0125383138656616,0.00025
1183,22,26624,13,120,-5.726508700847626,-0.006097595722530968,0.040576171875,0.2,4.301278975605965,0.019508183002471924,0.006247132,2.2539303302764893,1.0127323865890503,0.00025
1182,24,28672,14,130,-5.7194703191518785,-0.00667838478111662,0.071435546875,0.2,1.5880857940763236,0.20566338300704956,0.008511892,0.5627399682998657,1.0088653564453125,0.00025
1182,25,30720,15,140,-5.683408695459366,-0.009300845660618506,0.044873046875,0.2,1.9137655928730966,0.089663565158844,0.0065186387,0.7143305540084839,0.9951606392860413,0.00025
1181,27,32768,16,150,-5.650770181417466,-0.0056722066830843685,0.043798828125,0.2,2.6734855957329273,0.3581116199493408,0.0065440712,1.104200839996338,0.9931286573410034,0.00025
1180,29,34816,17,160,-5.644548007845879,-0.005160620779497549,0.067578125,0.2,0.9607566487044096,0.12278670072555542,0.0071638273,0.40964275598526,0.9916999340057373,0.00025
1181,31,36864,18,170,-5.643848633766174,-0.0036325270542874933,0.0646484375,0.2,4.810386730730533,0.23470091819763184,0.0065297307,2.273623466491699,0.9923053979873657,0.00025
1181,32,38912,19,180,-5.6483532905578615,-0.0012770563218509779,0.031982421875,0.2,4.314045508205891,0.18518441915512085,0.0042783082,1.7714887857437134,0.9948360919952393,0.00025
1181,34,40960,20,190,-5.658463841676712,-0.005082724109524861,0.0419921875,0.2,6.28507759720087,0.12439996004104614,0.0064185797,2.3432650566101074,0.9973657727241516,0.00025
1181,36,43008,21,200,-5.669544240832328,-0.0012028431097860447,0.02470703125,0.2,6.866581779718399,0.08633536100387573,0.0050321883,3.071565866470337,1.0000534057617188,0.00025
1181,38,45056,22,210,-5.677205845713615,-0.0037753029449959286,0.044384765625,0.2,20.181641590595245,0.11966556310653687,0.0071179103,9.92369556427002,1.0011316537857056,0.00025
1182,39,47104,23,220,-5.679611524939537,-0.003179803807870485,0.0328125,0.2,12.086123204231262,0.25163811445236206,0.004425944,6.027009010314941,1.001201868057251,0.00025
1178,41,49152,24,230,-5.682764333486557,-0.004424861600273289,0.0314453125,0.2,18.575166487693785,0.007265925407409668,0.0067603476,7.342703342437744,1.003409743309021,0.00025
1178,43,51200,25,240,-5.689518529176712,-0.00414168685383629,0.060888671875,0.2,23.242489475011826,0.010082066059112549,0.008051529,9.308149337768555,1.003879427909851,0.00025
1179,45,53248,26,250,-5.689372232556343,-0.001833339934819378,0.031640625,0.2,9.298164594173432,0.0750190019607544,0.004201066,4.81065034866333,1.0032644271850586,0.00025
1179,46,55296,27,260,-5.6892738252878186,-0.0033936951163923367,0.03251953125,0.2,29.657092130184175,0.03615224361419678,0.0055725453,9.606494903564453,1.003847599029541,0.00025
1179,48,57344,28,270,-5.691095846891403,-0.006397562965867109,0.078857421875,0.2,8.568297246098519,0.0031489133834838867,0.008215891,5.59031343460083,1.0032832622528076,0.00025
1179,50,59392,29,280,-5.687364140152932,-0.0016423742403276266,0.0357421875,0.2,4.161301819980144,0.13919007778167725,0.004659797,1.902797818183899,1.0033345222473145,0.00025
1179,52,61440,30,290,-5.698412075638771,-0.0037350298051023858,0.0990234375,0.2,2.1181669145822526,0.12995946407318115,0.010701548,1.377833366394043,1.0079089403152466,0.00025
