time/time_elapsed,time/iterations,train/reward,time/total_timesteps,time/fps,train/explained_variance,train/entropy_loss,train/std,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
0,1,-0.04034189,2048,3314,,,,,,,,,,,
1,2,-2.1055753,4096,2928,0.0,-1.4191269971430303,0.9983811378479004,10,0.00025,0.005352943,0.16514863073825836,0.47454073186963797,-0.0027177588170161473,0.039013671875,0.2
2,3,-3.0696476,6144,2833,-0.0076209306716918945,-1.4174309961497784,0.9990507960319519,20,0.00025,0.00057940395,7.4445390701293945,19.905240565538406,-0.00028625696577364577,0.001513671875,0.2
2,4,-0.65887946,8192,2783,0.004792392253875732,-1.4182014927268027,0.9997289180755615,30,0.00025,0.0010051369,6.0781097412109375,13.516205462813378,-0.0006048124836524948,0.0001953125,0.2
3,5,-12.808211,10240,2756,0.017545104026794434,-1.4183100931346417,0.9984004497528076,40,0.00025,0.00081425253,32.765926361083984,58.51380180120468,-0.0007031073553662281,9.765625e-05,0.2
4,6,-0.3167267,12288,2738,0.014192163944244385,-1.4175621539354324,0.9988468885421753,50,0.00025,0.000660606,29.602458953857422,73.02767777442932,-0.0003940309921745211,9.765625e-05,0.2
5,7,0.41427633,14336,2725,0.10604244470596313,-1.41610596626997,0.9939989447593689,60,0.00025,0.009841755,6.757569789886475,13.52053755223751,-0.004120488012267743,0.062060546875,0.2
6,8,3.0804884,16384,2716,0.032576143741607666,-1.4129111178219318,0.9940643906593323,70,0.00025,0.005501464,35.647727966308594,47.88563463687897,-0.0025152204179903492,0.032275390625,0.2
6,9,0.92926425,18432,2704,-0.0017076730728149414,-1.4116382740437985,0.9915255308151245,80,0.00025,0.0007298476,10.288779258728027,19.616042095422745,-7.564267289126292e-05,0.0,0.2
7,10,1.5100126,20480,2689,0.027828991413116455,-1.4107554703950882,0.9928680658340454,90,0.00025,0.0021240236,32.09284973144531,87.2079754114151,-0.0004359229962574318,0.005712890625,0.2
8,11,-1.6908172,22528,2686,0.00012296438217163086,-1.4129344888031483,0.996436357498169,100,0.00025,0.00017290362,31.388906478881836,75.1362300157547,5.029894236940891e-06,4.8828125e-05,0.2
9,12,0.7850742,24576,2681,0.01829540729522705,-1.4149807199835778,0.9963958859443665,110,0.00025,0.0035607258,19.424224853515625,41.80381817221642,-0.003031885510426946,0.02763671875,0.2
9,13,3.9984407,26624,2679,0.013654232025146484,-1.41549554169178,0.9963166117668152,120,0.00025,0.0028959806,42.72272491455078,111.8084079504013,-0.0006767459417460486,0.0099609375,0.2
10,14,2.02341,28672,2677,-0.007793903350830078,-1.4181020207703114,1.0030648708343506,130,0.00025,0.0022746087,10.371623039245605,21.346052545309067,-0.0005492226628120989,0.017138671875,0.2
11,15,-8.790655,30720,2626,0.014529883861541748,-1.4214432448148728,1.0027024745941162,140,0.00025,0.0048249178,54.36412811279297,101.60672116279602,-0.003332998701080214,0.028662109375,0.2
12,16,0.1735739,32768,2625,-0.0019224882125854492,-1.4238719046115875,1.006142020225525,150,0.00025,0.0052831057,36.347835540771484,73.18302199840545,-0.0018183600273914634,0.022314453125,0.2
13,17,1.6447178,34816,2626,-0.0005936622619628906,-1.4223059080541134,1.0012993812561035,160,0.00025,0.0024794484,23.600421905517578,50.45146023035049,-0.0005157977153430693,0.0080078125,0.2
14,18,7.0555167,36864,2628,0.006442010402679443,-1.4182898826897143,0.9960013628005981,170,0.00025,0.0035187094,82.40592956542969,112.92574388980866,-0.0015698216739110649,0.013427734375,0.2
14,19,0.5734092,38912,2628,-0.00033533573150634766,-1.418888972699642,1.0052990913391113,180,0.00025,0.0040677343,9.62114429473877,16.825933480262755,-0.0022486013025627472,0.023779296875,0.2
15,20,0.99272263,40960,2629,0.013481557369232178,-1.4252233304083348,1.0057744979858398,190,0.00025,0.006812285,72.41259765625,110.24236407279969,-0.0045170447876444085,0.048291015625,0.2
16,21,-2.6272216,43008,2628,-0.005624175071716309,-1.4255336016416549,1.0065019130706787,200,0.00025,0.0068363943,33.31930923461914,73.53867557048798,-0.0025392829440534113,0.048046875,0.2
17,22,-0.56094843,45056,2628,-0.004165530204772949,-1.4250011026859284,1.0074045658111572,210,0.00025,0.0053046546,19.762540817260742,49.511664021015164,-0.0031037473934702577,0.05224609375,0.2
17,23,0.55034727,47104,2627,0.0046100616455078125,-1.429670523107052,1.0133949518203735,220,0.00025,0.0043074572,23.610883712768555,84.15475764274598,-0.0017913131043314934,0.024658203125,0.2
18,24,0.9898237,49152,2626,0.010443806648254395,-1.431825376302004,1.0121101140975952,230,0.00025,0.0019643314,6.54922342300415,14.787408274412154,-0.002137599981506355,0.012109375,0.2
19,25,7.2230115,51200,2627,0.019501209259033203,-1.430427322536707,1.0104928016662598,240,0.00025,0.0040229294,88.38513946533203,106.14482216835022,-0.0027569806930841877,0.014990234375,0.2
