time/time_elapsed,train/reward,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss
1,-0.034558643,1546,1,2048,,,,,,,,,,,
2,-2.6455555,1922,2,4096,0.0169921875,0.07863350957632065,0.2,0.17013178942725063,1.0044488906860352,10,0.00025,-0.001242554560303688,0.0015858184,5.960464477539063e-08,-1.4214949637651444
3,-2.1699963,1936,3,6144,0.000830078125,5.580611228942871,0.2,11.928193041682244,1.0116475820541382,20,0.00025,-0.00028677312948275355,0.0013259006,-0.0126267671585083,-1.426565694063902
3,-0.3257857,2069,4,8192,0.0052734375,2.5863559246063232,0.2,5.817961382865906,1.0110796689987183,30,0.00025,-0.0008351574244443328,0.0015102427,-0.00025141239166259766,-1.4308173313736916
4,-2.7738132,2163,5,10240,0.00625,8.202576637268066,0.2,28.583142578601837,1.014549970626831,40,0.00025,-0.0011423313917475753,0.0045732036,0.005756795406341553,-1.4317069076001645
5,-0.17651418,2228,6,12288,0.00712890625,8.817089080810547,0.2,9.994960150122642,1.0208503007888794,50,0.00025,-0.0005673873543855734,0.0042448384,0.0,-1.4371975839138031
6,0.01877646,2274,7,14336,0.01787109375,0.5792871713638306,0.2,1.1942829988896846,1.0168242454528809,60,0.00025,-0.0006558827357366681,0.0034852624,0.0,-1.437686663866043
7,1.2357473,2309,8,16384,0.026171875,1.0780670642852783,0.2,2.6473342895507814,1.0120874643325806,70,0.00025,-0.0019583524845074862,0.004660556,-1.1920928955078125e-07,-1.4326099202036857
7,0.79780334,2336,9,18432,0.030322265625,1.4386255741119385,0.2,3.287700516730547,1.009354591369629,80,0.00025,-0.0019116339448373766,0.005429238,0.0087776780128479,-1.4302938416600228
8,1.3198637,2360,10,20480,0.004345703125,10.926043510437012,0.2,23.69209806919098,1.0103163719177246,90,0.00025,-0.0014092322962824255,0.0024025096,0.017644286155700684,-1.4289173372089863
9,-1.3662882,2369,11,22528,0.000146484375,20.790359497070312,0.2,57.50740361213684,1.0122472047805786,100,0.00025,-0.0004577337298542261,0.00082746265,-0.010232806205749512,-1.4299725048243999
10,0.49110237,2390,12,24576,0.015283203125,15.257292747497559,0.2,28.563782992959023,1.0120112895965576,110,0.00025,-0.001965161389671266,0.0031922073,0.0021022558212280273,-1.4308445319533347
11,3.5502589,2409,13,26624,0.004052734375,22.074092864990234,0.2,72.4781004190445,1.01227605342865,120,0.00025,-0.0017340587059152313,0.0027203278,0.01173311471939087,-1.4311408080160617
11,1.8086822,2422,14,28672,0.000390625,9.584383010864258,0.2,16.612111335992815,1.0089404582977295,130,0.00025,-0.00030148616788210346,0.0009434934,0.03450959920883179,-1.4295724406838417
12,-7.853126,2434,15,30720,0.0,49.57115936279297,0.2,79.78846549987793,1.0091501474380493,140,0.00025,-0.0001255714727449231,7.1938644e-05,0.044184982776641846,-1.4277534253895283
13,0.14020881,2440,16,32768,0.01298828125,24.13180160522461,0.2,58.92255960702896,1.0074962377548218,150,0.00025,-0.0008744640334043651,0.004536665,-0.016289591789245605,-1.4277035005390644
14,0.77573055,2447,17,34816,0.0009765625,16.60987091064453,0.2,34.7191606760025,1.0148309469223022,160,0.00025,-0.0011131663355627096,0.00064395025,0.02473282814025879,-1.42980405241251
15,6.1512885,2456,18,36864,0.01083984375,34.75048828125,0.2,66.25806651115417,1.013968586921692,170,0.00025,-0.002060507561691338,0.003916366,0.039057254791259766,-1.4336215518414974
15,0.47346264,2446,19,38912,0.000634765625,4.769221782684326,0.2,12.478089693188668,1.0149881839752197,180,0.00025,-0.00020393502491060643,0.0016227171,0.10058313608169556,-1.4329650193452834
16,0.8307461,2439,20,40960,0.002099609375,46.09742736816406,0.2,77.829110455513,1.0147981643676758,190,0.00025,-0.0008303942304337397,0.0020419545,0.03485077619552612,-1.4338382758200168
17,-2.5388403,2445,21,43008,0.018505859375,35.549522399902344,0.2,50.55085529088974,1.0196624994277954,200,0.00025,-0.0022704200790030883,0.0031693452,-0.0015909671783447266,-1.4364334501326084
18,-0.28859305,2453,22,45056,0.010400390625,8.94986629486084,0.2,32.20794298648834,1.0180670022964478,210,0.00025,-0.0008671008021337911,0.0021112696,0.0814780592918396,-1.436854787915945
19,0.5063137,2456,23,47104,0.016943359375,49.99245834350586,0.2,68.7255845785141,1.0185672044754028,220,0.00025,-0.0014804767750320024,0.0053403648,0.06929326057434082,-1.4374853409826756
20,0.97330517,2448,24,49152,0.020947265625,5.767786979675293,0.2,11.052230799198151,1.0183085203170776,230,0.00025,-0.0022788801274145954,0.003908112,0.25021523237228394,-1.4387508660554886
20,7.211398,2441,25,51200,0.00087890625,30.66685676574707,0.2,84.9399759054184,1.0175881385803223,240,0.00025,-0.00045013930648565295,0.001872214,0.030410468578338623,-1.4367979630827903
