time/time_elapsed,time/total_timesteps,train/reward,time/iterations,time/fps,train/n_updates,train/clip_range,train/approx_kl,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/loss
0,2048,-0.04364167,1,3199,,,,,,,,,,,
1,4096,0.6121391,2,2730,10,0.2,0.004147608,0.9969596266746521,0.0333984375,0.0,-1.4177049934864043,0.10416852270718664,-0.0017341942759230733,0.00025,0.04479286074638367
2,6144,-0.06516986,3,2658,20,0.2,0.0004983889,0.9892255663871765,0.001416015625,-0.0035588741302490234,-1.412651627510786,2.352872996032238,-0.0014896329666953534,0.00025,1.0117855072021484
3,8192,0.95425683,4,2626,30,0.2,0.0034812894,0.9843335747718811,0.02060546875,0.002947211265563965,-1.4058207765221595,5.367566265165806,-0.002215511216490995,0.00025,2.097033977508545
3,10240,2.2695234,5,2607,40,0.2,0.0018772739,0.9759442210197449,0.005810546875,0.014272511005401611,-1.3988744407892226,6.766374911367893,-0.0008543871896108613,0.00025,3.251763343811035
4,12288,-0.11866796,6,2594,50,0.2,0.002081553,0.9764378666877747,0.008544921875,0.05355489253997803,-1.395319587737322,4.722205604612827,-0.0009226974390912801,0.00025,2.148668050765991
5,14336,0.31239688,7,2587,60,0.2,0.004786293,0.9735398292541504,0.024755859375,0.1375066637992859,-1.3939333498477935,6.604803766310215,-0.002323113812599331,0.00025,3.1399331092834473
6,16384,3.114607,8,2581,70,0.2,0.0034472698,0.9725624918937683,0.029248046875,0.21179133653640747,-1.3914637021720409,5.592898081243038,-0.0012189541332190857,0.00025,1.8667168617248535
7,18432,-0.48717836,9,2574,80,0.2,0.0037492039,0.9804213643074036,0.024755859375,0.01524263620376587,-1.3953833393752575,12.807275995612144,-0.000986829296016367,0.00025,5.373687744140625
8,20480,-0.2881603,10,2532,90,0.2,0.0033502784,0.9756796360015869,0.0041015625,0.26093345880508423,-1.3966723173856734,5.735104146599769,0.0004438241187017411,0.00025,3.475477695465088
8,22528,-0.005738514,11,2528,100,0.2,0.002736007,0.9740436673164368,0.030859375,0.2389659881591797,-1.393900354206562,8.024174320697785,-0.001624586438992992,0.00025,5.166615009307861
9,24576,-1.1411393,12,2530,110,0.2,0.005516396,0.9744179248809814,0.036083984375,0.13792186975479126,-1.3928301557898521,12.043570721149445,-0.0007877178199123591,0.00025,6.143276691436768
10,26624,-1.2542912,13,2530,120,0.2,0.003007789,0.9695139527320862,0.02158203125,0.01839423179626465,-1.3914213098585606,11.247829937934876,0.0003361214403412305,0.00025,5.643675804138184
11,28672,0.9422783,14,2530,130,0.2,0.0036587934,0.9624656438827515,0.03642578125,0.08745193481445312,-1.3838413573801518,14.598329940438271,-0.0008461017132503912,0.00025,8.280109405517578
12,30720,0.81503737,15,2531,140,0.2,0.0030501639,0.9701058864593506,0.022900390625,0.10165488719940186,-1.3848350025713443,18.266017538309097,-0.0011816073179943486,0.00025,7.520124435424805
12,32768,-7.0406528,16,2532,150,0.2,0.0033919108,0.9765830636024475,0.032080078125,0.09943598508834839,-1.3922771520912647,18.616085910797118,-0.0009064795129233971,0.00025,7.169064044952393
13,34816,0.03220579,17,2532,160,0.2,0.003946673,0.9768019318580627,0.01982421875,0.01831841468811035,-1.3959033377468586,12.66486378312111,0.0017459341630456037,0.00025,6.747015476226807
14,36864,3.3063843,18,2532,170,0.2,0.0059085675,0.9756184816360474,0.03525390625,0.26458609104156494,-1.393603017181158,12.625505286455155,-0.0011377362243365496,0.00025,6.479527473449707
15,38912,0.35267782,19,2532,180,0.2,0.0028797481,0.9724937081336975,0.009521484375,0.15612441301345825,-1.3930524729192257,15.792173624038696,-0.0015588978232699447,0.00025,8.663482666015625
16,40960,0.60808927,20,2534,190,0.2,0.0048339954,0.9757659435272217,0.0380859375,0.09139162302017212,-1.392664560675621,19.508602261543274,-0.000387764136394253,0.00025,12.748211860656738
16,43008,-0.8708116,21,2534,200,0.2,0.007633889,0.975766122341156,0.045068359375,0.24478471279144287,-1.3944106213748455,8.643307891488075,-0.0012750786321703345,0.00025,4.177493572235107
17,45056,0.025319356,22,2535,210,0.2,0.003338413,0.9809485673904419,0.02578125,0.39285963773727417,-1.3981918834149838,10.387149360775947,-0.0016473092313390226,0.00025,4.26288366317749
18,47104,0.011886119,23,2536,220,0.2,0.0029545836,0.98158198595047,0.01474609375,0.5911332368850708,-1.3998541183769704,6.4049059227108955,-0.000584083137800917,0.00025,1.7291111946105957
19,49152,0.041081455,24,2536,230,0.2,0.003330133,0.9720216393470764,0.01298828125,-1.1920928955078125e-07,-1.394874308258295,0.08150583655224182,-0.0004295250313589349,0.00025,0.00015967804938554764
20,51200,-0.04727326,25,2536,240,0.2,0.0035981205,0.9729087948799133,0.027734375,0.663347065448761,-1.3915382348001004,2.112577610835433,-0.0019935210715630093,0.00025,0.5175356864929199
